mission,role,relative_path,size_bytes,modified_local,sha256,data_rows,selected,reason
Clue-Informed Probabilistic Search (CLIPS),system_performance,results/clue_search_core_500/combined/clue_search_core_500_combined_system_performance.csv,36622580,2026-08-09T10:58:39.692340-07:00,e5b2fceeb9700788c6643305113d3e59e1b7ac61eddde4542fbff59173b5481c,75000,True,current scenario-prefixed combined result file used in analysis
Clue-Informed Probabilistic Search (CLIPS),trial_summary,results/clue_search_core_500/combined/clue_search_core_500_combined_trial_summary.csv,30759856,2026-08-09T10:58:40.217418-07:00,ef8bfdcca2dec7bbca43fad73e57cbe2547786e70d9e979601d4b171a40ef977,75000,True,current scenario-prefixed combined result file used in analysis
Clue-Informed Probabilistic Search (CLIPS),robot_performance,results/clue_search_core_500/combined/clue_search_core_500_combined_robot_performance.csv,106581437,2026-08-09T10:58:40.844551-07:00,dd1256b35dd129b0e0a05464a853f8218d20fc003be85f49a90404e17b9ce93d,300000,False,documented and hashed but not loaded; current system table already contains the required maximum-agent fields
Clue-Informed Probabilistic Search (CLIPS),condition_manifest,results/clue_search_core_500/combined/clue_search_core_500_combined_condition_manifest.csv,133400,2026-08-09T10:58:39.534012-07:00,17593bde3904cb75e3c4c0120575c243f403ebfb2278b8cbcb633a1bc276d722,150,True,current scenario-prefixed combined result file used in analysis
Clue-Informed Probabilistic Search (CLIPS),corrected_ge_condition_manifest,results/clue_search_core_500/combined/clue_search_core_500_corrected_ge_condition_manifest.csv,94957,2026-08-09T10:58:42.060306-07:00,1f0f89328bd9622c0c74d73a9526e5db02efd9543b081fdf1b157e97421e5997,48,False,provenance record for corrected fixed-rho=0.8 GE restoration from f898015
Clue-Informed Probabilistic Search (CLIPS),corrected_ge_restore_manifest,results/clue_search_core_500/combined/CORRECTED_GE_RESTORE_MANIFEST.json,2767,2026-08-09T10:58:49.212578-07:00,958e88ab3e9e046a7c5c18636cf1fbfea61a2c6addac2390e8a7cd8d8ff4a9d8,77,False,provenance record for corrected fixed-rho=0.8 GE restoration from f898015
Collaborative Visit (CV),system_performance,results/known_target_visit_core_500/combined/known_target_visit_core_500_combined_system_performance.csv,37523739,2026-08-09T10:58:42.305611-07:00,86a5db8763347590ac065da9727a8cec67e2e077ec18c46030373924b8a06717,75000,True,current scenario-prefixed combined result file used in analysis
Collaborative Visit (CV),trial_summary,results/known_target_visit_core_500/combined/known_target_visit_core_500_combined_trial_summary.csv,36246202,2026-08-09T10:58:42.927595-07:00,52832cc3d319efa4dd8c761546ebdbc231dc7700875c2ed6819a2478394591b3,75000,True,current scenario-prefixed combined result file used in analysis
Collaborative Visit (CV),robot_performance,results/known_target_visit_core_500/combined/known_target_visit_core_500_combined_robot_performance.csv,98783310,2026-08-09T10:58:43.770711-07:00,aef15df3c49ab7ad384cd349571d51060f83e5858587a9d45c35ea8154a7c4a8,300000,True,current scenario-prefixed combined result file used in analysis
Collaborative Visit (CV),condition_manifest,results/known_target_visit_core_500/combined/known_target_visit_core_500_combined_condition_manifest.csv,130453,2026-08-09T10:58:42.133985-07:00,2174a81d373adafddf5f8084bad4140810eaeb99c0458125a1c28aacfb6b279d,150,True,current scenario-prefixed combined result file used in analysis
Collaborative Visit (CV),corrected_ge_condition_manifest,results/known_target_visit_core_500/combined/known_target_visit_core_500_corrected_ge_condition_manifest.csv,63118,2026-08-09T10:58:48.976326-07:00,d3197bac7c62295b1f5db4e19b49e8e378c72f8cedc1b1aae0c5f415dfd67374,48,False,provenance record for corrected fixed-rho=0.8 GE restoration from f898015
Collaborative Visit (CV),corrected_ge_restore_manifest,results/known_target_visit_core_500/combined/CORRECTED_GE_RESTORE_MANIFEST.json,6277,2026-08-09T10:58:49.837196-07:00,223f52b7c762c4c3b99add59c12d0d725cd1208f80ddce1dd7159b36c986f464,174,False,provenance record for corrected fixed-rho=0.8 GE restoration from f898015
Full Grid Search (FGS),system_performance,results/coverage_core_100/combined/coverage_core_100_combined_system_performance.csv,7364433,2026-08-01T21:46:52.131509-07:00,ed14f14d0930190becadb1b75cce4ba24e614d57a1d3aa3cb0fc908df63314dc,15000,True,current scenario-prefixed combined result file used in analysis
Full Grid Search (FGS),trial_summary,results/coverage_core_100/combined/coverage_core_100_combined_trial_summary.csv,5880820,2026-08-01T21:46:52.182996-07:00,432ce87f913c6009e92d3f940cc15877e424b3ca2c8fc0e9db667c989774f3a7,15000,True,current scenario-prefixed combined result file used in analysis
Full Grid Search (FGS),robot_performance,results/coverage_core_100/combined/coverage_core_100_combined_robot_performance.csv,22616641,2026-08-01T21:46:52.079022-07:00,f40e1dfd50a6cfe5a08a92ee2ba62366ba522fee6b68637a390f635d013784f6,60000,False,documented and hashed but not loaded; current system table already contains the required maximum-agent fields
Full Grid Search (FGS),condition_manifest,results/coverage_core_100/combined/coverage_core_100_combined_condition_manifest.csv,156665,2026-08-01T21:46:52.045446-07:00,e7674c1501cc5ef1b9d310f2035d72b9f44a48140e5f54174abd5a7e43ba2b57,150,True,current scenario-prefixed combined result file used in analysis
