mission,scenario,comm_model,comm_label,degradation_pct,metric_max_steps,algorithm,attempted_trial_n_max_steps,six_way_paired_n_max_steps,eligible_n_max_steps,mean_max_steps,median_max_steps,sd_max_steps,ci95_low_max_steps,ci95_high_max_steps,source_column_max_steps,scope_max_steps,ci_method_max_steps,metric_message_rate,attempted_trial_n_message_rate,six_way_paired_n_message_rate,eligible_n_message_rate,mean_message_rate,median_message_rate,sd_message_rate,ci95_low_message_rate,ci95_high_message_rate,source_column_message_rate,scope_message_rate,ci_method_message_rate,panel_model
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_1,10,max_agent_steps,DMCHBA,500,385,385,53.2337662337662,50,29.7540683947416,50.2522645365898,56.2152679309426,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,385,385,2.06889729287875,2.0578231292517,0.043082782581307,2.06458018949372,2.07321439626378,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_1,10,max_agent_steps,DGA,500,385,385,60.587012987013,53,38.8832164101463,56.6907264630828,64.4832995109432,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,385,385,3.06238490459935,2.96,0.540239959164291,3.00825024530632,3.11651956389238,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_2,20,max_agent_steps,CBAA,500,385,385,64.3662337662338,55,40.3436204503136,60.3236076874381,68.4088598450294,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,385,385,4.49231442778916,4.78070175438596,1.02605403344469,4.38949884635255,4.59513000922578,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_2,20,max_agent_steps,ACBBA,500,385,385,60.0935064935065,55,37.0400484894333,56.3819143182913,63.8050986687217,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,385,385,12.0803640104155,13.0872093023256,4.07662672959808,11.6718662765326,12.4888617442985,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_2,20,max_agent_steps,PI,500,385,385,63.0545454545455,56,40.6170458413557,58.984520827873,67.1245700812179,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,385,385,3.43161925566648,3.59233449477352,0.537535117204554,3.37775563463237,3.48548287670059,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_2,20,max_agent_steps,HIPC,500,385,385,62.1766233766234,55,39.1758850945798,58.2510100336588,66.1022367195879,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,385,385,4.34524896021016,4.6,0.911619196260288,4.25390030345608,4.43659761696424,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_2,20,max_agent_steps,DMCHBA,500,385,385,54.7220779220779,51,33.5092983961815,51.364283999111,58.0798718450448,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,385,385,2.06932462289398,2.05498281786942,0.0477703118963299,2.06453780637854,2.07411143940942,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_2,20,max_agent_steps,DGA,500,385,385,61.7688311688312,50,40.8525813257134,57.6752047463626,65.8624575912998,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,385,385,2.99834794340182,2.88888888888889,0.49174828206142,2.94907238491017,3.04762350189347,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_3,30,max_agent_steps,CBAA,500,386,386,69.5673575129534,60.5,45.0174785306648,65.0622722369784,74.0724427889284,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,4.29703359043682,4.55777777777778,0.953217660715029,4.20164115647006,4.39242602440358,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_3,30,max_agent_steps,ACBBA,500,386,386,62.1450777202073,54,40.4629019010462,58.0957877660075,66.194367674407,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,team_messages_per_step,500,386,386,11.3226717269836,12.0905175154174,3.89622564504393,10.9327603112785,11.7125831426887,messages_sent_total / total_team_steps (publications per team step),six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
