mission,scenario,comm_model,metric,algorithm,total_trial_count,eligible_n,mean,median,sd,ci95_low,ci95_high,wilcoxon_nonzero_n,wilcoxon_w_positive,wilcoxon_w_negative,wilcoxon_p_two_sided,rank_biserial,log_offset_c,units,source_column,eligibility_rule,ci_method,wilcoxon_method
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_steps,CBAA,500,383,0.413675849443182,0.403074512921942,0.776757051035206,0.33563678130959,0.491714917576775,357,52259,11644,2.30529834530243e-25,0.635572664820118,0,percent metric change per +1 percentage point degradation,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_steps,ACBBA,500,383,0.438554482645433,0.450091114731177,0.812401057111203,0.356934339818007,0.520174625472859,372,55962,13416,1.18451498889074e-24,0.61324915679322,0,percent metric change per +1 percentage point degradation,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_steps,PI,500,383,0.45254768490828,0.402393896922071,0.82189410047685,0.369973796946491,0.535121572870069,368,54856,13040,1.33268707920821e-24,0.615883115352893,0,percent metric change per +1 percentage point degradation,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_steps,HIPC,500,383,0.43586096331505,0.418212621421499,0.791772023466582,0.35631337400996,0.51540855262014,358,52793,11468,5.38075209190769e-26,0.643080562082756,0,percent metric change per +1 percentage point degradation,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_steps,DMCHBA,500,383,0.248921349838433,0.216915153520336,0.757524273004142,0.172814556504488,0.325028143172377,360,46622,18358,8.55852529537728e-13,0.43496460449369,0,percent metric change per +1 percentage point degradation,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_steps,DGA,500,383,0.302287244158105,0.313225060305689,0.976891172480135,0.204141142147597,0.400433346168613,383,50467,23069,2.64065476480243e-10,0.372579416884247,0,percent metric change per +1 percentage point degradation,max_steps_any_robot (CLIPS/FGS) or max_robot_steps (CV),common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,total_team_steps,CBAA,500,383,0.394667600225238,0.377998682582925,0.780875250784257,0.316214785643672,0.473120414806803,382,59024,14129,2.62757330770413e-25,0.613713723292278,0,percent metric change per +1 percentage point degradation,total_team_steps,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,total_team_steps,ACBBA,500,383,0.418553186053073,0.420166116190801,0.813437601551188,0.336828903891388,0.500277468214757,383,58450,15086,1.51257961120407e-23,0.589697563098346,0,percent metric change per +1 percentage point degradation,total_team_steps,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,total_team_steps,PI,500,383,0.431507306552592,0.379941433845832,0.818474293858668,0.349276999020905,0.513737614084278,383,58447,15089,1.53386403178587e-23,0.589615970409051,0,percent metric change per +1 percentage point degradation,total_team_steps,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,total_team_steps,HIPC,500,383,0.419154819027466,0.387732996419654,0.794218084077744,0.339361479406446,0.498948158648487,381,58993,13778,7.79051422519241e-26,0.62133267372992,0,percent metric change per +1 percentage point degradation,total_team_steps,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,total_team_steps,DMCHBA,500,383,0.237413040408049,0.207592165046977,0.765026005730018,0.160552564528791,0.314273516287307,382,51856,21297,1.49232586488909e-12,0.417740899211242,0,percent metric change per +1 percentage point degradation,total_team_steps,common-six complete: all six algorithms have completed/eligible finite metric values at ideal and all eight model levels for the same trial IDs,two-sided 95% Student-t interval for the mean,normal approximation with continuity correction; zeros excluded
