scenario,grid_size,grid_cells,target_cells_per_robot,comm_label,attempted_block_n,six_algorithm_row_complete_block_n,common_block_eligible_n,excluded_block_n,raw_algorithm_rows,raw_completed_rows,raw_failed_rows,finite_max_agent_step_rows,event_cap_failure_runs,stagnation_failure_runs,other_failure_runs,eligibility_rule
CLIPS,34,1156,50,ideal,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CLIPS,34,1156,50,bernoulli_025,50,50,37,13,300,259,41,259,41,0,0,all six named algorithms completed with finite maximum-agent steps
CLIPS,34,1156,85,ideal,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CLIPS,34,1156,85,bernoulli_025,50,50,41,9,300,273,27,273,27,0,0,all six named algorithms completed with finite maximum-agent steps
CLIPS,34,1156,140,ideal,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CLIPS,34,1156,140,bernoulli_025,50,50,45,5,300,288,12,288,12,0,0,all six named algorithms completed with finite maximum-agent steps
CLIPS,34,1156,220,ideal,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CLIPS,34,1156,220,bernoulli_025,50,50,45,5,300,288,12,288,12,0,0,all six named algorithms completed with finite maximum-agent steps
CV,14,196,50,ideal,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,14,196,50,bernoulli_025,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,14,196,85,ideal,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,14,196,85,bernoulli_025,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,14,196,140,ideal,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,14,196,140,bernoulli_025,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,14,196,220,ideal,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,14,196,220,bernoulli_025,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,19,361,50,ideal,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,19,361,50,bernoulli_025,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,19,361,85,ideal,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,19,361,85,bernoulli_025,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,19,361,140,ideal,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,19,361,140,bernoulli_025,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,19,361,220,ideal,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,19,361,220,bernoulli_025,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,25,625,50,ideal,50,50,48,2,300,298,2,298,0,2,0,all six named algorithms completed with finite maximum-agent steps
CV,25,625,50,bernoulli_025,50,50,48,2,300,298,2,298,0,2,0,all six named algorithms completed with finite maximum-agent steps
CV,25,625,85,ideal,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,25,625,85,bernoulli_025,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,25,625,140,ideal,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,25,625,140,bernoulli_025,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,25,625,220,ideal,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,25,625,220,bernoulli_025,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,34,1156,50,ideal,50,50,26,24,300,272,28,272,28,0,0,all six named algorithms completed with finite maximum-agent steps
CV,34,1156,50,bernoulli_025,50,50,28,22,300,274,26,274,22,4,0,all six named algorithms completed with finite maximum-agent steps
CV,34,1156,85,ideal,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,34,1156,85,bernoulli_025,50,50,44,6,300,294,6,294,5,1,0,all six named algorithms completed with finite maximum-agent steps
CV,34,1156,140,ideal,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,34,1156,140,bernoulli_025,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,34,1156,220,ideal,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
CV,34,1156,220,bernoulli_025,50,50,50,0,300,300,0,300,0,0,0,all six named algorithms completed with finite maximum-agent steps
