mission,comm_model,comm_label,degradation_pct,matched_trial_n,algorithm_a,algorithm_b,completion_rate_a,completion_rate_b,completion_rate_difference_a_minus_b,completion_rate_difference_percentage_points,a_completed_b_failed,a_failed_b_completed,discordant_pairs,matched_odds_ratio_a_vs_b,mcnemar_p_raw,test_method,mcnemar_p_holm,reject_holm_0_05
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,100,CBAA,ACBBA,0.97,1,-0.03,-3,0,3,3,,0.25,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,100,CBAA,PI,0.97,0.96,0.01,1,4,3,7,1.33333333333333,1,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,100,CBAA,HIPC,0.97,0.99,-0.02,-2,1,3,4,0.333333333333333,0.625,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,100,CBAA,DMCHBA,0.97,0.99,-0.02,-2,1,3,4,0.333333333333333,0.625,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,100,CBAA,DGA,0.97,0.93,0.0399999999999999,3.99999999999999,7,3,10,2.33333333333333,0.34375,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,100,ACBBA,PI,1,0.96,0.04,4,4,0,4,,0.125,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,100,ACBBA,HIPC,1,0.99,0.01,1,1,0,1,,1,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,100,ACBBA,DMCHBA,1,0.99,0.01,1,1,0,1,,1,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,100,ACBBA,DGA,1,0.93,0.07,6.99999999999999,7,0,7,,0.015625,exact two-sided McNemar binomial test,0.234375,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,100,PI,HIPC,0.96,0.99,-0.03,-3,1,4,5,0.25,0.375,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,100,PI,DMCHBA,0.96,0.99,-0.03,-3,1,4,5,0.25,0.375,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,100,PI,DGA,0.96,0.93,0.0299999999999999,2.99999999999999,6,3,9,2,0.5078125,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,100,HIPC,DMCHBA,0.99,0.99,0,0,1,1,2,1,1,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,100,HIPC,DGA,0.99,0.93,0.0599999999999999,5.99999999999999,7,1,8,7,0.0703125,exact two-sided McNemar binomial test,0.984375,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,100,DMCHBA,DGA,0.99,0.93,0.0599999999999999,5.99999999999999,7,1,8,7,0.0703125,exact two-sided McNemar binomial test,0.984375,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,100,CBAA,ACBBA,0.91,1,-0.09,-9,0,9,9,,0.00390625,exact two-sided McNemar binomial test,0.05078125,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,100,CBAA,PI,0.91,0.96,-0.0499999999999999,-4.99999999999999,4,9,13,0.444444444444444,0.266845703125,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,100,CBAA,HIPC,0.91,0.98,-0.07,-6.99999999999999,2,9,11,0.222222222222222,0.0654296875,exact two-sided McNemar binomial test,0.5888671875,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,100,CBAA,DMCHBA,0.91,1,-0.09,-9,0,9,9,,0.00390625,exact two-sided McNemar binomial test,0.05078125,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,100,CBAA,DGA,0.91,0.88,0.03,3,10,7,17,1.42857142857143,0.629058837890625,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,100,ACBBA,PI,1,0.96,0.04,4,4,0,4,,0.125,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,100,ACBBA,HIPC,1,0.98,0.02,2,2,0,2,,0.5,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,100,ACBBA,DMCHBA,1,1,0,0,0,0,0,,1,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,100,ACBBA,DGA,1,0.88,0.12,12,12,0,12,,0.00048828125,exact two-sided McNemar binomial test,0.00732421875,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,100,PI,HIPC,0.96,0.98,-0.02,-2,2,4,6,0.5,0.6875,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,100,PI,DMCHBA,0.96,1,-0.04,-4,0,4,4,,0.125,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,100,PI,DGA,0.96,0.88,0.08,8,11,3,14,3.66666666666667,0.057373046875,exact two-sided McNemar binomial test,0.57373046875,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,100,HIPC,DMCHBA,0.98,1,-0.02,-2,0,2,2,,0.5,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,100,HIPC,DGA,0.98,0.88,0.1,10,11,1,12,11,0.00634765625,exact two-sided McNemar binomial test,0.06982421875,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,100,DMCHBA,DGA,1,0.88,0.12,12,12,0,12,,0.00048828125,exact two-sided McNemar binomial test,0.00732421875,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,100,CBAA,ACBBA,0.82,1,-0.18,-18,0,18,18,,7.62939453125e-06,exact two-sided McNemar binomial test,9.918212890625e-05,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,100,CBAA,PI,0.82,0.76,0.0599999999999999,5.99999999999999,21,15,36,1.4,0.405032246140763,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,100,CBAA,HIPC,0.82,0.93,-0.11,-11,5,16,21,0.3125,0.0266036987304688,exact two-sided McNemar binomial test,0.159622192382812,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,100,CBAA,DMCHBA,0.82,0.96,-0.14,-14,4,18,22,0.222222222222222,0.00434350967407227,exact two-sided McNemar binomial test,0.0390915870666504,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,100,CBAA,DGA,0.82,0.79,0.0299999999999999,2.99999999999999,17,14,31,1.21428571428571,0.720100131817162,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,100,ACBBA,PI,1,0.76,0.24,24,24,0,24,,1.19209289550781e-07,exact two-sided McNemar binomial test,1.78813934326172e-06,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,100,ACBBA,HIPC,1,0.93,0.07,6.99999999999999,7,0,7,,0.015625,exact two-sided McNemar binomial test,0.109375,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,100,ACBBA,DMCHBA,1,0.96,0.04,4,4,0,4,,0.125,exact two-sided McNemar binomial test,0.625,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,100,ACBBA,DGA,1,0.79,0.21,21,21,0,21,,9.5367431640625e-07,exact two-sided McNemar binomial test,1.33514404296875e-05,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,100,PI,HIPC,0.76,0.93,-0.17,-17,5,22,27,0.227272727272727,0.00151371955871582,exact two-sided McNemar binomial test,0.0151371955871582,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,100,PI,DMCHBA,0.76,0.96,-0.2,-20,3,23,26,0.130434782608696,8.79764556884766e-05,exact two-sided McNemar binomial test,0.00105571746826172,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,100,PI,DGA,0.76,0.79,-0.03,-3,18,21,39,0.857142857142857,0.749258624760841,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,100,HIPC,DMCHBA,0.93,0.96,-0.0299999999999999,-2.99999999999999,4,7,11,0.571428571428571,0.548828125,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,100,HIPC,DGA,0.93,0.79,0.14,14,20,6,26,3.33333333333333,0.00935530662536621,exact two-sided McNemar binomial test,0.0748424530029297,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,100,DMCHBA,DGA,0.96,0.79,0.17,17,20,3,23,6.66666666666667,0.00048828125,exact two-sided McNemar binomial test,0.00537109375,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,100,CBAA,ACBBA,0.62,0.99,-0.37,-37,0,37,37,,1.45519152283669e-11,exact two-sided McNemar binomial test,2.03726813197136e-10,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,100,CBAA,PI,0.62,0.53,0.09,9,26,17,43,1.52941176470588,0.222052820156023,exact two-sided McNemar binomial test,0.888211280624091,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,100,CBAA,HIPC,0.62,0.87,-0.25,-25,6,31,37,0.193548387096774,4.12575900554657e-05,exact two-sided McNemar binomial test,0.000423050286379123,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,100,CBAA,DMCHBA,0.62,0.82,-0.2,-20,14,34,48,0.411764705882353,0.00551520148550111,exact two-sided McNemar binomial test,0.0275760074275055,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,100,CBAA,DGA,0.62,0.84,-0.22,-22,9,31,40,0.290322580645161,0.000679548254993279,exact two-sided McNemar binomial test,0.00475683778495295,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,100,ACBBA,PI,0.99,0.53,0.46,46,46,0,46,,2.8421709430404e-14,exact two-sided McNemar binomial test,4.2632564145606e-13,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,100,ACBBA,HIPC,0.99,0.87,0.12,12,13,1,14,13,0.0018310546875,exact two-sided McNemar binomial test,0.010986328125,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,100,ACBBA,DMCHBA,0.99,0.82,0.17,17,18,1,19,18,7.62939453125e-05,exact two-sided McNemar binomial test,0.0006866455078125,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,100,ACBBA,DGA,0.99,0.84,0.15,15,16,1,17,16,0.000274658203125,exact two-sided McNemar binomial test,0.002197265625,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,100,PI,HIPC,0.53,0.87,-0.34,-34,8,42,50,0.19047619047619,1.16355580459526e-06,exact two-sided McNemar binomial test,1.51262254597384e-05,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,100,PI,DMCHBA,0.53,0.82,-0.29,-29,10,39,49,0.256410256410256,3.84591169435566e-05,exact two-sided McNemar binomial test,0.000423050286379123,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,100,PI,DGA,0.53,0.84,-0.31,-31,9,40,49,0.225,9.26354640995442e-06,exact two-sided McNemar binomial test,0.000111162556919453,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,100,HIPC,DMCHBA,0.87,0.82,0.05,5,17,12,29,1.41666666666667,0.45825831964612,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,100,HIPC,DGA,0.87,0.84,0.03,3,14,11,25,1.27272727272727,0.690037965774536,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_60_rho_0_8,60,100,DMCHBA,DGA,0.82,0.84,-0.02,-2,13,15,28,0.866666666666667,0.850554019212723,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,100,CBAA,ACBBA,0.7,0.91,-0.21,-21,6,27,33,0.222222222222222,0.000324063468724489,exact two-sided McNemar binomial test,0.00356469815596938,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,100,CBAA,PI,0.7,0.45,0.25,25,36,11,47,3.27272727272727,0.000346001140314911,exact two-sided McNemar binomial test,0.00356469815596938,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,100,CBAA,HIPC,0.7,0.71,-0.01,-1,20,21,41,0.952380952380952,1,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,100,CBAA,DMCHBA,0.7,0.78,-0.0800000000000001,-8.00000000000001,15,23,38,0.652173913043478,0.25587507954333,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,100,CBAA,DGA,0.7,0.77,-0.0700000000000001,-7.00000000000001,17,24,41,0.708333333333333,0.348888879449078,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,100,ACBBA,PI,0.91,0.45,0.46,46,49,3,52,16.3333333333333,1.04267705580696e-11,exact two-sided McNemar binomial test,1.56401558371044e-10,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,100,ACBBA,HIPC,0.91,0.71,0.2,20,25,5,30,5,0.0003249142318964,exact two-sided McNemar binomial test,0.00356469815596938,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,100,ACBBA,DMCHBA,0.91,0.78,0.13,13,22,9,31,2.44444444444444,0.0294493734836578,exact two-sided McNemar binomial test,0.206145614385605,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,100,ACBBA,DGA,0.91,0.77,0.14,14,20,6,26,3.33333333333333,0.00935530662536621,exact two-sided McNemar binomial test,0.0748424530029297,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,100,PI,HIPC,0.45,0.71,-0.26,-26,8,34,42,0.235294117647059,6.87711149112147e-05,exact two-sided McNemar binomial test,0.000825253378934576,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,100,PI,DMCHBA,0.45,0.78,-0.33,-33,12,45,57,0.266666666666667,1.31274431642847e-05,exact two-sided McNemar binomial test,0.000183784204299986,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,100,PI,DGA,0.45,0.77,-0.32,-32,14,46,60,0.304347826086957,4.22370456226798e-05,exact two-sided McNemar binomial test,0.000549081593094837,True
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,100,HIPC,DMCHBA,0.71,0.78,-0.0700000000000001,-7.00000000000001,18,25,43,0.72,0.360377652935767,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,100,HIPC,DGA,0.71,0.77,-0.0600000000000001,-6.00000000000001,15,21,36,0.714285714285714,0.405032246140763,exact two-sided McNemar binomial test,1,False
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_70_rho_0_8,70,100,DMCHBA,DGA,0.78,0.77,0.01,1,17,16,33,1.0625,1,exact two-sided McNemar binomial test,1,False
