trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
0,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,7,21,"(6,8);(16,11);(7,28);(10,19)",01,6,8,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(1,1);01:(3,0);02:(2,17);03:(9,15);04:(7,21);05:(1,28)",00:0;01:1;02:0;03:0;04:0;05:0,04,completed
1,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,2,25,"(23,16);(10,8);(12,24);(12,30)",01,10,8,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(14,7);01:(14,2);02:(5,17);03:(16,8);04:(14,10);05:(2,25)",00:0;01:1;02:0;03:0;04:0;05:0,05,completed
2,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,8,12,"(7,9);(28,30);(10,9);(10,14)",02,10,14,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(10,7);01:(8,12);02:(11,12);03:(8,15);04:(8,21);05:(9,27)",00:0;01:1;02:1;03:0;04:0;05:0,01,completed
3,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,22,31,"(13,29);(29,24);(26,25);(26,31)",05,13,29,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(21,3);01:(28,11);02:(28,16);03:(22,31);04:(0,30);05:(18,25)",00:0;01:0;02:0;03:0;04:0;05:1,03,completed
4,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,24,4,"(13,0);(7,9);(23,3);(22,4)",00,13,0,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(23,5);01:(0,13);02:(24,4);03:(2,13);04:(21,20);05:(22,21)",00:3;01:0;02:0;03:1;04:0;05:0,02,completed
5,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,24,5,"(22,31);(25,6);(22,19);(29,3)",00,29,3,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(24,5);01:(18,12);02:(27,18);03:(19,19);04:(30,19);05:(5,31)",00:1;01:0;02:1;03:0;04:0;05:1,00,completed
6,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,1,24,"(4,14);(5,22);(3,24);(20,8)",02,4,14,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(3,2);01:(1,2);02:(7,3);03:(7,9);04:(10,15);05:(1,24)",00:0;01:0;02:1;03:0;04:0;05:0,05,completed
7,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,29,17,"(31,3);(12,10);(10,28);(18,1)",00,18,1,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(26,7);01:(0,11);02:(29,17);03:(30,22);04:(0,19);05:(1,20)",00:1;01:1;02:0;03:0;04:0;05:1,02,completed
8,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,4,32,"(16,7);(1,25);(6,22);(5,23)",03,6,22,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(0,4);01:(2,12);02:(9,16);03:(4,32);04:(10,25);05:(10,22)",00:0;01:0;02:0;03:2;04:1;05:0,03,completed
9,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,6,220.0,192.666667,pi_g34_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,27,24,"(26,19);(27,27);(30,10);(12,27)",04,27,27,"00:(0,0);01:(0,7);02:(0,13);03:(0,20);04:(0,26);05:(0,33)","00:(27,3);01:(27,10);02:(27,17);03:(27,24);04:(26,28);05:(27,29)",00:0;01:0;02:0;03:0;04:1;05:0,03,completed
