trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,stage,environment,algorithm_key,commitment_horizon,dga_iterations,comm_label,out_dir,run_id
10,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,59,59,0,60,0,0,0,0,119,0,0,60,59,119,0,0,0,0.0,1.9833333333333334,0.0,0.0,0.0,0.0,collision_intent:59;state:59;target:1,59,119,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
11,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,186,67,119,175,12,0,0,0,376,0,0,187,189,376,0,242,0,0.0,2.1485714285714286,2.033613445378151,0.0,0.0,0.0,clue:3;collision_intent:186;state:186;target:1,186,376,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
12,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,169,30,139,154,16,0,0,0,342,0,0,170,172,342,0,282,0,0.0,2.220779220779221,2.028776978417266,0.0,0.0,0.0,clue:3;collision_intent:169;state:169;target:1,169,342,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
13,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,44,44,0,45,0,0,0,0,89,0,0,45,44,89,0,0,0,0.0,1.9777777777777779,0.0,0.0,0.0,0.0,collision_intent:44;state:44;target:1,44,89,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
14,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,48,48,0,49,0,0,0,0,97,0,0,49,48,97,0,0,0,0.0,1.9795918367346939,0.0,0.0,0.0,0.0,collision_intent:48;state:48;target:1,48,97,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
15,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,43,32,11,44,0,0,0,0,89,0,0,44,45,89,0,25,0,0.0,2.022727272727273,2.272727272727273,0.0,0.0,0.0,clue:2;collision_intent:43;state:43;target:1,43,89,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
16,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,131,33,98,120,12,0,0,0,266,0,0,132,134,266,0,200,0,0.0,2.216666666666667,2.0408163265306123,0.0,0.0,0.0,clue:3;collision_intent:131;state:131;target:1,131,266,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
17,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,71,66,5,72,0,0,0,0,145,0,0,72,73,145,0,13,0,0.0,2.013888888888889,2.6,0.0,0.0,0.0,clue:2;collision_intent:71;state:71;target:1,71,145,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
18,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,89,58,31,90,0,0,0,0,180,0,0,90,90,180,0,64,0,0.0,2.0,2.064516129032258,0.0,0.0,0.0,clue:1;collision_intent:89;state:89;target:1,89,180,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
19,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,112,72,40,105,8,0,0,0,227,0,0,113,114,227,0,83,0,0.0,2.1619047619047618,2.075,0.0,0.0,0.0,clue:2;collision_intent:112;state:112;target:1,112,227,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
20,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,10,9,1,11,0,0,0,0,22,0,0,11,11,22,0,4,0,0.0,2.0,4.0,0.0,0.0,0.0,clue:1;collision_intent:10;state:10;target:1,10,22,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
21,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,164,40,124,153,12,0,0,0,332,0,0,165,167,332,0,252,0,0.0,2.1699346405228757,2.032258064516129,0.0,0.0,0.0,clue:3;collision_intent:164;state:164;target:1,164,332,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
22,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,151,21,130,143,9,0,0,0,306,0,0,152,154,306,0,264,0,0.0,2.13986013986014,2.0307692307692307,0.0,0.0,0.0,clue:3;collision_intent:151;state:151;target:1,151,306,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
23,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,127,35,92,121,7,0,0,0,258,0,0,128,130,258,0,188,0,0.0,2.1322314049586777,2.0434782608695654,0.0,0.0,0.0,clue:3;collision_intent:127;state:127;target:1,127,258,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
24,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,136,89,47,123,14,0,0,0,274,0,0,137,137,274,0,96,0,0.0,2.227642276422764,2.0425531914893615,0.0,0.0,0.0,clue:1;collision_intent:136;state:136;target:1,136,274,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
25,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,71,1,70,67,5,0,0,0,145,0,0,72,73,145,0,143,0,0.0,2.1641791044776117,2.0428571428571427,0.0,0.0,0.0,clue:2;collision_intent:71;state:71;target:1,71,145,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
26,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,15,15,0,16,0,0,0,0,31,0,0,16,15,31,0,0,0,0.0,1.9375,0.0,0.0,0.0,0.0,collision_intent:15;state:15;target:1,15,31,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
27,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,5,4,1,6,0,0,0,0,12,0,0,6,6,12,0,4,0,0.0,2.0,4.0,0.0,0.0,0.0,clue:1;collision_intent:5;state:5;target:1,5,12,0.0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
