trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,59.148064066343714,59.148064066343714,3,3,3,115,34,103,16,10,3,3,331,0,634,1803,96,124,510,243,391,0.06286836935166994,63.4,39.1,acbba_entry:391;collision_intent:124;state:119,0.10000000000000009,0.14320388349514568,known_visit_core_500,10,4,8
1,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,64.86729605795378,64.86729605795378,0,0,0,45,37,49,0,3,0,0,466,0,280,801,37,48,232,97,183,0.053314121037463975,28.0,18.3,acbba_entry:183;collision_intent:48;state:49,0.6000000000000001,0.5357142857142858,known_visit_core_500,10,4,8
2,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,55.14652355799271,55.14652355799271,0,0,0,82,32,86,0,7,0,0,337,0,467,1342,56,89,378,175,292,0.04951370468611848,46.7,29.2,acbba_entry:292;collision_intent:89;state:86,0.3999999999999999,0.18604651162790709,known_visit_core_500,10,4,8
3,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,37.83146787090374,37.83146787090374,0,0,0,55,22,59,0,5,0,0,239,0,338,974,37,58,280,117,221,0.04420549581839905,33.8,22.1,acbba_entry:221;collision_intent:58;state:59,0.44999999999999996,0.2838983050847457,known_visit_core_500,10,4,8
4,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,63.17302870813264,63.17302870813264,0,0,0,100,36,98,6,10,2,2,376,0,596,1726,59,110,486,214,382,0.04054982817869416,59.6,38.2,acbba_entry:382;collision_intent:110;state:104,0.1499999999999999,0.18877551020408156,known_visit_core_500,10,4,8
5,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,55.479271851840316,55.479271851840316,0,0,0,63,24,64,3,4,0,0,366,0,361,1036,44,68,293,135,226,0.0502283105022831,36.1,22.6,acbba_entry:226;collision_intent:68;state:67,0.30000000000000004,0.265625,known_visit_core_500,10,4,8
6,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,55.57280246328259,55.57280246328259,1,1,1,70,23,73,1,1,0,0,355,0,370,1056,51,78,292,152,218,0.058419243986254296,37.0,21.8,acbba_entry:218;collision_intent:78;state:74,0.30000000000000004,0.14726027397260277,known_visit_core_500,10,4,8
7,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,41.22529710777437,41.22529710777437,0,0,0,58,24,61,1,9,0,0,258,0,490,1380,87,63,427,125,365,0.06807511737089202,49.0,36.5,acbba_entry:365;collision_intent:63;state:62,0.3500000000000001,0.22540983606557385,known_visit_core_500,10,4,8
8,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,69.62871039956708,69.62871039956708,1,1,1,111,31,104,11,13,1,1,418,0,624,1791,78,122,502,237,387,0.05189620758483034,62.4,38.7,acbba_entry:387;collision_intent:122;state:115,0.10000000000000009,0.06730769230769229,known_visit_core_500,10,4,8
9,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,56.6202981235124,56.6202981235124,2,2,2,93,27,90,7,6,2,1,330,0,532,1512,82,104,428,201,331,0.06396255850234009,53.2,33.1,acbba_entry:331;collision_intent:104;state:97,0.1499999999999999,0.07777777777777772,known_visit_core_500,10,4,8
10,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,77.95195391518514,77.95195391518514,1,1,1,66,45,68,2,6,57,1,460,0,445,1272,59,71,374,141,304,0.052772808586762074,44.5,30.4,acbba_entry:304;collision_intent:71;state:70,0.6000000000000001,0.44852941176470584,known_visit_core_500,10,4,8
11,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,50.93004443736408,50.93004443736408,1,1,1,76,28,76,4,12,0,0,310,0,458,1322,49,81,377,161,297,0.04343971631205674,45.8,29.7,acbba_entry:297;collision_intent:81;state:80,0.1499999999999999,0.13815789473684204,known_visit_core_500,10,4,8
12,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,67.27203977516417,67.27203977516417,1,1,1,99,39,100,3,11,0,0,416,0,551,1588,62,104,447,207,344,0.04633781763826607,55.1,34.4,acbba_entry:344;collision_intent:104;state:103,0.3999999999999999,0.29000000000000004,known_visit_core_500,10,4,8
13,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,50.196008203486244,50.196008203486244,0,0,0,71,29,73,2,10,0,0,314,0,466,1347,48,75,391,150,316,0.041025641025641026,46.6,31.6,acbba_entry:316;collision_intent:75;state:75,0.25,0.17465753424657526,known_visit_core_500,10,4,8
14,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,44.4076781795365,44.4076781795365,0,0,0,69,26,73,0,9,0,0,271,0,490,1408,59,76,414,149,341,0.047619047619047616,49.0,34.1,acbba_entry:341;collision_intent:76;state:73,0.25,0.18150684931506844,known_visit_core_500,10,4,8
15,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,49.95232459507467,49.95232459507467,0,0,0,95,29,98,1,12,3,1,276,0,639,1827,87,102,537,201,438,0.054104477611940295,63.9,43.8,acbba_entry:438;collision_intent:102;state:99,0.25,0.06632653061224492,known_visit_core_500,10,4,8
16,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,47.21503179252952,47.21503179252952,1,1,1,56,28,59,1,5,0,0,309,0,398,1139,52,61,337,121,277,0.051587301587301584,39.8,27.7,acbba_entry:277;collision_intent:61;state:60,0.25,0.26694915254237284,known_visit_core_500,10,4,8
17,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,77.13402046065583,77.13402046065583,1,1,1,96,44,96,4,6,2,2,498,0,472,1365,48,103,369,203,269,0.043478260869565216,47.2,26.9,acbba_entry:269;collision_intent:103;state:100,0.3999999999999999,0.26041666666666674,known_visit_core_500,10,4,8
18,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,50.73785494508631,50.73785494508631,0,0,0,91,26,88,7,12,0,0,287,0,485,1392,60,101,384,196,289,0.05221932114882506,48.5,28.9,acbba_entry:289;collision_intent:101;state:95,0.25,0.10795454545454541,known_visit_core_500,10,4,8
19,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,36.43695675046417,36.43695675046417,0,0,0,70,20,74,0,8,0,0,202,0,543,1569,57,77,466,151,392,0.04086021505376344,54.3,39.2,acbba_entry:392;collision_intent:77;state:74,0.30000000000000004,0.10135135135135132,known_visit_core_500,10,4,8
20,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,48.37716157112012,48.37716157112012,0,0,0,62,26,66,0,2,0,0,314,0,462,1317,66,72,390,138,324,0.056555269922879174,46.2,32.4,acbba_entry:324;collision_intent:72;state:66,0.44999999999999996,0.25,known_visit_core_500,10,4,8
21,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,56.9116940701817,56.9116940701817,3,3,3,96,30,91,9,8,1,1,337,0,660,1900,77,109,551,209,451,0.04666666666666667,66.0,45.1,acbba_entry:451;collision_intent:109;state:100,0.30000000000000004,0.12362637362637363,known_visit_core_500,10,4,8
22,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,53.39321821381989,53.39321821381989,1,1,1,65,31,67,2,7,0,0,346,0,495,1421,61,70,425,139,356,0.0479559748427673,49.5,35.6,acbba_entry:356;collision_intent:70;state:69,0.5,0.25,known_visit_core_500,10,4,8
23,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,73.49922965943485,73.49922965943485,0,0,0,60,26,64,0,1,0,0,511,0,314,907,33,65,249,129,185,0.04429530201342282,31.4,18.5,acbba_entry:185;collision_intent:65;state:64,0.25,0.3046875,known_visit_core_500,10,4,8
24,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,62.40211660086831,62.40211660086831,2,2,2,98,34,93,9,8,0,0,375,0,592,1711,62,105,487,207,385,0.04252400548696845,59.2,38.5,acbba_entry:385;collision_intent:105;state:102,0.10000000000000009,0.10483870967741926,known_visit_core_500,10,4,8
25,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,52.20397958986948,52.20397958986948,0,0,0,78,31,82,0,4,0,0,316,0,419,1207,48,84,335,166,253,0.047856430707876374,41.9,25.3,acbba_entry:253;collision_intent:84;state:82,0.3500000000000001,0.2012195121951219,known_visit_core_500,10,4,8
26,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,46.79664789448657,46.79664789448657,0,0,0,74,27,78,0,3,0,0,282,0,372,1070,43,79,293,157,215,0.04908675799086758,37.2,21.5,acbba_entry:215;collision_intent:79;state:78,0.3500000000000001,0.25,known_visit_core_500,10,4,8
27,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,53.52243314702319,53.52243314702319,3,3,3,94,30,82,16,18,2,2,314,0,575,1662,60,101,474,199,376,0.042283298097251586,57.5,37.6,acbba_entry:376;collision_intent:101;state:98,0.25,0.14634146341463405,known_visit_core_500,10,4,8
28,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,45.56496604888004,45.56496604888004,0,0,0,69,27,72,1,5,0,0,279,0,373,1075,41,73,300,146,227,0.045707915273132664,37.3,22.7,acbba_entry:227;collision_intent:73;state:73,0.25,0.18055555555555558,known_visit_core_500,10,4,8
29,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,42.37287856623828,42.37287856623828,2,2,2,81,25,73,12,4,0,0,237,0,476,1367,58,83,393,168,308,0.04931972789115646,47.6,30.8,acbba_entry:308;collision_intent:83;state:85,0.1499999999999999,0.15410958904109595,known_visit_core_500,10,4,8
30,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,53.022549818299275,53.022549818299275,5,5,5,98,30,81,21,9,5,3,300,0,680,1966,73,111,569,213,467,0.04279015240328253,68.0,46.7,acbba_entry:467;collision_intent:111;state:102,0.55,0.2314814814814814,known_visit_core_500,10,4,8
31,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,96.4094862042297,96.4094862042297,4,4,4,125,52,113,16,17,3,1,605,0,689,2001,63,135,554,264,425,0.0379746835443038,68.9,42.5,acbba_entry:425;collision_intent:135;state:129,0.25,0.1747787610619469,known_visit_core_500,10,4,8
32,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,41.95376665621584,41.95376665621584,0,0,0,87,24,90,1,6,0,0,224,0,449,1287,53,95,354,186,263,0.05004721435316336,44.9,26.3,acbba_entry:263;collision_intent:95;state:91,0.1499999999999999,0.03888888888888897,known_visit_core_500,10,4,8
33,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,39.24573809020846,39.24573809020846,2,2,2,86,23,82,8,28,0,0,208,0,725,2060,106,90,635,180,545,0.055818852027382834,72.5,54.5,acbba_entry:545;collision_intent:90;state:90,0.25,0.09756097560975618,known_visit_core_500,10,4,8
34,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,49.12791325157747,49.12791325157747,2,2,2,81,28,81,4,7,0,0,294,0,458,1326,45,89,369,174,284,0.04076086956521739,45.8,28.4,acbba_entry:284;collision_intent:89;state:85,0.3999999999999999,0.15123456790123457,known_visit_core_500,10,4,8
35,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,64.74579799957107,64.74579799957107,0,0,0,55,38,59,0,1,0,0,449,0,319,914,40,58,261,117,202,0.05128205128205128,31.9,20.2,acbba_entry:202;collision_intent:58;state:59,0.6000000000000001,0.5042372881355932,known_visit_core_500,10,4,8
36,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,51.92070050353864,51.92070050353864,2,2,2,89,28,81,12,9,0,0,305,0,496,1428,57,98,398,191,305,0.04785894206549118,49.6,30.5,acbba_entry:305;collision_intent:98;state:93,0.3999999999999999,0.2006172839506173,known_visit_core_500,10,4,8
37,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,69.50565042936707,69.50565042936707,3,3,3,68,39,67,5,6,6,2,461,0,511,1468,62,78,433,150,361,0.047839506172839504,51.1,36.1,acbba_entry:361;collision_intent:78;state:72,0.3500000000000001,0.3171641791044777,known_visit_core_500,10,4,8
38,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,48.34826874204481,48.34826874204481,1,1,1,82,28,83,3,1,1,1,285,0,396,1129,56,85,311,171,225,0.060215053763440864,39.6,22.5,acbba_entry:225;collision_intent:85;state:86,0.3500000000000001,0.1837349397590362,known_visit_core_500,10,4,8
39,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,56.4072307075022,56.4072307075022,0,0,0,83,32,86,1,4,0,0,344,0,437,1251,57,90,347,177,260,0.05491329479768786,43.7,26.0,acbba_entry:260;collision_intent:90;state:87,0.25,0.15697674418604657,known_visit_core_500,10,4,8
40,known_visit,ACBBA,bernoulli,0.05,19,361,4,10,acbba_bernoulli_drop_0_05,known_visit_g19_t10_n500.csv,10,True,70.67075872677071,70.67075872677071,2,2,2,106,41,101,9,11,1,1,426,0,692,1999,74,115,577,225,467,0.04282407407407408,69.2,46.7,acbba_entry:467;collision_intent:115;state:110,0.3999999999999999,0.17079207920792072,known_visit_core_500,10,4,8
