trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,36.961299855234195,36.961299855234195,1,1,1,82,22,78,8,9,0,0,192,0,388,899,264,85,303,171,217,0.2907488986784141,38.8,21.7,collision_intent:85;dga_entry:217;state:86,0.1499999999999999,0.07692307692307687,known_visit_core_500,10,4,8
1,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,41.223261922447826,41.223261922447826,0,0,0,66,24,70,0,6,3,2,245,0,331,767,224,72,259,142,189,0.28903225806451616,33.1,18.9,collision_intent:72;dga_entry:189;state:70,0.25,0.1428571428571428,known_visit_core_500,10,4,8
2,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,46.57582310835649,46.57582310835649,0,0,0,99,27,103,0,7,2,2,247,0,424,1005,264,105,319,208,216,0.27672955974842767,42.4,21.6,collision_intent:105;dga_entry:216;state:103,0.1499999999999999,0.06067961165048552,known_visit_core_500,10,4,8
3,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,38.267630462195896,38.267630462195896,2,2,2,84,23,84,4,1,0,0,199,0,303,710,196,87,216,175,128,0.30387596899224806,30.3,12.8,collision_intent:87;dga_entry:128;state:88,0.10000000000000009,0.0535714285714286,known_visit_core_500,10,4,8
4,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,39.95683744434601,39.95683744434601,2,2,2,89,23,79,14,12,4,4,209,0,481,1116,324,92,389,185,296,0.27835051546391754,48.1,29.6,collision_intent:92;dga_entry:296;state:93,0.44999999999999996,0.14873417721518978,known_visit_core_500,10,4,8
5,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,34.41215144389967,34.41215144389967,2,2,2,63,21,63,4,2,0,0,196,0,262,602,182,66,196,133,129,0.310580204778157,26.2,12.9,collision_intent:66;dga_entry:129;state:67,0.30000000000000004,0.1706349206349207,known_visit_core_500,10,4,8
6,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,37.93819536401774,37.93819536401774,1,1,1,84,23,87,1,4,2,2,201,0,332,793,201,90,242,178,154,0.2776243093922652,33.2,15.4,collision_intent:90;dga_entry:154;state:88,0.30000000000000004,0.03735632183908044,known_visit_core_500,10,4,8
7,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,34.33246161311045,34.33246161311045,0,0,0,53,20,55,2,3,0,0,208,0,291,634,237,56,235,113,178,0.33712660028449504,29.1,17.8,collision_intent:56;dga_entry:178;state:57,0.30000000000000004,0.25,known_visit_core_500,10,4,8
8,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,40.303465216002415,40.303465216002415,0,0,0,92,24,95,1,6,0,0,209,0,359,834,240,94,265,190,169,0.30303030303030304,35.9,16.9,collision_intent:94;dga_entry:169;state:96,0.1499999999999999,0.02894736842105261,known_visit_core_500,10,4,8
9,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,53.11754250938947,53.11754250938947,2,2,2,118,31,104,18,11,0,0,274,0,474,1102,317,120,354,242,232,0.29933899905571293,47.4,23.2,collision_intent:120;dga_entry:232;state:122,0.10000000000000009,0.07211538461538458,known_visit_core_500,10,4,8
10,known_visit,DGA,bernoulli,0.3,19,361,4,10,dga_bernoulli_drop_0_3,known_visit_g19_t10_n500.csv,10,True,37.48144196238869,37.48144196238869,1,1,1,80,22,82,2,4,0,0,197,0,365,861,230,84,281,168,197,0.27380952380952384,36.5,19.7,collision_intent:84;dga_entry:197;state:84,0.10000000000000009,0.054878048780487854,known_visit_core_500,10,4,8
