trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_index,target_x,target_y,first_completion_time_s,first_completion_sim_time_s,first_found_by_robot,first_finder_robot_id,total_visits,duplicate_visits,completed,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
0,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h2_rayleigh_m50_66,known_visit_10target_300.csv,1,9,10,25.533229313743263,25.533229313743263,01,01,1,0,True,known_visit_horizon,commitment_horizon,2,h2,10,4
0,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h2_rayleigh_m50_66,known_visit_10target_300.csv,2,8,11,21.542551994805915,21.542551994805915,01,01,1,0,True,known_visit_horizon,commitment_horizon,2,h2,10,4
0,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h2_rayleigh_m50_66,known_visit_10target_300.csv,3,2,1,3.8938323073663237,3.8938323073663237,00,00,1,0,True,known_visit_horizon,commitment_horizon,2,h2,10,4
0,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h2_rayleigh_m50_66,known_visit_10target_300.csv,4,1,7,2.0521757735968764,2.0521757735968764,01,01,1,0,True,known_visit_horizon,commitment_horizon,2,h2,10,4
0,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h2_rayleigh_m50_66,known_visit_10target_300.csv,5,17,13,29.526925634404478,29.526925634404478,02,02,1,0,True,known_visit_horizon,commitment_horizon,2,h2,10,4
0,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h2_rayleigh_m50_66,known_visit_10target_300.csv,6,4,13,7.4457622144694575,7.4457622144694575,02,02,1,0,True,known_visit_horizon,commitment_horizon,2,h2,10,4
0,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h2_rayleigh_m50_66,known_visit_10target_300.csv,7,0,11,10.717195920433568,10.717195920433568,03,03,1,0,True,known_visit_horizon,commitment_horizon,2,h2,10,4
0,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h2_rayleigh_m50_66,known_visit_10target_300.csv,8,5,8,10.908158451940496,10.908158451940496,01,01,1,0,True,known_visit_horizon,commitment_horizon,2,h2,10,4
0,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h2_rayleigh_m50_66,known_visit_10target_300.csv,9,0,13,0.46946749367260543,0.46946749367260543,02,02,2,1,True,known_visit_horizon,commitment_horizon,2,h2,10,4
0,known_visit,ACBBA,rayleigh_style,-50.66,19,361,4,10,acbba_h2_rayleigh_m50_66,known_visit_10target_300.csv,10,14,9,35.99552419274554,35.99552419274554,01,01,1,0,True,known_visit_horizon,commitment_horizon,2,h2,10,4
