trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,PI,ideal,1.0,25,625,5,10,pi_g25_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(18,2);(11,22);(9,9);(21,1);(14,2);(7,9);(21,24);(11,3);(3,18);(22,18)",10,True,54.18445816668086,54.18445816668086,00:2;01:4;02:0;03:3;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(14,2);(21,1);(11,14);(21,24);(11,22)",402,0,completed
1,known_visit,PI,ideal,1.0,25,625,5,10,pi_g25_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,0);(22,23);(6,15);(23,23);(7,4);(12,6);(14,19);(20,4);(3,15);(10,16)",10,True,55.27325236483315,55.27325236483315,00:2;01:2;02:2;03:3;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(7,4);(20,4);(3,15);(23,23);(14,19)",431,0,completed
2,known_visit,PI,ideal,1.0,25,625,5,10,pi_g25_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(17,10);(15,0);(16,1);(21,23);(11,7);(1,11);(6,14);(8,0);(15,22);(24,6)",10,True,58.105339812285315,58.105339812285315,00:3;01:1;02:3;03:1;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(16,1);(11,7);(24,6);(6,14);(21,23)",456,0,completed
3,known_visit,PI,ideal,1.0,25,625,5,10,pi_g25_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(14,2);(4,19);(6,15);(23,19);(22,10);(2,14);(17,16);(1,11);(9,14);(7,8)",10,True,57.99101119572999,57.99101119572999,00:2;01:1;02:2;03:3;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(22,10);(2,14);(7,8);(9,14);(23,19)",450,0,completed
4,known_visit,PI,ideal,1.0,25,625,5,10,pi_g25_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,13);(21,0);(16,9);(18,18);(20,1);(12,21);(8,20);(24,6);(20,12);(2,6)",10,True,53.56383733206897,53.56383733206897,00:3;01:3;02:2;03:0;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(24,6);(20,12);(18,18);(2,17);(17,21)",397,0,completed
5,known_visit,PI,ideal,1.0,25,625,5,10,pi_g25_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,1);(2,6);(5,21);(7,2);(1,8);(16,3);(21,4);(24,20);(13,23);(5,6)",10,True,47.43629363629209,47.43629363629209,00:3;01:3;02:1;03:1;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(21,4);(7,2);(1,5);(5,21);(24,20)",370,0,completed
6,known_visit,PI,ideal,1.0,25,625,5,10,pi_g25_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,9);(24,15);(3,8);(9,8);(8,0);(24,20);(10,3);(13,9);(12,24);(11,14)",10,True,54.152827936895996,54.152827936895996,00:2;01:4;02:3;03:0;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(10,3);(13,9);(24,20);(5,11);(12,24)",427,0,completed
7,known_visit,PI,ideal,1.0,25,625,5,10,pi_g25_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(4,17);(9,16);(9,18);(24,1);(21,18);(9,19);(2,19);(14,19);(14,22);(2,6)",10,True,68.3597033639393,68.3597033639393,00:1;01:1;02:3;03:4;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(24,1);(13,6);(14,22);(21,18);(5,17)",533,0,completed
8,known_visit,PI,ideal,1.0,25,625,5,10,pi_g25_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(8,11);(22,0);(10,0);(12,12);(22,15);(7,8);(12,17);(5,8);(20,13);(11,13)",10,True,59.12254180545043,59.12254180545043,00:2;01:3;02:0;03:3;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(22,0);(8,11);(6,9);(11,13);(20,13)",463,0,completed
9,known_visit,PI,ideal,1.0,25,625,5,10,pi_g25_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,13);(0,15);(8,21);(12,5);(6,20);(1,10);(15,19);(2,11);(24,1);(15,2)",10,True,68.93533593403889,68.93533593403889,00:1;01:1;02:2;03:4;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(2,11);(12,5);(15,19);(24,1);(8,21)",557,0,completed
