trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
0,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,9,140.0,128.444444,pi_g34_d140_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,151,51,100,155,5,2,1,1,452,3608,0,156,296,316,136,350,136,0.0,2.9161290322580644,3.5,0.9006622516556292,1.36,0.8774193548387097,clue:9;collision_intent:155;pi_clear_path:3;pi_entry:133;state:151;target:1,17,53,0.024372759856630788,completed
1,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,9,140.0,128.444444,pi_g34_d140_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,977,84,893,824,162,1,21,19,3025,24193,0,1000,2025,2013,1012,2856,1012,0.0,3.671116504854369,3.198208286674132,1.0358239508700102,1.1332586786114223,1.2281553398058251,clue:36;collision_intent:999;pi_clear_path:1;pi_entry:1011;state:977;target:1,111,358,0.08872707659115431,completed
2,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,9,140.0,128.444444,pi_g34_d140_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,66,66,0,75,0,0,0,0,134,1063,0,68,66,134,0,0,0,0.0,1.7866666666666666,0.0,0.0,0.0,0.0,collision_intent:67;state:66;target:1,8,17,0.026666666666666616,completed
3,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,9,140.0,128.444444,pi_g34_d140_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,430,376,54,437,2,2,0,0,955,7632,0,433,522,881,74,201,74,0.0,2.185354691075515,3.7222222222222223,0.17209302325581396,1.3703703703703705,0.16933638443935928,clue:18;collision_intent:432;pi_entry:74;state:430;target:1,48,107,0.006610729722857922,completed
4,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,9,140.0,128.444444,pi_g34_d140_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,692,112,580,629,72,2,11,6,2184,17463,0,705,1479,1433,751,1960,751,0.0,3.4721780604133547,3.3793103448275863,1.0852601156069364,1.2948275862068965,1.1939586645468998,clue:36;collision_intent:704;pi_clear_path:1;pi_entry:750;state:692;target:1,79,257,0.05864688217629399,completed
5,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,9,140.0,128.444444,pi_g34_d140_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,384,384,0,393,0,0,0,0,769,6146,0,385,384,769,0,0,0,0.0,1.9567430025445292,0.0,0.0,0.0,0.0,collision_intent:384;state:384;target:1,43,87,0.0050890585241729624,completed
6,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,9,140.0,128.444444,pi_g34_d140_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,202,52,150,193,18,1,4,4,628,5010,0,209,419,438,190,523,190,0.0,3.2538860103626943,3.486666666666667,0.9405940594059405,1.2666666666666666,0.9844559585492227,clue:27;collision_intent:208;pi_entry:190;state:202;target:1,23,75,0.03914795624640188,completed
7,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,9,140.0,128.444444,pi_g34_d140_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,335,335,0,344,0,0,0,0,672,5366,0,337,335,672,0,0,0,0.0,1.9534883720930232,0.0,0.0,0.0,0.0,collision_intent:336;state:335;target:1,38,77,0.004521963824289266,completed
8,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,9,140.0,128.444444,pi_g34_d140_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,182,62,120,184,7,0,0,0,546,4358,0,185,361,385,161,421,161,0.0,2.967391304347826,3.5083333333333333,0.8846153846153846,1.3416666666666666,0.875,clue:18;collision_intent:184;pi_clear_path:1;pi_entry:160;state:182;target:1,21,65,0.02657004830917864,completed
9,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,9,140.0,128.444444,pi_g34_d140_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,373,369,4,381,1,2,0,0,773,6177,0,377,396,759,14,35,14,0.0,2.0288713910761156,8.75,0.03753351206434316,3.5,0.03674540682414698,clue:9;collision_intent:376;pi_entry:14;state:373;target:1,42,88,0.005249343832020914,completed
