trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
0,known_visit,ACBBA,ideal,1.0,19,361,4,10,acbba_h8_ideal,known_visit_10target_300.csv,00,3,1,0,4,0,0,0,0,0,58,8,50,228,0,known_visit_horizon,commitment_horizon,8,h8,10,4
0,known_visit,ACBBA,ideal,1.0,19,361,4,10,acbba_h8_ideal,known_visit_10target_300.csv,01,32,6,0,33,0,0,0,0,0,122,65,57,165,0,known_visit_horizon,commitment_horizon,8,h8,10,4
0,known_visit,ACBBA,ideal,1.0,19,361,4,10,acbba_h8_ideal,known_visit_10target_300.csv,02,2,1,0,3,0,0,0,0,0,46,6,40,240,0,known_visit_horizon,commitment_horizon,8,h8,10,4
0,known_visit,ACBBA,ideal,1.0,19,361,4,10,acbba_h8_ideal,known_visit_10target_300.csv,03,9,2,0,10,0,0,0,0,0,61,20,41,225,0,known_visit_horizon,commitment_horizon,8,h8,10,4
1,known_visit,ACBBA,ideal,1.0,19,361,4,10,acbba_h8_ideal,known_visit_10target_300.csv,00,28,5,0,29,0,0,0,0,0,124,57,67,296,0,known_visit_horizon,commitment_horizon,8,h8,10,4
1,known_visit,ACBBA,ideal,1.0,19,361,4,10,acbba_h8_ideal,known_visit_10target_300.csv,01,22,1,0,21,2,1,0,0,0,104,47,57,315,0,known_visit_horizon,commitment_horizon,8,h8,10,4
1,known_visit,ACBBA,ideal,1.0,19,361,4,10,acbba_h8_ideal,known_visit_10target_300.csv,02,16,1,0,17,0,3,0,0,0,94,36,58,325,0,known_visit_horizon,commitment_horizon,8,h8,10,4
1,known_visit,ACBBA,ideal,1.0,19,361,4,10,acbba_h8_ideal,known_visit_10target_300.csv,03,19,3,0,20,0,2,0,0,0,98,42,56,321,0,known_visit_horizon,commitment_horizon,8,h8,10,4
2,known_visit,ACBBA,ideal,1.0,19,361,4,10,acbba_h8_ideal,known_visit_10target_300.csv,00,4,2,0,5,0,0,0,0,0,43,10,33,239,0,known_visit_horizon,commitment_horizon,8,h8,10,4
2,known_visit,ACBBA,ideal,1.0,19,361,4,10,acbba_h8_ideal,known_visit_10target_300.csv,01,50,7,0,51,0,0,0,0,0,155,101,54,128,0,known_visit_horizon,commitment_horizon,8,h8,10,4
2,known_visit,ACBBA,ideal,1.0,19,361,4,10,acbba_h8_ideal,known_visit_10target_300.csv,02,1,0,0,2,0,0,0,0,0,38,4,34,244,0,known_visit_horizon,commitment_horizon,8,h8,10,4
2,known_visit,ACBBA,ideal,1.0,19,361,4,10,acbba_h8_ideal,known_visit_10target_300.csv,03,7,1,0,8,0,0,0,0,0,47,16,31,235,0,known_visit_horizon,commitment_horizon,8,h8,10,4
3,known_visit,ACBBA,ideal,1.0,19,361,4,10,acbba_h8_ideal,known_visit_10target_300.csv,00,15,1,0,16,0,0,0,0,0,101,33,68,299,0,known_visit_horizon,commitment_horizon,8,h8,10,4
3,known_visit,ACBBA,ideal,1.0,19,361,4,10,acbba_h8_ideal,known_visit_10target_300.csv,01,22,3,0,23,0,4,0,0,0,116,45,71,285,0,known_visit_horizon,commitment_horizon,8,h8,10,4
3,known_visit,ACBBA,ideal,1.0,19,361,4,10,acbba_h8_ideal,known_visit_10target_300.csv,02,17,4,0,18,0,3,0,0,0,107,38,69,293,0,known_visit_horizon,commitment_horizon,8,h8,10,4
3,known_visit,ACBBA,ideal,1.0,19,361,4,10,acbba_h8_ideal,known_visit_10target_300.csv,03,6,2,0,6,1,0,0,0,0,77,14,63,323,0,known_visit_horizon,commitment_horizon,8,h8,10,4
4,known_visit,ACBBA,ideal,1.0,19,361,4,10,acbba_h8_ideal,known_visit_10target_300.csv,00,47,8,0,48,0,0,0,0,0,153,95,58,132,0,known_visit_horizon,commitment_horizon,8,h8,10,4
4,known_visit,ACBBA,ideal,1.0,19,361,4,10,acbba_h8_ideal,known_visit_10target_300.csv,01,2,0,0,3,0,0,0,0,0,46,6,40,238,0,known_visit_horizon,commitment_horizon,8,h8,10,4
