trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,PI,bernoulli,drop_0.25,34,1156,6,10,pi_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,5);(28,1);(11,25);(20,24);(25,8);(3,5);(1,16);(23,30);(33,13);(24,22)",10,True,84.3787465086406,84.3787465086406,00:1;01:4;02:1;03:0;04:3;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(28,1);(33,13);(26,27);(8,16);(25,2);(23,30)",671,0,completed
1,known_visit,PI,bernoulli,drop_0.25,34,1156,6,10,pi_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(19,17);(14,6);(17,16);(16,15);(5,33);(11,30);(26,23);(24,33);(27,21);(19,32)",10,True,51.30084239134816,51.30084239134816,00:1;01:0;02:3;03:2;04:1;05:3,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(15,15);(17,20);(19,22);(26,23);(20,28);(26,33)",387,0,completed
2,known_visit,PI,bernoulli,drop_0.25,34,1156,6,10,pi_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(3,32);(26,0);(14,7);(19,20);(29,15);(24,23);(11,8);(21,32);(22,8);(10,12)",10,True,63.67622274360677,63.67622274360677,00:2;01:2;02:2;03:0;04:2;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(22,8);(10,12);(30,12);(3,20);(24,23);(23,24)",539,0,completed
3,known_visit,PI,bernoulli,drop_0.25,34,1156,6,10,pi_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,8);(19,29);(2,31);(11,10);(20,22);(32,21);(14,23);(9,2);(6,3);(3,22)",10,True,73.38950125917403,73.38950125917403,00:3;01:0;02:1;03:2;04:3;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(30,8);(9,29);(23,8);(6,6);(32,21);(20,22)",581,0,completed
4,known_visit,PI,bernoulli,drop_0.25,34,1156,6,10,pi_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(17,0);(33,1);(26,29);(15,17);(9,10);(17,18);(23,29);(13,30);(6,0);(29,29)",10,True,64.8966613113621,64.8966613113621,00:2;01:1;02:1;03:2;04:0;05:4,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(17,16);(33,1);(19,18);(17,18);(9,17);(29,24)",505,0,completed
5,known_visit,PI,bernoulli,drop_0.25,34,1156,6,10,pi_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,6);(4,2);(16,26);(9,17);(5,0);(19,7);(31,31);(15,20);(30,27);(22,11)",10,True,63.51968079150656,63.51968079150656,00:3;01:1;02:1;03:2;04:1;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(19,7);(19,1);(5,1);(23,11);(28,19);(30,27)",498,0,completed
6,known_visit,PI,bernoulli,drop_0.25,34,1156,6,10,pi_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,15);(1,18);(14,25);(6,19);(4,11);(20,18);(16,2);(23,22);(33,20);(23,9)",10,True,81.54239050377389,81.54239050377389,00:0;01:2;02:2;03:2;04:2;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(23,12);(22,2);(20,22);(10,19);(16,10);(33,20)",652,0,completed
7,known_visit,PI,bernoulli,drop_0.25,34,1156,6,10,pi_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(11,6);(22,28);(9,12);(33,20);(16,10);(15,3);(24,5);(9,8);(18,10);(4,26)",10,True,64.86179944556271,64.86179944556271,00:1;01:3;02:3;03:0;04:2;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(16,22);(24,5);(18,10);(16,10);(33,20);(22,28)",533,0,completed
8,known_visit,PI,bernoulli,drop_0.25,34,1156,6,10,pi_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(10,22);(29,12);(29,17);(17,15);(11,32);(24,29);(25,3);(5,8);(6,23);(18,30)",10,True,79.58967648494945,79.58967648494945,00:1;01:4;02:0;03:2;04:1;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(18,15);(29,12);(14,3);(24,24);(14,32);(12,17)",653,0,completed
9,known_visit,PI,bernoulli,drop_0.25,34,1156,6,10,pi_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,24);(6,0);(2,8);(22,15);(23,3);(22,26);(14,7);(29,27);(31,19);(17,25)",10,True,75.18608638276444,75.18608638276444,00:2;01:2;02:0;03:1;04:5;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(22,15);(24,19);(17,3);(24,3);(31,19);(18,23)",573,0,completed
