trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
0,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h2_rayleigh_m50_66,known_visit_10target_300.csv,10,True,48.23121469972403,48.23121469972403,0,0,0,56,28,59,1,7,2,2,321,0,178,509,22,62,116,122,56,0.06376811594202898,17.8,5.6,collision_intent:62;hipc_entry:56;state:60,0.3999999999999999,0.31779661016949157,known_visit_horizon,commitment_horizon,2,h2,10,4
1,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h2_rayleigh_m50_66,known_visit_10target_300.csv,10,True,33.945867843287374,33.945867843287374,0,0,0,74,20,78,0,3,0,0,178,0,184,517,33,77,107,155,29,0.10344827586206896,18.4,2.9,collision_intent:77;hipc_entry:29;state:78,0.10000000000000009,0.03205128205128216,known_visit_horizon,commitment_horizon,2,h2,10,4
2,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h2_rayleigh_m50_66,known_visit_10target_300.csv,10,True,37.06161247054796,37.06161247054796,0,0,0,71,22,75,0,2,0,0,208,0,186,524,31,74,112,149,37,0.09309309309309309,18.6,3.7,collision_intent:74;hipc_entry:37;state:75,0.25,0.1166666666666667,known_visit_horizon,commitment_horizon,2,h2,10,4
3,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h2_rayleigh_m50_66,known_visit_10target_300.csv,10,True,41.15573825128928,41.15573825128928,0,0,0,65,24,69,0,6,0,0,252,0,175,489,33,69,106,138,37,0.10476190476190476,17.5,3.7,collision_intent:69;hipc_entry:37;state:69,0.3500000000000001,0.12681159420289845,known_visit_horizon,commitment_horizon,2,h2,10,4
4,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h2_rayleigh_m50_66,known_visit_10target_300.csv,10,True,42.876720026837255,42.876720026837255,0,0,0,68,25,72,0,4,0,0,259,0,181,503,37,72,109,144,37,0.11419753086419752,18.1,3.7,collision_intent:72;hipc_entry:37;state:72,0.1499999999999999,0.14583333333333326,known_visit_horizon,commitment_horizon,2,h2,10,4
5,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h2_rayleigh_m50_66,known_visit_10target_300.csv,10,True,47.74271663417396,47.74271663417396,0,0,0,85,28,89,0,6,3,3,281,0,218,622,29,91,127,180,38,0.07671957671957672,21.8,3.8,collision_intent:91;hipc_entry:38;state:89,0.3999999999999999,0.1320224719101124,known_visit_horizon,commitment_horizon,2,h2,10,4
6,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h2_rayleigh_m50_66,known_visit_10target_300.csv,10,True,52.480711145404634,52.480711145404634,0,0,0,70,31,74,0,2,3,2,326,0,183,500,46,76,107,150,33,0.14465408805031446,18.3,3.3,collision_intent:76;hipc_entry:33;state:74,0.30000000000000004,0.277027027027027,known_visit_horizon,commitment_horizon,2,h2,10,4
7,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h2_rayleigh_m50_66,known_visit_10target_300.csv,10,True,35.243401085744885,35.243401085744885,0,0,0,68,21,72,0,5,0,0,199,0,179,495,39,70,109,142,37,0.12037037037037036,17.9,3.7,collision_intent:70;hipc_entry:37;state:72,0.25,0.13888888888888884,known_visit_horizon,commitment_horizon,2,h2,10,4
8,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h2_rayleigh_m50_66,known_visit_10target_300.csv,10,True,37.55252330135481,37.55252330135481,0,0,0,69,22,73,0,1,0,0,214,0,183,522,24,72,111,145,38,0.07272727272727272,18.3,3.8,collision_intent:72;hipc_entry:38;state:73,0.3999999999999999,0.13356164383561642,known_visit_horizon,commitment_horizon,2,h2,10,4
9,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h2_rayleigh_m50_66,known_visit_10target_300.csv,10,True,44.511730174606384,44.511730174606384,0,0,0,73,26,77,0,3,0,0,265,0,191,525,45,76,115,153,38,0.13157894736842105,19.1,3.8,collision_intent:76;hipc_entry:38;state:77,0.3500000000000001,0.15909090909090917,known_visit_horizon,commitment_horizon,2,h2,10,4
10,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h2_rayleigh_m50_66,known_visit_10target_300.csv,10,True,41.764889962353664,41.764889962353664,1,1,1,69,25,69,4,5,0,0,246,0,186,527,28,73,113,146,40,0.08333333333333333,18.6,4.0,collision_intent:73;hipc_entry:40;state:73,0.25,0.1557971014492754,known_visit_horizon,commitment_horizon,2,h2,10,4
11,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h2_rayleigh_m50_66,known_visit_10target_300.csv,10,True,43.25350639094143,43.25350639094143,0,0,0,64,25,68,0,4,0,0,268,0,173,492,24,67,106,135,38,0.0761904761904762,17.3,3.8,collision_intent:67;hipc_entry:38;state:68,0.25,0.17647058823529416,known_visit_horizon,commitment_horizon,2,h2,10,4
12,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h2_rayleigh_m50_66,known_visit_10target_300.csv,10,True,45.4478906211455,45.4478906211455,0,0,0,66,27,70,0,3,0,0,279,0,175,494,30,69,106,139,36,0.0946372239747634,17.5,3.6,collision_intent:69;hipc_entry:36;state:70,0.25,0.27857142857142847,known_visit_horizon,commitment_horizon,2,h2,10,4
13,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h2_rayleigh_m50_66,known_visit_10target_300.csv,10,True,45.49860568030307,45.49860568030307,0,0,0,84,27,87,1,10,0,0,257,0,237,673,35,87,150,175,62,0.07829977628635347,23.7,6.2,collision_intent:87;hipc_entry:62;state:88,0.25,0.10632183908045967,known_visit_horizon,commitment_horizon,2,h2,10,4
