trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,DMCHBA,bernoulli,0.1,19,361,4,10,dmchba_bernoulli_drop_0_1,scenarios/known_visit_g19_t10_n500.csv,00,25,3,0,26,0,0,0,0,0,0.0,0,0,51,51,0,136,12,known_visit_core_500,10,4,8
0,known_visit,DMCHBA,bernoulli,0.1,19,361,4,10,dmchba_bernoulli_drop_0_1,scenarios/known_visit_g19_t10_n500.csv,01,25,3,0,26,0,0,0,0,0,0.0,0,0,51,51,0,140,8,known_visit_core_500,10,4,8
0,known_visit,DMCHBA,bernoulli,0.1,19,361,4,10,dmchba_bernoulli_drop_0_1,scenarios/known_visit_g19_t10_n500.csv,02,25,4,0,26,0,0,0,0,0,0.0,0,0,51,51,0,140,9,known_visit_core_500,10,4,8
0,known_visit,DMCHBA,bernoulli,0.1,19,361,4,10,dmchba_bernoulli_drop_0_1,scenarios/known_visit_g19_t10_n500.csv,03,22,0,0,23,0,1,1,1,0,0.0,0,0,47,47,0,145,7,known_visit_core_500,10,4,8
1,known_visit,DMCHBA,bernoulli,0.1,19,361,4,10,dmchba_bernoulli_drop_0_1,scenarios/known_visit_g19_t10_n500.csv,00,16,2,0,17,0,0,0,0,0,0.0,0,0,33,33,0,89,2,known_visit_core_500,10,4,8
1,known_visit,DMCHBA,bernoulli,0.1,19,361,4,10,dmchba_bernoulli_drop_0_1,scenarios/known_visit_g19_t10_n500.csv,01,11,3,0,12,0,0,0,0,0,0.0,0,0,24,24,0,94,6,known_visit_core_500,10,4,8
1,known_visit,DMCHBA,bernoulli,0.1,19,361,4,10,dmchba_bernoulli_drop_0_1,scenarios/known_visit_g19_t10_n500.csv,02,16,3,0,17,0,0,0,0,0,0.0,0,0,33,33,0,84,7,known_visit_core_500,10,4,8
1,known_visit,DMCHBA,bernoulli,0.1,19,361,4,10,dmchba_bernoulli_drop_0_1,scenarios/known_visit_g19_t10_n500.csv,03,17,2,0,18,0,0,0,0,0,0.0,0,0,35,35,0,86,4,known_visit_core_500,10,4,8
2,known_visit,DMCHBA,bernoulli,0.1,19,361,4,10,dmchba_bernoulli_drop_0_1,scenarios/known_visit_g19_t10_n500.csv,00,16,2,0,17,0,0,0,0,0,0.0,0,0,36,36,0,135,6,known_visit_core_500,10,4,8
2,known_visit,DMCHBA,bernoulli,0.1,19,361,4,10,dmchba_bernoulli_drop_0_1,scenarios/known_visit_g19_t10_n500.csv,01,25,3,0,24,2,0,0,0,0,0.0,0,0,51,51,0,126,1,known_visit_core_500,10,4,8
2,known_visit,DMCHBA,bernoulli,0.1,19,361,4,10,dmchba_bernoulli_drop_0_1,scenarios/known_visit_g19_t10_n500.csv,02,21,0,1,20,2,0,0,0,0,0.0,0,0,45,45,0,121,11,known_visit_core_500,10,4,8
