stage,environment,parameter,value,setting,algorithm_key,algorithm,commitment_horizon,dga_iterations,comm_label,comm_model,comm_level,scenario_file,out_dir,run_id,expected_trials,command
topk_clue,clue,max_candidate_cells,1,k1,cbaa,CBAA,,,ideal,ideal,,runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv,runs/sensitivity_clue_topk_300/raw/k1/ideal/cbaa_k1_ideal,cbaa_k1_ideal,300,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.CBAA:CBAAAllocator"", ""--algorithm-name"", ""CBAA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""cbaa_k1_ideal"", ""--seed"", ""0"", ""--out-dir"", ""runs/sensitivity_clue_topk_300/raw/k1/ideal/cbaa_k1_ideal"", ""--no-parquet"", ""--scenario-file"", ""runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv"", ""--max-trials"", ""300"", ""--max-candidate-cells"", ""1"", ""--comm-model"", ""ideal""]"
topk_clue,clue,max_candidate_cells,1,k1,cbaa,CBAA,,,bernoulli_025,bernoulli,0.25,runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv,runs/sensitivity_clue_topk_300/raw/k1/bernoulli/cbaa_k1_bernoulli_025,cbaa_k1_bernoulli_025,300,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.CBAA:CBAAAllocator"", ""--algorithm-name"", ""CBAA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""cbaa_k1_bernoulli_025"", ""--seed"", ""0"", ""--out-dir"", ""runs/sensitivity_clue_topk_300/raw/k1/bernoulli/cbaa_k1_bernoulli_025"", ""--no-parquet"", ""--scenario-file"", ""runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv"", ""--max-trials"", ""300"", ""--max-candidate-cells"", ""1"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.25""]"
topk_clue,clue,max_candidate_cells,1,k1,acbba,ACBBA,8,,ideal,ideal,,runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv,runs/sensitivity_clue_topk_300/raw/k1/ideal/acbba_k1_ideal,acbba_k1_ideal,300,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.ACBBA:ACBBAAllocator"", ""--algorithm-name"", ""ACBBA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""acbba_k1_ideal"", ""--seed"", ""0"", ""--out-dir"", ""runs/sensitivity_clue_topk_300/raw/k1/ideal/acbba_k1_ideal"", ""--no-parquet"", ""--scenario-file"", ""runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv"", ""--max-trials"", ""300"", ""--commitment-horizon"", ""8"", ""--max-candidate-cells"", ""1"", ""--comm-model"", ""ideal""]"
topk_clue,clue,max_candidate_cells,1,k1,acbba,ACBBA,8,,bernoulli_025,bernoulli,0.25,runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv,runs/sensitivity_clue_topk_300/raw/k1/bernoulli/acbba_k1_bernoulli_025,acbba_k1_bernoulli_025,300,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.ACBBA:ACBBAAllocator"", ""--algorithm-name"", ""ACBBA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""acbba_k1_bernoulli_025"", ""--seed"", ""0"", ""--out-dir"", ""runs/sensitivity_clue_topk_300/raw/k1/bernoulli/acbba_k1_bernoulli_025"", ""--no-parquet"", ""--scenario-file"", ""runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv"", ""--max-trials"", ""300"", ""--commitment-horizon"", ""8"", ""--max-candidate-cells"", ""1"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.25""]"
topk_clue,clue,max_candidate_cells,1,k1,pi,PI,3,,ideal,ideal,,runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv,runs/sensitivity_clue_topk_300/raw/k1/ideal/pi_k1_ideal,pi_k1_ideal,300,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.PI:PIAllocator"", ""--algorithm-name"", ""PI"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""pi_k1_ideal"", ""--seed"", ""0"", ""--out-dir"", ""runs/sensitivity_clue_topk_300/raw/k1/ideal/pi_k1_ideal"", ""--no-parquet"", ""--scenario-file"", ""runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv"", ""--max-trials"", ""300"", ""--commitment-horizon"", ""3"", ""--max-candidate-cells"", ""1"", ""--comm-model"", ""ideal""]"
topk_clue,clue,max_candidate_cells,1,k1,pi,PI,3,,bernoulli_025,bernoulli,0.25,runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv,runs/sensitivity_clue_topk_300/raw/k1/bernoulli/pi_k1_bernoulli_025,pi_k1_bernoulli_025,300,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.PI:PIAllocator"", ""--algorithm-name"", ""PI"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""pi_k1_bernoulli_025"", ""--seed"", ""0"", ""--out-dir"", ""runs/sensitivity_clue_topk_300/raw/k1/bernoulli/pi_k1_bernoulli_025"", ""--no-parquet"", ""--scenario-file"", ""runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv"", ""--max-trials"", ""300"", ""--commitment-horizon"", ""3"", ""--max-candidate-cells"", ""1"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.25""]"
topk_clue,clue,max_candidate_cells,1,k1,hipc,HIPC,5,,ideal,ideal,,runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv,runs/sensitivity_clue_topk_300/raw/k1/ideal/hipc_k1_ideal,hipc_k1_ideal,300,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.HIPC:HIPCAllocator"", ""--algorithm-name"", ""HIPC"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""hipc_k1_ideal"", ""--seed"", ""0"", ""--out-dir"", ""runs/sensitivity_clue_topk_300/raw/k1/ideal/hipc_k1_ideal"", ""--no-parquet"", ""--scenario-file"", ""runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv"", ""--max-trials"", ""300"", ""--commitment-horizon"", ""5"", ""--max-candidate-cells"", ""1"", ""--comm-model"", ""ideal""]"
topk_clue,clue,max_candidate_cells,1,k1,hipc,HIPC,5,,bernoulli_025,bernoulli,0.25,runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv,runs/sensitivity_clue_topk_300/raw/k1/bernoulli/hipc_k1_bernoulli_025,hipc_k1_bernoulli_025,300,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.HIPC:HIPCAllocator"", ""--algorithm-name"", ""HIPC"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""hipc_k1_bernoulli_025"", ""--seed"", ""0"", ""--out-dir"", ""runs/sensitivity_clue_topk_300/raw/k1/bernoulli/hipc_k1_bernoulli_025"", ""--no-parquet"", ""--scenario-file"", ""runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv"", ""--max-trials"", ""300"", ""--commitment-horizon"", ""5"", ""--max-candidate-cells"", ""1"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.25""]"
topk_clue,clue,max_candidate_cells,1,k1,dmchba,DMCHBA,5,,ideal,ideal,,runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv,runs/sensitivity_clue_topk_300/raw/k1/ideal/dmchba_k1_ideal,dmchba_k1_ideal,300,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.DMCHBA:DMCHBAAllocator"", ""--algorithm-name"", ""DMCHBA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dmchba_k1_ideal"", ""--seed"", ""0"", ""--out-dir"", ""runs/sensitivity_clue_topk_300/raw/k1/ideal/dmchba_k1_ideal"", ""--no-parquet"", ""--scenario-file"", ""runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv"", ""--max-trials"", ""300"", ""--commitment-horizon"", ""5"", ""--max-candidate-cells"", ""1"", ""--comm-model"", ""ideal""]"
topk_clue,clue,max_candidate_cells,1,k1,dmchba,DMCHBA,5,,bernoulli_025,bernoulli,0.25,runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv,runs/sensitivity_clue_topk_300/raw/k1/bernoulli/dmchba_k1_bernoulli_025,dmchba_k1_bernoulli_025,300,"[""/usr/bin/python3"", ""-m"", ""benchmark_sim.run_trials"", ""--trial-mode"", ""clue_search"", ""--algorithm"", ""benchmark_sim.algorithms.DMCHBA:DMCHBAAllocator"", ""--algorithm-name"", ""DMCHBA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dmchba_k1_bernoulli_025"", ""--seed"", ""0"", ""--out-dir"", ""runs/sensitivity_clue_topk_300/raw/k1/bernoulli/dmchba_k1_bernoulli_025"", ""--no-parquet"", ""--scenario-file"", ""runs/sensitivity_scenarios/clue_tuning_g19_n300_seed20260702.csv"", ""--max-trials"", ""300"", ""--commitment-horizon"", ""5"", ""--max-candidate-cells"", ""1"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.25""]"
