trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status,failure_type,failure_message,unique_targets_completed,debug_max_events
0,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,95.41619965774932,95.41619965774932,1,1,1,158,56,178,4,6,0,0,0,0.0,0,4375,0,403,7910,1343,168,235,350,53,0.24921135646687698,40.3,5.3,collision_intent:168;hipc_clear_bundle:10;hipc_entry:43;state:182,0.8083333333333333,0.7158239700374531,4075,12974.2283,9.7673,10443.9604,8.9858,4075,2530.2679,0.9558,completed,,,,
1,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,60.94801184962842,60.94801184962842,1,1,1,134,36,156,2,11,3,1,1,5.0,1,2755,0,383,7464,1331,150,233,308,75,0.2490177736202058,38.3,7.5,collision_intent:150;hipc_clear_bundle:17;hipc_entry:58;state:158,0.8416666666666666,0.6522435897435896,2508,10341.4627,11.1971,8733.8652,10.4693,2508,1607.5975,1.1781,completed,,,,
2,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,67.62058941864301,67.62058941864301,1,1,1,148,40,170,2,11,0,0,0,0.0,0,3054,0,422,8164,1527,162,260,334,88,0.25599329421626155,42.2,8.8,collision_intent:162;hipc_clear_bundle:20;hipc_entry:68;state:172,0.8416666666666666,0.6637254901960783,2794,11083.5012,11.0887,9215.016,10.1998,2794,1868.4852,1.0585,completed,,,,
3,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,59.63237170478753,59.63237170478753,0,0,0,99,35,123,0,2,0,0,0,0.0,0,2738,0,282,5505,961,108,174,231,51,0.2413360120542441,28.2,5.1,collision_intent:108;hipc_clear_bundle:11;hipc_entry:40;state:123,0.8499999999999999,0.6595528455284552,2563,8304.7548,10.5054,6655.6753,9.6743,2563,1649.0795,1.0886,completed,,,,
4,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,56.25003775826881,56.25003775826881,1,1,1,139,34,157,6,7,0,0,0,0.0,0,2526,0,381,7418,1327,154,227,317,64,0.25504516625024026,38.1,6.4,collision_intent:154;hipc_clear_bundle:14;hipc_entry:50;state:163,0.8416666666666666,0.6573779193205944,2282,9762.9746,12.0475,8250.3951,11.2721,2282,1512.5795,1.0165,completed,,,,
5,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,69.20585434113443,69.20585434113443,0,0,0,135,39,159,0,2,2,1,1,5.0,1,3156,0,360,7011,1252,148,212,307,53,0.25766618645811895,36.0,5.3,collision_intent:148;hipc_clear_bundle:12;hipc_entry:41;state:159,0.7833333333333332,0.6538259958071277,2906,11499.7385,11.8996,9629.5315,11.0608,2906,1870.207,1.1395,completed,,,,
6,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,65.81090474350856,65.81090474350856,0,0,0,148,39,172,0,4,5,3,2,10.0,1,2971,0,427,8300,1503,163,264,335,92,0.24826560951437066,42.7,9.2,collision_intent:163;hipc_clear_bundle:14;hipc_entry:78;state:172,0.8166666666666667,0.6642441860465116,2712,9585.1659,11.5131,7791.0821,10.6155,2712,1794.0838,1.079,completed,,,,
7,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,71.83851783559015,71.83851783559015,1,1,1,139,43,161,2,5,0,0,0,0.0,0,3272,0,378,7327,1348,152,226,315,63,0.26028190770419,37.8,6.3,collision_intent:152;hipc_clear_bundle:15;hipc_entry:48;state:163,0.825,0.6586438923395443,3024,10158.3147,11.2468,8257.6013,10.5101,3024,1900.7134,0.9308,completed,,,,
8,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,62.36319624231624,62.36319624231624,0,0,0,142,37,166,0,3,0,0,0,0.0,0,2809,0,405,7860,1437,155,250,321,84,0.25069783670621076,40.5,8.4,collision_intent:155;hipc_clear_bundle:20;hipc_entry:64;state:166,0.8083333333333333,0.6360441767068272,2563,9346.0812,11.0083,7698.4177,10.2169,2563,1647.6635,0.9635,completed,,,,
9,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,10,True,69.30621656356762,69.30621656356762,2,2,2,149,41,170,3,4,0,0,0,0.0,0,3142,0,420,8096,1551,162,258,335,85,0.26194899510217867,42.0,8.5,collision_intent:162;hipc_clear_bundle:17;hipc_entry:68;state:173,0.8416666666666666,0.6735294117647057,2872,11093.5125,11.5582,9252.6056,10.7955,2872,1840.9069,0.996,completed,,,,
