trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status,failure_type,failure_message
0,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,5);(28,1);(11,25);(20,24);(25,8);(3,5);(1,16);(23,30);(33,13);(24,22)",10,True,95.41619965774932,95.41619965774932,00:0;01:0;02:0;03:2;04:0;05:2;06:0;07:0;08:0;09:0;10:0;11:1;12:0;13:0;14:0;15:3;16:0;17:1;18:0;19:0;20:0;21:1;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(0,0);(4,1);(0,3);(20,5);(0,6);(28,1);(0,9);(0,10);(0,11);(2,13);(0,14);(1,16);(0,17);(0,19);(0,20);(33,13);(0,23);(11,25);(0,26);(0,27);(0,29);(23,30);(0,32);(1,33)",4375,0,completed,,
1,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(19,17);(14,6);(17,16);(16,15);(5,33);(11,30);(26,23);(24,33);(27,21);(19,32)",10,True,60.94801184962842,60.94801184962842,00:0;01:0;02:0;03:1;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:2;12:0;13:3;14:0;15:0;16:0;17:0;18:0;19:0;20:0;21:0;22:1;23:3,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(0,0);(0,1);(0,3);(14,6);(0,6);(0,7);(1,9);(0,10);(1,11);(0,13);(0,14);(17,16);(0,17);(26,23);(5,20);(1,22);(1,23);(0,24);(5,33);(0,27);(0,29);(1,30);(11,28);(24,33)",2755,0,completed,,
2,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(3,32);(26,0);(14,7);(19,20);(29,15);(24,23);(11,8);(21,32);(22,8);(10,12)",10,True,67.62058941864301,67.62058941864301,00:1;01:0;02:0;03:0;04:0;05:3;06:0;07:0;08:1;09:0;10:0;11:0;12:0;13:0;14:3;15:0;16:0;17:0;18:0;19:0;20:0;21:0;22:2;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(26,0);(0,1);(0,3);(2,4);(0,6);(22,8);(1,9);(0,10);(14,7);(6,13);(0,14);(1,16);(1,17);(2,19);(29,15);(0,22);(0,23);(0,24);(0,26);(1,27);(2,29);(0,30);(21,32);(0,33)",3054,0,completed,,
3,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,8);(19,29);(2,31);(11,10);(20,22);(32,21);(14,23);(9,2);(6,3);(3,22)",10,True,59.63237170478753,59.63237170478753,00:0;01:0;02:2;03:0;04:0;05:0;06:0;07:2;08:0;09:0;10:0;11:0;12:0;13:0;14:0;15:4;16:0;17:0;18:0;19:0;20:1;21:1;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(0,0);(0,1);(9,2);(0,4);(1,6);(0,7);(0,9);(18,8);(0,11);(0,13);(0,14);(0,16);(0,17);(8,19);(0,20);(32,21);(1,23);(1,24);(1,26);(0,27);(19,29);(2,31);(0,32);(0,33)",2738,0,completed,,
4,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(17,0);(33,1);(26,29);(15,17);(9,10);(17,18);(23,29);(13,30);(6,0);(29,29)",10,True,56.25003775826881,56.25003775826881,00:3;01:0;02:0;03:0;04:0;05:0;06:0;07:1;08:0;09:0;10:0;11:0;12:2;13:0;14:0;15:0;16:0;17:0;18:0;19:0;20:3;21:1;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(33,1);(6,0);(1,3);(0,4);(0,6);(1,7);(0,9);(9,10);(0,11);(1,13);(1,14);(0,16);(17,18);(0,19);(0,20);(0,22);(1,23);(0,24);(0,26);(0,27);(29,29);(22,30);(0,32);(5,33)",2526,0,completed,,
5,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,6);(4,2);(16,26);(9,17);(5,0);(19,7);(31,31);(15,20);(30,27);(22,11)",10,True,69.20585434113443,69.20585434113443,00:0;01:2;02:0;03:0;04:0;05:2;06:0;07:0;08:1;09:0;10:0;11:0;12:1;13:0;14:0;15:0;16:0;17:0;18:2;19:0;20:0;21:2;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(0,0);(5,0);(4,3);(0,4);(1,6);(21,6);(0,9);(0,10);(22,11);(1,13);(2,14);(0,16);(9,17);(0,19);(1,20);(0,22);(1,23);(0,24);(15,20);(2,27);(0,29);(30,27);(0,32);(0,33)",3156,0,completed,,
6,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,15);(1,18);(14,25);(6,19);(4,11);(20,18);(16,2);(23,22);(33,20);(23,9)",10,True,65.81090474350856,65.81090474350856,00:0;01:1;02:1;03:0;04:0;05:0;06:0;07:0;08:1;09:0;10:0;11:0;12:1;13:3;14:0;15:0;16:0;17:3;18:0;19:0;20:0;21:0;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(0,0);(16,2);(23,9);(0,4);(0,6);(0,7);(0,9);(2,10);(7,11);(1,14);(0,14);(0,16);(1,18);(21,15);(11,20);(0,22);(0,23);(33,20);(14,26);(0,27);(0,29);(0,30);(0,32);(0,33)",2971,0,completed,,
7,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(11,6);(22,28);(9,12);(33,20);(16,10);(15,3);(24,5);(9,8);(18,10);(4,26)",10,True,71.83851783559015,71.83851783559015,00:0;01:0;02:1;03:0;04:2;05:2;06:0;07:2;08:0;09:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:3;19:0;20:0;21:0;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(1,0);(0,1);(15,3);(11,4);(24,5);(9,12);(0,9);(18,10);(0,11);(0,13);(0,14);(1,16);(0,17);(4,19);(0,20);(0,22);(1,23);(0,24);(33,20);(4,26);(0,29);(0,30);(1,32);(0,33)",3272,0,completed,,
8,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(10,22);(29,12);(29,17);(17,15);(11,32);(24,29);(25,3);(5,8);(6,23);(18,30)",10,True,62.36319624231624,62.36319624231624,00:0;01:0;02:1;03:0;04:0;05:1;06:0;07:0;08:0;09:0;10:3;11:0;12:0;13:0;14:0;15:0;16:2;17:0;18:0;19:0;20:2;21:0;22:1;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(0,0);(0,1);(25,3);(0,4);(5,6);(5,8);(0,9);(0,10);(0,11);(2,13);(29,12);(10,16);(0,17);(0,19);(1,20);(0,22);(10,22);(7,24);(0,26);(0,27);(24,29);(1,30);(11,32);(0,33)",2809,0,completed,,
9,known_visit,HIPC,bernoulli,drop_0.25,34,1156,24,10,hipc_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,24);(6,0);(2,8);(22,15);(23,3);(22,26);(14,7);(29,27);(31,19);(17,25)",10,True,69.30621656356762,69.30621656356762,00:1;01:0;02:0;03:0;04:0;05:3;06:0;07:0;08:0;09:0;10:1;11:0;12:0;13:0;14:0;15:0;16:0;17:2;18:0;19:3;20:0;21:0;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(6,0);(1,1);(0,3);(0,4);(0,6);(23,3);(2,8);(0,10);(0,11);(0,13);(22,15);(5,16);(0,17);(1,19);(0,20);(0,22);(3,23);(25,27);(6,26);(31,19);(0,29);(1,30);(0,32);(0,33)",3142,0,completed,,
