trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,HIPC,bernoulli,drop_0.25,25,625,8,10,hipc_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(18,2);(11,22);(9,9);(21,1);(14,2);(7,9);(21,24);(11,3);(3,18);(22,18)",10,True,135.9153821329291,135.9153821329291,00:1;01:3;02:0;03:2;04:0;05:1;06:3;07:0,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(21,1);(18,2);(9,8);(9,9);(10,14);(11,22);(22,18);(9,24)",2011,4,completed
1,known_visit,HIPC,bernoulli,drop_0.25,25,625,8,10,hipc_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,0);(22,23);(6,15);(23,23);(7,4);(12,6);(14,19);(20,4);(3,15);(10,16)",10,True,39.60519333360368,39.60519333360368,00:1;01:1;02:2;03:0;04:2;05:2;06:0;07:2,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(7,1);(10,6);(20,4);(1,10);(6,15);(14,19);(2,21);(23,23)",514,0,completed
2,known_visit,HIPC,bernoulli,drop_0.25,25,625,8,10,hipc_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(17,10);(15,0);(16,1);(21,23);(11,7);(1,11);(6,14);(8,0);(15,22);(24,6)",10,True,52.53945703563485,52.53945703563485,00:3;01:0;02:3;03:1;04:1;05:0;06:2;07:0,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(16,1);(11,3);(24,6);(1,11);(6,14);(0,17);(21,23);(0,24)",723,0,completed
3,known_visit,HIPC,bernoulli,drop_0.25,25,625,8,10,hipc_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(14,2);(4,19);(6,15);(23,19);(22,10);(2,14);(17,16);(1,11);(9,14);(7,8)",10,True,51.757506255020445,51.757506255020445,00:0;01:2;02:1;03:1;04:5;05:0;06:1;07:0,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(0,0);(22,10);(7,8);(4,11);(23,19);(9,18);(4,19);(0,24)",717,0,completed
4,known_visit,HIPC,bernoulli,drop_0.25,25,625,8,10,hipc_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,13);(21,0);(16,9);(18,18);(20,1);(12,21);(8,20);(24,6);(20,12);(2,6)",10,True,54.82238550867851,54.82238550867851,00:3;01:0;02:3;03:0;04:1;05:1;06:2;07:0,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(24,6);(0,3);(20,12);(0,10);(2,13);(19,18);(12,21);(3,24)",751,0,completed
5,known_visit,HIPC,bernoulli,drop_0.25,25,625,8,10,hipc_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,1);(2,6);(5,21);(7,2);(1,8);(16,3);(21,4);(24,20);(13,23);(5,6)",10,True,49.05274229077215,49.05274229077215,00:3;01:3;02:1;03:0;04:0;05:0;06:3;07:0,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(16,3);(21,4);(2,6);(1,10);(0,14);(4,17);(24,20);(1,24)",674,0,completed
6,known_visit,HIPC,bernoulli,drop_0.25,25,625,8,10,hipc_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,9);(24,15);(3,8);(9,8);(8,0);(24,20);(10,3);(13,9);(12,24);(11,14)",10,True,185.0097750152177,185.0097750152177,00:2;01:0;02:1;03:5;04:1;05:0;06:0;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(19,14);(9,13);(13,9);(24,20);(8,0);(22,17);(13,21);(3,17)",2664,8,completed
7,known_visit,HIPC,bernoulli,drop_0.25,25,625,8,10,hipc_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(4,17);(9,16);(9,18);(24,1);(21,18);(9,19);(2,19);(14,19);(14,22);(2,6)",10,True,58.93534519458223,58.93534519458223,00:1;01:0;02:1;03:0;04:0;05:4;06:2;07:2,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(24,1);(1,3);(2,6);(1,10);(2,19);(21,18);(15,21);(9,16)",787,0,completed
8,known_visit,HIPC,bernoulli,drop_0.25,25,625,8,10,hipc_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(8,11);(22,0);(10,0);(12,12);(22,15);(7,8);(12,17);(5,8);(20,13);(11,13)",10,True,45.6195168896497,45.6195168896497,00:2;01:0;02:2;03:1;04:4;05:1;06:0;07:0,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(22,0);(8,3);(7,8);(8,11);(22,15);(14,17);(0,21);(0,24)",615,0,completed
9,known_visit,HIPC,bernoulli,drop_0.25,25,625,8,10,hipc_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,13);(0,15);(8,21);(12,5);(6,20);(1,10);(15,19);(2,11);(24,1);(15,2)",10,True,45.115061715922636,45.115061715922636,00:2;01:1;02:0;03:4;04:1;05:0;06:2;07:0,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(24,1);(12,13);(1,10);(15,19);(0,15);(4,17);(8,21);(0,24)",613,0,completed
10,known_visit,HIPC,bernoulli,drop_0.25,25,625,8,10,hipc_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(7,19);(19,17);(5,6);(15,7);(18,8);(10,8);(22,4);(18,0);(16,19);(4,13)",10,True,42.67731070500543,42.67731070500543,00:2;01:0;02:1;03:3;04:1;05:1;06:2;07:0,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(22,4);(0,3);(6,4);(18,8);(4,13);(19,17);(16,19);(0,24)",555,0,completed
11,known_visit,HIPC,bernoulli,drop_0.25,25,625,8,10,hipc_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(20,11);(6,17);(9,3);(9,13);(12,20);(2,14);(16,16);(20,1);(20,16);(12,19)",10,True,48.898505272033766,48.898505272033766,00:0;01:2;02:0;03:0;04:5;05:1;06:2;07:0,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(0,0);(20,1);(0,7);(9,10);(20,11);(7,17);(12,19);(1,24)",678,0,completed
12,known_visit,HIPC,bernoulli,drop_0.25,25,625,8,10,hipc_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(1,15);(19,20);(4,24);(14,12);(9,13);(5,13);(14,13);(14,9);(13,3);(13,6)",10,True,46.170902732360815,46.170902732360815,00:0;01:1;02:2;03:4;04:2;05:0;06:0;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(0,0);(13,3);(14,9);(14,12);(19,20);(0,17);(0,21);(4,24)",641,0,completed
