trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,benchmark_suite,num_targets,num_robots,commitment_horizon
299,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,03,30,5,0,31,0,0,0,0,0,150,61,89,407,74,known_visit_core_500,10,4,8
300,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,29,1,2,20,10,0,0,0,0,150,59,91,333,70,known_visit_core_500,10,4,8
300,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,01,29,3,0,30,0,1,0,0,0,136,59,77,354,64,known_visit_core_500,10,4,8
300,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,02,20,4,0,21,0,0,0,0,0,125,42,83,363,64,known_visit_core_500,10,4,8
300,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,03,29,2,0,29,1,0,0,0,0,143,59,84,333,76,known_visit_core_500,10,4,8
301,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,18,1,0,19,0,2,0,0,0,119,38,81,347,64,known_visit_core_500,10,4,8
301,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,01,32,4,0,32,1,0,0,0,0,144,65,79,320,67,known_visit_core_500,10,4,8
301,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,02,28,4,1,28,1,0,0,0,0,145,58,87,320,64,known_visit_core_500,10,4,8
301,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,03,17,1,1,16,2,1,0,0,0,123,36,87,339,67,known_visit_core_500,10,4,8
302,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,25,0,0,25,1,4,0,0,0,135,52,83,307,67,known_visit_core_500,10,4,8
302,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,01,26,3,0,27,0,1,0,0,0,130,53,77,329,51,known_visit_core_500,10,4,8
302,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,02,20,1,1,20,1,2,10,2,0,122,45,77,329,57,known_visit_core_500,10,4,8
302,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,03,21,6,0,22,0,1,0,0,0,123,44,79,312,74,known_visit_core_500,10,4,8
303,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,23,1,1,20,4,1,0,0,0,123,48,75,298,67,known_visit_core_500,10,4,8
303,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,01,27,5,0,28,0,2,0,0,0,129,56,73,295,65,known_visit_core_500,10,4,8
303,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,02,18,2,0,19,0,0,0,0,0,107,38,69,310,70,known_visit_core_500,10,4,8
303,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,03,22,2,1,19,4,0,0,0,0,130,46,84,301,56,known_visit_core_500,10,4,8
304,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,17,2,0,18,0,2,0,0,0,101,36,65,262,49,known_visit_core_500,10,4,8
304,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,01,18,1,0,17,2,3,0,0,0,108,37,71,241,62,known_visit_core_500,10,4,8
304,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,02,18,5,0,19,0,0,0,0,0,103,37,66,259,50,known_visit_core_500,10,4,8
304,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,03,19,2,0,20,0,0,0,0,0,101,39,62,252,60,known_visit_core_500,10,4,8
305,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,31,1,0,32,0,5,1,1,0,178,63,115,381,81,known_visit_core_500,10,4,8
305,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,01,31,3,0,32,0,3,0,0,0,151,63,88,415,75,known_visit_core_500,10,4,8
305,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,02,30,2,1,18,13,1,0,0,0,168,61,107,389,82,known_visit_core_500,10,4,8
305,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,03,30,4,0,31,0,0,0,0,0,144,61,83,416,79,known_visit_core_500,10,4,8
306,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,19,2,0,19,1,0,0,0,0,112,40,72,263,63,known_visit_core_500,10,4,8
306,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,01,18,1,0,19,0,2,0,0,0,112,38,74,289,37,known_visit_core_500,10,4,8
306,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,02,20,4,0,21,0,0,0,0,0,107,41,66,261,71,known_visit_core_500,10,4,8
306,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,03,18,3,0,19,0,0,0,0,0,108,38,70,283,46,known_visit_core_500,10,4,8
307,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,20,3,0,21,0,1,0,0,0,108,42,66,274,70,known_visit_core_500,10,4,8
307,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,01,20,2,0,20,1,1,0,0,0,114,41,73,281,57,known_visit_core_500,10,4,8
307,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,02,21,2,0,22,0,1,0,0,0,114,43,71,290,49,known_visit_core_500,10,4,8
307,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,03,21,3,0,22,0,0,0,0,0,117,43,74,288,48,known_visit_core_500,10,4,8
308,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,28,2,1,26,3,1,0,0,0,143,57,86,321,72,known_visit_core_500,10,4,8
308,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,01,27,2,1,25,3,1,0,0,0,133,55,78,326,76,known_visit_core_500,10,4,8
308,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,02,28,3,1,23,6,1,0,0,0,129,57,72,334,72,known_visit_core_500,10,4,8
308,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,03,28,3,0,29,0,2,0,0,0,132,57,75,338,67,known_visit_core_500,10,4,8
309,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,20,3,0,21,0,0,0,0,0,105,41,64,272,60,known_visit_core_500,10,4,8
309,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,01,19,1,1,19,1,2,0,0,0,117,40,77,257,64,known_visit_core_500,10,4,8
309,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,02,20,4,0,21,0,0,0,0,0,105,41,64,277,57,known_visit_core_500,10,4,8
309,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,03,19,2,1,17,3,0,0,0,0,112,40,72,272,53,known_visit_core_500,10,4,8
310,known_visit,CBAA,bernoulli,0.2,19,361,4,10,cbaa_bernoulli_drop_0_2,known_visit_g19_t10_n500.csv,00,25,2,0,25,1,0,0,0,0,132,51,81,322,61,known_visit_core_500,10,4,8
