stage,environment,parameter,value,setting,algorithm_key,algorithm,dga_iterations,comm_label,comm_model,comm_level,scenario_file,out_dir,run_id,expected_trials,command
known_horizon,known,commitment_horizon,3,h3,acbba,ACBBA,,ideal,ideal,,scenarios/known_visit_10target_300.csv,known_target_sensitivity_test_results/horizon_results/raw/h3/ideal/acbba_h3_ideal,acbba_h3_ideal,300,"[""/usr/bin/python3"", ""-m"", ""known_visit_sim.run_trials"", ""--scenario-file"", ""scenarios/known_visit_10target_300.csv"", ""--algorithm"", ""known_visit_sim.algorithms.ACBBA:ACBBAAllocator"", ""--algorithm-name"", ""ACBBA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""acbba_h3_ideal"", ""--seed"", ""0"", ""--out-dir"", ""known_target_sensitivity_test_results/horizon_results/raw/h3/ideal/acbba_h3_ideal"", ""--max-trials"", ""300"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""ideal""]"
known_horizon,known,commitment_horizon,3,h3,acbba,ACBBA,,bernoulli_025,bernoulli,0.25,scenarios/known_visit_10target_300.csv,known_target_sensitivity_test_results/horizon_results/raw/h3/bernoulli/acbba_h3_bernoulli_025,acbba_h3_bernoulli_025,300,"[""/usr/bin/python3"", ""-m"", ""known_visit_sim.run_trials"", ""--scenario-file"", ""scenarios/known_visit_10target_300.csv"", ""--algorithm"", ""known_visit_sim.algorithms.ACBBA:ACBBAAllocator"", ""--algorithm-name"", ""ACBBA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""acbba_h3_bernoulli_025"", ""--seed"", ""0"", ""--out-dir"", ""known_target_sensitivity_test_results/horizon_results/raw/h3/bernoulli/acbba_h3_bernoulli_025"", ""--max-trials"", ""300"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.25""]"
known_horizon,known,commitment_horizon,3,h3,pi,PI,,ideal,ideal,,scenarios/known_visit_10target_300.csv,known_target_sensitivity_test_results/horizon_results/raw/h3/ideal/pi_h3_ideal,pi_h3_ideal,300,"[""/usr/bin/python3"", ""-m"", ""known_visit_sim.run_trials"", ""--scenario-file"", ""scenarios/known_visit_10target_300.csv"", ""--algorithm"", ""known_visit_sim.algorithms.PI:PIAllocator"", ""--algorithm-name"", ""PI"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""pi_h3_ideal"", ""--seed"", ""0"", ""--out-dir"", ""known_target_sensitivity_test_results/horizon_results/raw/h3/ideal/pi_h3_ideal"", ""--max-trials"", ""300"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""ideal""]"
known_horizon,known,commitment_horizon,3,h3,pi,PI,,bernoulli_025,bernoulli,0.25,scenarios/known_visit_10target_300.csv,known_target_sensitivity_test_results/horizon_results/raw/h3/bernoulli/pi_h3_bernoulli_025,pi_h3_bernoulli_025,300,"[""/usr/bin/python3"", ""-m"", ""known_visit_sim.run_trials"", ""--scenario-file"", ""scenarios/known_visit_10target_300.csv"", ""--algorithm"", ""known_visit_sim.algorithms.PI:PIAllocator"", ""--algorithm-name"", ""PI"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""pi_h3_bernoulli_025"", ""--seed"", ""0"", ""--out-dir"", ""known_target_sensitivity_test_results/horizon_results/raw/h3/bernoulli/pi_h3_bernoulli_025"", ""--max-trials"", ""300"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.25""]"
known_horizon,known,commitment_horizon,3,h3,hipc,HIPC,,ideal,ideal,,scenarios/known_visit_10target_300.csv,known_target_sensitivity_test_results/horizon_results/raw/h3/ideal/hipc_h3_ideal,hipc_h3_ideal,300,"[""/usr/bin/python3"", ""-m"", ""known_visit_sim.run_trials"", ""--scenario-file"", ""scenarios/known_visit_10target_300.csv"", ""--algorithm"", ""known_visit_sim.algorithms.HIPC:HIPCAllocator"", ""--algorithm-name"", ""HIPC"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""hipc_h3_ideal"", ""--seed"", ""0"", ""--out-dir"", ""known_target_sensitivity_test_results/horizon_results/raw/h3/ideal/hipc_h3_ideal"", ""--max-trials"", ""300"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""ideal""]"
known_horizon,known,commitment_horizon,3,h3,hipc,HIPC,,bernoulli_025,bernoulli,0.25,scenarios/known_visit_10target_300.csv,known_target_sensitivity_test_results/horizon_results/raw/h3/bernoulli/hipc_h3_bernoulli_025,hipc_h3_bernoulli_025,300,"[""/usr/bin/python3"", ""-m"", ""known_visit_sim.run_trials"", ""--scenario-file"", ""scenarios/known_visit_10target_300.csv"", ""--algorithm"", ""known_visit_sim.algorithms.HIPC:HIPCAllocator"", ""--algorithm-name"", ""HIPC"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""hipc_h3_bernoulli_025"", ""--seed"", ""0"", ""--out-dir"", ""known_target_sensitivity_test_results/horizon_results/raw/h3/bernoulli/hipc_h3_bernoulli_025"", ""--max-trials"", ""300"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.25""]"
known_horizon,known,commitment_horizon,3,h3,dmchba,DMCHBA,,ideal,ideal,,scenarios/known_visit_10target_300.csv,known_target_sensitivity_test_results/horizon_results/raw/h3/ideal/dmchba_h3_ideal,dmchba_h3_ideal,300,"[""/usr/bin/python3"", ""-m"", ""known_visit_sim.run_trials"", ""--scenario-file"", ""scenarios/known_visit_10target_300.csv"", ""--algorithm"", ""known_visit_sim.algorithms.DMCHBA:DMCHBAAllocator"", ""--algorithm-name"", ""DMCHBA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dmchba_h3_ideal"", ""--seed"", ""0"", ""--out-dir"", ""known_target_sensitivity_test_results/horizon_results/raw/h3/ideal/dmchba_h3_ideal"", ""--max-trials"", ""300"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""ideal""]"
known_horizon,known,commitment_horizon,3,h3,dmchba,DMCHBA,,bernoulli_025,bernoulli,0.25,scenarios/known_visit_10target_300.csv,known_target_sensitivity_test_results/horizon_results/raw/h3/bernoulli/dmchba_h3_bernoulli_025,dmchba_h3_bernoulli_025,300,"[""/usr/bin/python3"", ""-m"", ""known_visit_sim.run_trials"", ""--scenario-file"", ""scenarios/known_visit_10target_300.csv"", ""--algorithm"", ""known_visit_sim.algorithms.DMCHBA:DMCHBAAllocator"", ""--algorithm-name"", ""DMCHBA"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dmchba_h3_bernoulli_025"", ""--seed"", ""0"", ""--out-dir"", ""known_target_sensitivity_test_results/horizon_results/raw/h3/bernoulli/dmchba_h3_bernoulli_025"", ""--max-trials"", ""300"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.25""]"
known_horizon,known,commitment_horizon,3,h3,dga,DGA,25,ideal,ideal,,scenarios/known_visit_10target_300.csv,known_target_sensitivity_test_results/horizon_results/raw/h3/ideal/dga_h3_ideal,dga_h3_ideal,300,"[""/usr/bin/python3"", ""-m"", ""known_visit_sim.run_trials"", ""--scenario-file"", ""scenarios/known_visit_10target_300.csv"", ""--algorithm"", ""known_visit_sim.algorithms.dga_iter_wrappers.DGA_iter_25:DGAIter25Allocator"", ""--algorithm-name"", ""DGA_iter_25"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dga_h3_ideal"", ""--seed"", ""0"", ""--out-dir"", ""known_target_sensitivity_test_results/horizon_results/raw/h3/ideal/dga_h3_ideal"", ""--max-trials"", ""300"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""ideal""]"
known_horizon,known,commitment_horizon,3,h3,dga,DGA,25,bernoulli_025,bernoulli,0.25,scenarios/known_visit_10target_300.csv,known_target_sensitivity_test_results/horizon_results/raw/h3/bernoulli/dga_h3_bernoulli_025,dga_h3_bernoulli_025,300,"[""/usr/bin/python3"", ""-m"", ""known_visit_sim.run_trials"", ""--scenario-file"", ""scenarios/known_visit_10target_300.csv"", ""--algorithm"", ""known_visit_sim.algorithms.dga_iter_wrappers.DGA_iter_25:DGAIter25Allocator"", ""--algorithm-name"", ""DGA_iter_25"", ""--grid-size"", ""19"", ""--num-robots"", ""4"", ""--robot-start-layout"", ""edge_even"", ""--condition-id"", ""dga_h3_bernoulli_025"", ""--seed"", ""0"", ""--out-dir"", ""known_target_sensitivity_test_results/horizon_results/raw/h3/bernoulli/dga_h3_bernoulli_025"", ""--max-trials"", ""300"", ""--commitment-horizon"", ""3"", ""--comm-model"", ""bernoulli"", ""--comm-level"", ""0.25""]"
