trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
40,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,52.39230086615342,52.39230086615342,0,0,0,117,31,130,0,7,0,0,0,0.0,0,1213,0,355,4248,0,131,224,261,94,0.0,35.5,9.4,collision_intent:131;pi_clear_path:19;pi_entry:75;state:130,0.7384615384615385,0.4579881656804734,1022,1099.1391,2.7986,715.9732,1.8852,1039,383.1659,0.5376,completed
41,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,38.04713507198405,38.04713507198405,0,0,0,91,23,103,1,1,1,1,0,0.0,0,872,0,262,3132,0,104,158,208,54,0.0,26.2,5.4,collision_intent:104;pi_clear_path:14;pi_entry:40;state:104,0.6153846153846154,0.5018670649738612,721,777.7135,2.7328,523.9101,1.833,725,253.8034,0.6208,completed
42,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,44.857960005108566,44.857960005108566,0,0,0,100,27,113,0,15,0,0,0,0.0,0,1044,0,325,3888,0,120,205,233,92,0.0,32.5,9.2,collision_intent:120;pi_clear_path:21;pi_entry:71;state:113,0.5538461538461539,0.5214431586113002,878,965.9603,2.6001,638.8624,1.7675,894,327.0979,0.537,completed
43,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,70.06384936582468,70.06384936582468,0,0,0,132,41,143,2,17,0,0,0,0.0,0,1653,0,398,4764,0,152,246,297,101,0.0,39.8,10.1,collision_intent:152;pi_clear_path:29;pi_entry:72;state:145,0.7230769230769232,0.5131791285637439,1430,1404.7939,2.7186,909.6561,1.7931,1449,495.1378,0.5759,completed
44,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,48.90957879967389,48.90957879967389,0,0,0,136,29,148,1,9,0,0,0,0.0,0,1093,0,404,4836,0,155,249,304,100,0.0,40.4,10.0,collision_intent:155;pi_clear_path:31;pi_entry:69;state:149,0.7230769230769232,0.43347193347193347,872,1067.9866,2.7805,720.8086,1.869,893,347.178,0.5925,completed
45,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,48.363234009715946,48.363234009715946,0,0,0,96,29,108,1,3,4,2,1,5.0,1,1143,0,283,3384,0,109,174,218,65,0.0,28.3,6.5,collision_intent:109;pi_clear_path:15;pi_entry:50;state:109,0.676923076923077,0.5512820512820513,978,1028.1085,2.5495,667.4215,1.7055,988,360.687,0.539,completed
46,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,52.885942520559375,52.885942520559375,0,0,0,117,31,130,0,9,0,0,0,0.0,0,1222,0,367,4392,0,129,238,259,108,0.0,36.7,10.8,collision_intent:129;pi_clear_path:27;pi_entry:81;state:130,0.7384615384615385,0.44497041420118344,1034,1037.0633,3.1574,688.7334,2.108,1048,348.3299,0.5399,completed
47,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,56.65398423936046,56.65398423936046,0,0,0,114,33,127,0,4,0,0,0,0.0,0,1327,0,332,3972,0,129,203,256,76,0.0,33.2,7.6,collision_intent:129;pi_clear_path:20;pi_entry:56;state:127,0.7230769230769232,0.5172622652937615,1126,1182.1747,2.7626,786.1242,1.8877,1139,396.0505,0.5305,completed
48,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,48.55707267399711,48.55707267399711,0,0,0,119,29,132,0,5,0,0,0,0.0,0,1109,0,335,4008,0,134,201,266,69,0.0,33.5,6.9,collision_intent:134;pi_clear_path:16;pi_entry:53;state:132,0.6000000000000001,0.526806526806527,911,1005.2935,2.4917,679.0266,1.7131,919,326.2669,0.5136,completed
49,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,54.9636069661281,54.9636069661281,0,0,0,112,33,124,1,1,0,0,0,0.0,0,1285,0,306,3660,0,124,182,249,57,0.0,30.6,5.7,collision_intent:124;pi_clear_path:17;pi_entry:40;state:125,0.676923076923077,0.5235732009925558,1091,1165.2194,2.5733,786.5721,1.7162,1093,378.6473,0.5922,completed
