trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(18,2);(11,22);(9,9);(21,1);(14,2);(7,9);(21,24);(11,3);(3,18);(22,18)",10,True,62.190187406796575,62.190187406796575,00:0;01:1;02:0;03:2;04:0;05:0;06:0;07:0;08:3;09:3;10:0;11:1;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(1,0);(9,9);(2,4);(14,2);(2,8);(2,10);(3,12);(2,14);(21,1);(21,24);(1,20);(11,22);(3,24)",1458,0,completed
1,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,0);(22,23);(6,15);(23,23);(7,4);(12,6);(14,19);(20,4);(3,15);(10,16)",10,True,50.18736084281245,50.18736084281245,00:1;01:0;02:1;03:0;04:0;05:2;06:2;07:2;08:0;09:0;10:0;11:2;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(2,0);(2,2);(7,4);(1,6);(1,8);(14,19);(6,15);(20,4);(3,16);(3,18);(2,20);(23,23);(1,24)",1167,0,completed
2,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(17,10);(15,0);(16,1);(21,23);(11,7);(1,11);(6,14);(8,0);(15,22);(24,6)",10,True,57.43698115606603,57.43698115606603,00:3;01:0;02:2;03:1;04:0;05:1;06:0;07:1;08:0;09:0;10:2;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(16,1);(1,2);(24,6);(11,7);(1,9);(1,11);(1,12);(6,14);(2,16);(1,18);(21,23);(1,22);(1,24)",1361,0,completed
3,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(14,2);(4,19);(6,15);(23,19);(22,10);(2,14);(17,16);(1,11);(9,14);(7,8)",10,True,64.24127694348476,64.24127694348476,00:1;01:0;02:0;03:0;04:1;05:1;06:3;07:0;08:3;09:1;10:0;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(14,3);(1,2);(2,4);(2,6);(1,11);(7,8);(9,14);(1,14);(22,10);(4,19);(2,20);(2,22);(1,24)",1545,0,completed
4,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,13);(21,0);(16,9);(18,18);(20,1);(12,21);(8,20);(24,6);(20,12);(2,6)",10,True,56.80888145423602,56.80888145423602,00:0;01:0;02:3;03:1;04:0;05:0;06:1;07:0;08:1;09:2;10:2;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(1,0);(1,2);(24,6);(2,6);(2,8);(2,10);(2,13);(2,14);(16,9);(20,12);(12,21);(1,22);(2,24)",1325,0,completed
5,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,1);(2,6);(5,21);(7,2);(1,8);(16,3);(21,4);(24,20);(13,23);(5,6)",10,True,51.80368463214729,51.80368463214729,00:2;01:2;02:0;03:0;04:1;05:2;06:0;07:0;08:0;09:0;10:3;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(21,4);(12,1);(1,4);(1,6);(1,8);(5,6);(1,12);(0,14);(1,16);(2,18);(24,20);(5,22);(2,24)",1235,0,completed
6,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,9);(24,15);(3,8);(9,8);(8,0);(24,20);(10,3);(13,9);(12,24);(11,14)",10,True,47.689334770342846,47.689334770342846,00:2;01:0;02:2;03:0;04:2;05:0;06:0;07:1;08:0;09:0;10:2;11:0;12:1,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(10,3);(2,2);(13,9);(3,6);(5,9);(3,10);(3,12);(11,14);(2,16);(2,18);(24,15);(3,22);(12,24)",1104,0,completed
7,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(4,17);(9,16);(9,18);(24,1);(21,18);(9,19);(2,19);(14,19);(14,22);(2,6)",10,True,41.788690464517074,41.788690464517074,00:1;01:0;02:0;03:1;04:3;05:0;06:0;07:0;08:0;09:1;10:1;11:3;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(24,1);(1,2);(2,4);(10,12);(9,19);(2,10);(2,12);(2,14);(3,18);(4,17);(2,19);(21,18);(1,24)",955,0,completed
8,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(8,11);(22,0);(10,0);(12,12);(22,15);(7,8);(12,17);(5,8);(20,13);(11,13)",10,True,68.309151987207,68.309151987207,00:2;01:0;02:0;03:3;04:5;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(22,0);(12,9);(7,4);(22,15);(12,17);(3,10);(3,12);(2,14);(3,16);(3,18);(3,20);(3,22);(3,24)",1601,0,completed
9,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,13);(0,15);(8,21);(12,5);(6,20);(1,10);(15,19);(2,11);(24,1);(15,2)",10,True,49.535541265148204,49.535541265148204,00:0;01:0;02:1;03:2;04:0;05:2;06:2;07:0;08:1;09:0;10:2;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(2,0);(1,3);(12,5);(24,1);(2,8);(2,12);(15,19);(0,14);(0,15);(1,17);(8,21);(3,22);(2,24)",1177,0,completed
10,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(7,19);(19,17);(5,6);(15,7);(18,8);(10,8);(22,4);(18,0);(16,19);(4,13)",10,True,53.68269933240417,53.68269933240417,00:0;01:2;02:0;03:3;04:3;05:0;06:0;07:1;08:0;09:1;10:0;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(2,0);(22,4);(3,4);(18,8);(19,17);(10,10);(2,12);(4,13);(3,16);(7,19);(2,20);(3,22);(2,24)",1238,0,completed
11,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(20,11);(6,17);(9,3);(9,13);(12,20);(2,14);(16,16);(20,1);(20,16);(12,19)",10,True,87.97436427280326,87.97436427280326,00:0;01:3;02:1;03:0;04:1;05:3;06:0;07:1;08:1;09:0;10:0;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(2,0);(12,20);(20,1);(3,6);(21,11);(20,16);(2,12);(2,14);(6,17);(3,18);(1,20);(2,22);(1,24)",2089,0,completed
12,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(1,15);(19,20);(4,24);(14,12);(9,13);(5,13);(14,13);(14,9);(13,3);(13,6)",10,True,38.707109070832225,38.707109070832225,00:0;01:0;02:2;03:0;04:1;05:0;06:1;07:0;08:1;09:3;10:0;11:1;12:1,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(15,4);(2,2);(13,6);(3,6);(9,13);(2,10);(5,13);(2,14);(1,15);(14,9);(4,19);(19,20);(4,24)",853,0,completed
13,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(22,9);(15,5);(2,20);(2,18);(23,0);(16,9);(13,16);(22,12);(2,3);(12,19)",10,True,60.667470303061776,60.667470303061776,00:3;01:1;02:1;03:1;04:0;05:0;06:0;07:0;08:0;09:1;10:1;11:0;12:2,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(22,12);(16,9);(4,3);(15,5);(3,8);(2,10);(4,12);(2,14);(2,16);(2,18);(2,20);(2,22);(13,16)",1421,0,completed
14,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(15,19);(12,23);(23,21);(3,18);(1,5);(10,4);(12,2);(22,16);(22,11);(1,6)",10,True,73.86394128567828,73.86394128567828,00:0;01:0;02:1;03:3;04:0;05:0;06:0;07:2;08:0;09:0;10:3;11:0;12:1,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(2,0);(2,4);(1,5);(22,16);(1,7);(1,9);(2,12);(23,21);(2,16);(2,18);(12,2);(1,22);(12,23)",1752,0,completed
15,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,0);(3,20);(11,15);(12,22);(12,12);(7,23);(15,0);(19,18);(23,16);(20,8)",10,True,54.77468855774255,54.77468855774255,00:2;01:0;02:0;03:0;04:2;05:0;06:0;07:0;08:3;09:0;10:3;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(15,0);(2,2);(3,4);(6,6);(12,22);(2,10);(2,12);(2,14);(20,8);(2,18);(23,16);(3,22);(3,24)",1259,0,completed
16,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(19,8);(6,17);(5,12);(12,11);(18,17);(3,18);(16,16);(13,21);(11,3);(14,9)",10,True,56.008005980965606,56.008005980965606,00:0;01:3;02:0;03:2;04:0;05:0;06:3;07:1;08:0;09:1;10:0;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(2,0);(18,17);(11,4);(19,8);(2,8);(1,10);(13,21);(6,17);(2,16);(3,18);(2,20);(3,22);(1,24)",1309,0,completed
17,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(1,11);(4,12);(1,15);(8,10);(1,13);(22,23);(10,12);(23,16);(17,15);(17,5)",10,True,79.64046538790284,79.64046538790284,00:2;01:2;02:2;03:0;04:0;05:0;06:1;07:2;08:1;09:0;10:0;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(22,23);(17,15);(10,12);(0,7);(2,8);(3,10);(4,12);(1,11);(1,15);(2,18);(1,19);(2,22);(1,24)",1919,0,completed
18,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(10,17);(24,20);(14,15);(22,23);(3,21);(17,20);(20,6);(12,10);(2,20);(16,8)",10,True,54.67720490726485,54.67720490726485,00:0;01:3;02:0;03:1;04:0;05:0;06:2;07:0;08:0;09:0;10:2;11:0;12:2,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(3,0);(20,6);(2,4);(10,17);(2,8);(2,10);(17,20);(2,14);(2,16);(2,18);(3,21);(2,22);(24,20)",1257,0,completed
19,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(18,6);(17,8);(17,17);(20,16);(21,13);(7,17);(2,5);(24,5);(20,4);(4,24)",10,True,50.72769106040749,50.72769106040749,00:0;01:2;02:2;03:1;04:0;05:0;06:3;07:0;08:1;09:0;10:0;11:0;12:1,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(3,0);(24,5);(17,8);(18,6);(2,8);(2,10);(17,17);(2,14);(7,17);(7,18);(2,20);(2,22);(4,24)",1148,0,completed
20,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(24,7);(10,3);(21,19);(8,3);(12,12);(22,21);(22,4);(16,12);(19,12);(13,14)",10,True,49.5539674634557,49.5539674634557,00:0;01:4;02:0;03:0;04:0;05:0;06:3;07:1;08:0;09:0;10:0;11:2;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(10,1);(24,7);(2,4);(2,6);(2,8);(1,10);(19,12);(13,14);(1,16);(1,18);(2,20);(21,19);(2,24)",1143,0,completed
21,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(1,6);(8,14);(14,12);(21,0);(2,0);(23,6);(6,20);(1,3);(6,1);(16,19)",10,True,52.52913681442301,52.52913681442301,00:2;01:1;02:0;03:3;04:2;05:0;06:0;07:0;08:0;09:0;10:2;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(6,1);(1,3);(2,4);(21,0);(14,12);(2,10);(0,10);(3,14);(2,16);(2,18);(16,19);(2,22);(2,24)",1249,0,completed
22,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,24);(13,19);(22,5);(17,23);(18,16);(6,6);(23,8);(12,8);(11,11);(1,5)",10,True,57.407165394573454,57.407165394573454,00:0;01:0;02:3;03:1;04:3;05:1;06:0;07:0;08:0;09:1;10:0;11:0;12:1,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(1,1);(1,3);(23,8);(6,6);(17,23);(11,11);(2,12);(2,14);(3,16);(13,19);(2,20);(3,22);(5,24)",1345,0,completed
23,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(7,9);(17,17);(21,11);(24,6);(7,15);(15,9);(18,0);(13,12);(12,23);(3,13)",10,True,60.45679657117957,60.45679657117957,00:0;01:0;02:2;03:2;04:3;05:1;06:1;07:0;08:0;09:0;10:0;11:1;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(4,5);(3,2);(17,17);(18,0);(21,11);(7,15);(3,13);(3,14);(3,16);(2,18);(3,20);(12,23);(4,24)",1379,0,completed
24,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(19,14);(14,3);(19,23);(22,23);(6,15);(18,24);(20,16);(2,16);(9,4);(4,16)",10,True,48.98466621989999,48.98466621989999,00:1;01:1;02:0;03:0;04:0;05:0;06:3;07:0;08:2;09:0;10:3;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(9,4);(14,12);(4,4);(3,6);(2,9);(2,10);(20,16);(1,14);(4,16);(1,18);(22,23);(2,21);(1,24)",1128,0,completed
25,known_visit,PI,ideal,1.0,25,625,13,10,pi_g25_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,11);(23,9);(9,19);(17,21);(21,8);(5,4);(21,11);(2,10);(18,22);(17,9)",10,True,50.595102498841605,50.595102498841605,00:0;01:0;02:1;03:3;04:0;05:3;06:0;07:0;08:0;09:0;10:1;11:2;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(2,0);(2,2);(5,4);(23,9);(1,8);(20,11);(2,12);(1,14);(2,16);(1,18);(12,19);(18,22);(1,24)",1185,0,completed
