trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(11,7);(17,15);(14,5);(8,0);(14,15);(7,5);(2,6);(3,8);(12,12);(16,5);(10,14);(3,18);(10,12);(5,18);(13,14);(4,11);(12,18);(1,14);(15,10);(11,10)",20,True,73.44965159900636,73.44965159900636,00:3;01:11;02:2;03:4,"(0,0);(0,6);(0,12);(0,18)","(3,8);(17,15);(1,14);(10,14)",467,0,completed
1,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(10,3);(7,11);(0,1);(9,4);(0,3);(3,5);(1,17);(3,17);(12,8);(15,13);(5,5);(18,7);(2,12);(1,3);(8,10);(4,1);(4,10);(16,15);(2,7);(10,2)",20,True,64.63847197144938,64.63847197144938,00:7;01:0;02:9;03:4,"(0,0);(0,6);(0,12);(0,18)","(9,4);(0,5);(18,7);(14,13)",416,0,completed
2,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(8,17);(9,7);(13,2);(17,3);(16,16);(10,9);(9,6);(17,15);(6,12);(17,0);(1,17);(7,10);(13,18);(11,15);(0,1);(3,17);(3,0);(13,13);(15,18);(0,2)",20,True,70.03745842087918,70.03745842087918,00:8;01:0;02:4;03:8,"(0,0);(0,6);(0,12);(0,18)","(6,12);(0,4);(15,18);(13,2)",433,0,completed
3,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(12,12);(17,11);(2,6);(9,13);(2,17);(6,11);(17,3);(5,8);(14,10);(16,4);(8,15);(18,8);(9,8);(6,10);(10,16);(10,8);(12,0);(6,6);(1,18);(3,12)",20,True,69.43065912171434,69.43065912171434,00:7;01:7;02:4;03:2,"(0,0);(0,6);(0,12);(0,18)","(12,12);(10,16);(10,8);(2,17)",453,0,completed
4,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(10,14);(3,1);(12,5);(12,17);(17,8);(8,7);(17,13);(4,6);(5,18);(10,10);(2,2);(8,1);(2,13);(7,8);(4,17);(2,12);(5,4);(11,12);(11,2);(13,9)",20,True,65.2658895017081,65.2658895017081,00:7;01:2;02:4;03:7,"(0,0);(0,6);(0,12);(0,18)","(10,10);(5,4);(8,7);(17,8)",414,0,completed
5,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(11,10);(3,13);(17,2);(10,12);(7,0);(1,9);(9,9);(5,1);(12,13);(16,10);(17,5);(18,6);(11,11);(8,9);(12,2);(8,3);(13,16);(1,12);(8,12);(4,5)",20,True,61.80267974306803,61.80267974306803,00:8;01:7;02:1;03:4,"(0,0);(0,6);(0,12);(0,18)","(18,6);(16,10);(1,12);(8,9)",387,0,completed
6,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(2,9);(9,11);(17,12);(16,3);(18,4);(12,18);(11,8);(14,6);(13,10);(4,8);(10,16);(10,18);(12,3);(6,11);(5,0);(2,6);(15,1);(13,3);(13,7);(11,6)",20,True,74.7355402647887,74.7355402647887,00:4;01:10;02:3;03:3,"(0,0);(0,6);(0,12);(0,18)","(18,4);(12,3);(4,8);(12,18)",476,0,completed
7,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(4,7);(11,12);(14,18);(4,5);(9,6);(16,18);(4,17);(5,1);(17,17);(17,3);(11,9);(6,2);(3,12);(13,18);(9,16);(14,3);(0,15);(8,14);(18,5);(13,11)",20,True,56.928376917056696,56.928376917056696,00:3;01:6;02:7;03:4,"(0,0);(0,6);(0,12);(0,18)","(9,6);(17,17);(18,5);(4,5)",327,0,completed
8,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(16,2);(8,3);(18,12);(6,1);(17,14);(4,18);(10,17);(4,6);(7,18);(15,9);(4,1);(5,18);(12,13);(0,9);(2,7);(0,4);(4,5);(15,3);(6,6);(9,5)",20,True,54.15266540888988,54.15266540888988,00:3;01:7;02:2;03:8,"(0,0);(0,6);(0,12);(0,18)","(8,3);(16,2);(4,7);(15,9)",340,0,completed
9,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(0,3);(12,1);(6,13);(4,16);(5,4);(10,1);(2,0);(14,17);(12,14);(17,2);(9,15);(8,10);(2,16);(12,12);(7,10);(16,12);(14,2);(4,9);(9,12);(14,7)",20,True,73.77429479542774,73.77429479542774,00:11;01:6;02:0;03:3,"(0,0);(0,6);(0,12);(0,18)","(14,17);(14,7);(2,15);(6,13)",480,0,completed
10,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(4,8);(2,6);(12,8);(14,13);(16,9);(18,9);(10,0);(8,13);(2,7);(18,4);(1,9);(10,13);(1,6);(12,12);(6,17);(5,6);(13,11);(18,5);(5,0);(10,14)",20,True,53.86544349240567,53.86544349240567,00:6;01:5;02:1;03:8,"(0,0);(0,6);(0,12);(0,18)","(10,14);(5,6);(1,9);(18,4)",342,0,completed
11,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(16,16);(4,17);(8,8);(13,1);(7,6);(13,5);(12,18);(10,6);(15,7);(11,12);(6,7);(18,18);(6,11);(15,8);(15,14);(3,10);(1,12);(3,12);(3,8);(7,16)",20,True,77.26514999066461,77.26514999066461,00:7;01:1;02:10;03:2,"(0,0);(0,6);(0,12);(0,18)","(3,10);(7,6);(12,18);(7,16)",499,0,completed
12,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(16,8);(15,17);(10,10);(18,13);(4,16);(5,7);(13,3);(9,3);(3,6);(4,9);(16,15);(1,8);(9,13);(11,3);(1,12);(5,18);(15,2);(17,4);(14,18);(8,1)",20,True,76.91141434329161,76.91141434329161,00:8;01:9;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(14,18);(16,8);(4,11);(4,16)",494,0,completed
13,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(3,18);(3,5);(9,11);(1,0);(12,14);(9,18);(16,9);(0,13);(11,14);(13,0);(15,0);(12,6);(10,1);(17,1);(14,17);(11,16);(18,14);(10,11);(6,2);(7,10)",20,True,101.1771234190888,101.1771234190888,00:10;01:6;02:4;03:0,"(0,0);(0,6);(0,12);(0,18)","(16,9);(17,1);(12,6);(1,18)",682,0,completed
14,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(11,12);(18,14);(14,10);(11,4);(5,3);(11,5);(5,9);(11,18);(12,10);(2,9);(18,6);(18,0);(13,6);(7,8);(12,6);(0,13);(10,9);(14,17);(16,15);(3,4)",20,True,78.63494556977066,78.63494556977066,00:7;01:9;02:3;03:1,"(0,0);(0,6);(0,12);(0,18)","(18,0);(11,18);(10,9);(0,13)",513,0,completed
15,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(16,11);(7,16);(7,0);(17,18);(14,14);(16,15);(6,7);(10,3);(6,3);(6,11);(15,1);(17,1);(11,0);(1,14);(17,16);(10,16);(18,2);(10,8);(11,14);(18,11)",20,True,73.86833905485875,73.86833905485875,00:11;01:7;02:1;03:1,"(0,0);(0,6);(0,12);(0,18)","(17,18);(7,16);(6,11);(1,13)",471,0,completed
16,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(1,10);(4,18);(13,14);(8,2);(3,4);(15,3);(14,8);(6,0);(7,7);(14,3);(14,14);(14,13);(3,9);(5,15);(17,1);(9,11);(12,1);(14,2);(2,5);(2,4)",20,True,50.680358853947126,50.680358853947126,00:7;01:6;02:1;03:6,"(0,0);(0,6);(0,12);(0,18)","(17,1);(9,11);(1,10);(3,4)",307,0,completed
17,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(17,8);(3,17);(13,4);(15,14);(2,14);(13,3);(17,6);(13,14);(7,10);(18,0);(14,6);(6,1);(5,0);(9,16);(6,17);(1,5);(16,13);(13,18);(2,1);(12,1)",20,True,58.874442451079815,58.874442451079815,00:8;01:4;02:8;03:0,"(0,0);(0,6);(0,12);(0,18)","(14,6);(18,0);(16,13);(1,15)",349,0,completed
