trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
28,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(5,13);(1,1);(2,13);(0,3);(13,0);(12,8);(2,4);(3,6);(8,13);(8,5)",10,True,43.99948594207594,43.99948594207594,00:3;01:2;02:5,"(0,0);(0,6);(0,13)","(5,4);(8,13);(13,0)",171,0,completed
29,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(12,8);(9,11);(4,4);(4,6);(13,0);(11,10);(6,7);(2,3);(4,8);(1,4)",10,True,46.590580829273435,46.590580829273435,00:3;01:5;02:2,"(0,0);(0,6);(0,13)","(12,7);(13,0);(4,7)",185,0,completed
30,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(1,12);(10,2);(10,12);(11,9);(3,8);(0,5);(7,13);(11,1);(6,0);(12,8)",10,True,33.02816458757636,33.02816458757636,00:3;01:2;02:5,"(0,0);(0,6);(0,13)","(10,5);(6,13);(12,8)",134,0,completed
31,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(4,6);(2,5);(13,10);(8,8);(11,10);(5,8);(4,7);(12,6);(3,4);(9,11)",10,True,50.54086092729326,50.54086092729326,00:3;01:4;02:3,"(0,0);(0,6);(0,13)","(8,8);(12,6);(4,7)",218,0,completed
32,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(4,1);(1,11);(4,7);(3,6);(13,6);(6,6);(2,0);(7,2);(9,13);(9,1)",10,True,25.170781415376602,25.170781415376602,00:4;01:4;02:2,"(0,0);(0,6);(0,13)","(10,2);(13,6);(10,13)",100,0,completed
33,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(6,9);(12,0);(11,9);(11,1);(10,10);(8,8);(4,0);(11,12);(4,5);(4,1)",10,True,31.105444865145394,31.105444865145394,00:4;01:4;02:2,"(0,0);(0,6);(0,13)","(13,2);(10,10);(10,7)",123,0,completed
34,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(12,13);(12,9);(5,10);(3,11);(7,5);(8,4);(6,1);(3,2);(3,6);(0,2)",10,True,47.90425372961227,47.90425372961227,00:3;01:3;02:4,"(0,0);(0,6);(0,13)","(8,4);(3,10);(12,13)",203,0,completed
35,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(4,12);(13,13);(2,3);(5,8);(8,7);(10,5);(9,12);(2,2);(12,4);(0,5)",10,True,41.64859305913302,41.64859305913302,00:4;01:3;02:3,"(0,0);(0,6);(0,13)","(12,4);(8,7);(5,12)",174,0,completed
36,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(3,6);(0,7);(13,2);(7,4);(10,9);(5,12);(7,6);(4,6);(9,9);(2,1)",10,True,31.453004958325362,31.453004958325362,00:3;01:4;02:3,"(0,0);(0,6);(0,13)","(13,2);(9,2);(9,6)",129,0,completed
37,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(0,7);(9,11);(1,13);(7,11);(1,11);(9,9);(7,5);(6,1);(8,8);(11,0)",10,True,41.29258423057296,41.29258423057296,00:2;01:3;02:5,"(0,0);(0,6);(0,13)","(8,5);(1,11);(11,0)",176,0,completed
38,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(7,6);(0,7);(5,10);(11,13);(3,9);(13,2);(7,4);(8,0);(12,1);(9,12)",10,True,32.05160496571426,32.05160496571426,00:3;01:3;02:4,"(0,0);(0,6);(0,13)","(13,3);(9,3);(11,13)",128,0,completed
39,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(2,10);(6,5);(0,10);(0,7);(8,2);(9,8);(9,12);(2,11);(8,13);(6,13)",10,True,35.36320740848598,35.36320740848598,00:3;01:5;02:2,"(0,0);(0,6);(0,13)","(9,8);(9,12);(6,9)",142,0,completed
40,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(3,7);(0,7);(3,10);(8,3);(3,13);(13,8);(12,6);(7,9);(3,11);(0,11)",10,True,35.81404492136381,35.81404492136381,00:3;01:4;02:3,"(0,0);(0,6);(0,13)","(13,8);(5,13);(3,10)",154,0,completed
41,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(8,8);(4,5);(1,2);(8,4);(5,1);(12,13);(0,11);(6,4);(8,12);(0,1)",10,True,31.36971425830556,31.36971425830556,00:6;01:1;02:3,"(0,0);(0,6);(0,13)","(8,8);(4,6);(12,13)",131,0,completed
42,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(4,10);(1,2);(0,5);(12,9);(11,12);(12,5);(2,11);(2,9);(11,3);(10,9)",10,True,43.16984025235373,43.16984025235373,00:3;01:1;02:6,"(0,0);(0,6);(0,13)","(11,12);(2,9);(11,3)",175,0,completed
43,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(10,3);(7,8);(2,10);(9,0);(6,10);(12,0);(4,9);(1,1);(13,13);(10,9)",10,True,37.44026408885275,37.44026408885275,00:4;01:4;02:2,"(0,0);(0,6);(0,13)","(8,3);(13,13);(4,4)",147,0,completed
44,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(2,10);(7,12);(9,9);(2,1);(6,5);(9,13);(1,13);(13,10);(12,1);(8,6)",10,True,32.26429639586485,32.26429639586485,00:2;01:4;02:4,"(0,0);(0,6);(0,13)","(13,2);(13,10);(9,13)",134,0,completed
45,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(12,12);(6,8);(8,8);(2,10);(8,1);(0,1);(4,13);(11,0);(2,1);(3,3)",10,True,29.119390502902704,29.119390502902704,00:5;01:3;02:2,"(0,0);(0,6);(0,13)","(11,0);(11,8);(12,12)",120,0,completed
46,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(13,3);(10,11);(4,13);(3,12);(11,9);(9,1);(4,3);(12,6);(6,9);(13,11)",10,True,43.92401091967618,43.92401091967618,00:2;01:2;02:6,"(0,0);(0,6);(0,13)","(5,6);(10,9);(13,11)",177,0,completed
47,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(3,2);(7,13);(2,5);(4,2);(0,10);(11,0);(10,1);(9,5);(2,2);(10,10)",10,True,59.529115611986995,59.529115611986995,00:5;01:3;02:2,"(0,0);(0,6);(0,13)","(11,0);(7,13);(10,1)",270,0,completed
48,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(1,2);(4,0);(6,0);(9,13);(5,13);(6,7);(13,1);(2,11);(6,12);(11,1)",10,True,30.77930236509171,30.77930236509171,00:5;01:2;02:3,"(0,0);(0,6);(0,13)","(13,1);(7,12);(9,13)",132,0,completed
49,known_visit,ACBBA,bernoulli,drop_0.25,14,196,3,10,acbba_g14_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(3,12);(2,1);(5,3);(7,11);(8,5);(1,0);(5,12);(11,0);(2,5);(1,8)",10,True,45.77708437303242,45.77708437303242,00:3;01:4;02:3,"(0,0);(0,6);(0,13)","(7,5);(11,0);(7,0)",178,0,completed
