trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status,failure_type,failure_message
0,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,13);01:(18,14);02:(17,8);03:(16,8)",00:0;01:0;02:0;03:0,,completed,,
1,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,12);01:(11,16);02:(11,17);03:(11,18)",00:0;01:0;02:0;03:0,,completed,,
2,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(4,2);01:(3,2);02:(3,3);03:(18,17)",00:0;01:0;02:0;03:0,,completed,,
3,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(2,2);01:(17,3);02:(2,3);03:(18,16)",00:0;01:0;02:0;03:0,,completed,,
4,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(17,16);01:(4,2);02:(16,4);03:(18,18)",00:0;01:0;02:0;03:0,,completed,,
5,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,9);01:(18,8);02:(18,7);03:(16,13)",00:0;01:0;02:0;03:0,,completed,,
6,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(5,15);01:(5,16);02:(11,10);03:(18,18)",00:0;01:0;02:0;03:0,,completed,,
7,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(16,16);01:(18,14);02:(15,15);03:(18,16)",00:0;01:0;02:0;03:0,,completed,,
8,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(8,18);01:(7,17);02:(8,17);03:(18,18)",00:0;01:0;02:0;03:0,,completed,,
9,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,16);01:(18,12);02:(15,3);03:(18,17)",00:0;01:0;02:0;03:0,,completed,,
10,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(17,18);01:(18,18);02:(4,5);03:(4,4)",00:0;01:0;02:0;03:0,,completed,,
11,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(15,9);01:(16,14);02:(17,16);03:(17,18)",00:0;01:0;02:0;03:0,,completed,,
12,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(1,8);01:(15,16);02:(12,4);03:(18,18)",00:0;01:0;02:0;03:0,,completed,,
13,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(6,14);01:(11,4);02:(18,0);03:(9,11)",00:0;01:0;02:0;03:0,,completed,,
14,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(17,10);01:(18,15);02:(17,12);03:(17,11)",00:0;01:0;02:0;03:0,,completed,,
15,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(16,16);01:(18,17);02:(16,17);03:(12,11)",00:0;01:0;02:0;03:0,,completed,,
16,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(16,13);01:(18,15);02:(18,14);03:(0,6)",00:0;01:0;02:0;03:0,,completed,,
17,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(4,17);01:(18,18);02:(5,17);03:(4,18)",00:0;01:0;02:0;03:0,,completed,,
18,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(16,14);01:(17,16);02:(16,3);03:(18,14)",00:0;01:0;02:0;03:0,,completed,,
19,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(15,6);01:(16,0);02:(18,18);03:(17,8)",00:0;01:0;02:0;03:0,,completed,,
20,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(16,17);01:(7,1);02:(18,18);03:(7,2)",00:0;01:0;02:0;03:0,,completed,,
21,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(1,11);01:(17,10);02:(18,9);03:(17,9)",00:0;01:0;02:0;03:0,,completed,,
22,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(17,14);01:(14,1);02:(18,7);03:(9,0)",00:0;01:0;02:0;03:0,,completed,,
23,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,16);01:(6,7);02:(17,14);03:(18,6)",00:0;01:0;02:0;03:0,,completed,,
24,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(15,2);01:(14,3);02:(18,0);03:(14,2)",00:0;01:0;02:0;03:0,,completed,,
25,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,18);01:(17,1);02:(11,14);03:(6,3)",00:0;01:0;02:0;03:0,,completed,,
26,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(11,16);01:(18,16);02:(18,9);03:(17,9)",00:0;01:0;02:0;03:0,,completed,,
27,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,18);01:(12,0);02:(18,13);03:(18,5)",00:0;01:0;02:0;03:0,,completed,,
28,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,16);01:(18,15);02:(13,13);03:(16,13)",00:0;01:0;02:0;03:0,,completed,,
29,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,11);01:(10,3);02:(13,12);03:(18,18)",00:0;01:0;02:0;03:0,,completed,,
30,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,16);01:(15,3);02:(13,15);03:(18,15)",00:0;01:0;02:0;03:0,,completed,,
31,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(7,18);01:(15,17);02:(7,17);03:(18,18)",00:0;01:0;02:0;03:0,,completed,,
32,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,18);01:(18,14);02:(17,17);03:(17,18)",00:0;01:0;02:0;03:0,,completed,,
33,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(2,2);01:(18,18);02:(2,3);03:(18,7)",00:0;01:0;02:0;03:0,,completed,,
34,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,16);01:(14,10);02:(15,14);03:(18,17)",00:0;01:0;02:0;03:0,,completed,,
35,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,18);01:(15,4);02:(13,6);03:(15,0)",00:0;01:0;02:0;03:0,,completed,,
36,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(3,17);01:(18,18);02:(2,18);03:(2,17)",00:0;01:0;02:0;03:0,,completed,,
37,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,7);01:(17,2);02:(16,5);03:(17,8)",00:0;01:0;02:0;03:0,,completed,,
38,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,18);01:(9,12);02:(3,13);03:(10,13)",00:0;01:0;02:0;03:0,,completed,,
39,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(15,7);01:(18,18);02:(18,7);03:(10,15)",00:0;01:0;02:0;03:0,,completed,,
40,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(11,4);01:(17,15);02:(18,18);03:(11,3)",00:0;01:0;02:0;03:0,,completed,,
41,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(5,4);01:(4,3);02:(5,3);03:(18,18)",00:0;01:0;02:0;03:0,,completed,,
42,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(12,3);01:(12,6);02:(12,2);03:(18,16)",00:0;01:0;02:0;03:0,,completed,,
43,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,,failed,RuntimeError,Debug safety cap reached in trial 43. This usually means the allocator is stuck or returning no reachable goals.
44,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,15);01:(8,12);02:(7,18);03:(18,16)",00:0;01:0;02:0;03:0,,completed,,
45,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(13,14);01:(18,15);02:(18,18);03:(18,8)",00:0;01:0;02:0;03:0,,completed,,
46,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(2,5);01:(18,18);02:(3,6);03:(2,6)",00:0;01:0;02:0;03:0,,completed,,
47,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,15);01:(18,14);02:(4,16);03:(5,9)",00:0;01:0;02:0;03:0,,completed,,
48,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(2,1);01:(1,1);02:(18,18);03:(15,2)",00:0;01:0;02:0;03:0,,completed,,
49,CBAA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,cbaa_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(12,11);01:(7,10);02:(7,11);03:(18,0)",00:0;01:0;02:0;03:0,,completed,,
