trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
20,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,6,0,"(7,1);(3,5);(10,4);(11,7)",,,,"00:(0,0);01:(0,18)","00:(6,0);01:(6,18)",00:0;01:0,00,completed
21,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,4,8,"(6,14);(4,9);(11,11);(3,8)",01,11,11,"00:(0,0);01:(0,18)","00:(4,8);01:(8,17)",00:2;01:2,00,completed
22,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,18,1,"(6,6);(15,2);(18,3);(3,12)",,,,"00:(0,0);01:(0,18)","00:(18,1);01:(18,18)",00:0;01:0,00,completed
23,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,12,7,"(14,17);(15,5);(11,3);(7,3)",00,11,3,"00:(0,0);01:(0,18)","00:(12,7);01:(14,15)",00:2;01:1,00,completed
24,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,16,11,"(5,8);(16,5);(14,13);(15,8)",,,,"00:(0,0);01:(0,18)","00:(16,3);01:(16,11)",00:0;01:0,01,completed
25,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,17,16,"(4,6);(16,16);(18,2);(16,4)",00,18,2,"00:(0,0);01:(0,18)","00:(17,8);01:(17,16)",00:2;01:0,01,completed
26,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,15,5,"(17,10);(4,5);(17,5);(15,6)",01,17,10,"00:(0,0);01:(0,18)","00:(14,5);01:(15,5)",00:1;01:2,01,completed
27,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,5,0,"(8,8);(2,0);(10,10);(6,1)",00,2,0,"00:(0,0);01:(0,18)","00:(5,0);01:(17,17)",00:1;01:0,00,completed
28,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,7,16,"(5,14);(5,18);(9,11);(6,10)",01,5,18,"00:(0,0);01:(0,18)","00:(2,16);01:(7,16)",00:1;01:2,01,completed
29,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,16,14,"(11,11);(12,9);(16,16);(18,15)",01,18,15,"00:(0,0);01:(0,18)","00:(16,14);01:(16,17)",00:0;01:2,00,completed
