trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
30,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,8,14,"(5,10);(12,16);(11,18);(16,15)",01,11,18,"00:(0,0);01:(0,18)","00:(15,15);01:(8,14)",00:1;01:1,01,completed
31,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,3,10,"(3,2);(14,12);(10,10);(5,12)",01,10,10,"00:(0,0);01:(0,18)","00:(3,5);01:(3,10)",00:1;01:1,01,completed
32,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,9,2,"(6,9);(7,3);(11,15);(13,17)",,,,"00:(0,0);01:(0,18)","00:(9,2);01:(2,11)",00:0;01:0,00,completed
33,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,17,2,"(10,17);(17,18);(18,0);(4,3)",01,17,18,"00:(0,0);01:(0,18)","00:(17,2);01:(16,17)",00:1;01:1,00,completed
34,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,11,13,"(11,17);(13,9);(8,12);(16,8)",01,8,12,"00:(0,0);01:(0,18)","00:(11,9);01:(11,13)",00:0;01:1,01,completed
35,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,11,5,"(11,3);(15,0);(3,3);(14,17)",00,15,0,"00:(0,0);01:(0,18)","00:(15,6);01:(11,5)",00:1;01:1,01,completed
36,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,10,17,"(4,2);(2,18);(17,9);(5,7)",01,2,18,"00:(0,0);01:(0,18)","00:(10,16);01:(10,17)",00:2;01:3,01,completed
37,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,6,16,"(6,14);(10,17);(4,16);(7,9)",01,6,14,"00:(0,0);01:(0,18)","00:(12,6);01:(6,16)",00:0;01:1,01,completed
38,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,16,4,"(11,1);(10,15);(6,17);(16,11)",00,11,1,"00:(0,0);01:(0,18)","00:(7,6);01:(16,4)",00:1;01:1,01,completed
39,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,12,17,"(18,1);(15,15);(10,4);(13,7)",00,18,1,"00:(0,0);01:(0,18)","00:(12,17);01:(13,16)",00:3;01:3,00,completed
40,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,8,16,"(9,15);(10,16);(18,0);(3,10)",00,18,0,"00:(0,0);01:(0,18)","00:(3,12);01:(8,16)",00:2;01:1,01,completed
41,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,18,12,"(10,13);(16,2);(18,11);(10,15)",,,,"00:(0,0);01:(0,18)","00:(14,1);01:(18,12)",00:0;01:0,01,completed
42,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,11,17,"(17,5);(8,12);(15,16);(5,15)",01,8,12,"00:(0,0);01:(0,18)","00:(8,5);01:(11,17)",00:1;01:1,01,completed
43,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,3,7,"(10,11);(3,8);(6,9);(5,2)",00,5,2,"00:(0,0);01:(0,18)","00:(3,7);01:(6,7)",00:1;01:0,00,completed
44,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,16,0,"(13,8);(17,1);(3,6);(11,13)",,,,"00:(0,0);01:(0,18)","00:(16,0);01:(15,18)",00:0;01:0,00,completed
45,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,11,3,"(9,3);(10,7);(4,6);(12,4)",,,,"00:(0,0);01:(0,18)","00:(11,3);01:(16,12)",00:0;01:0,00,completed
46,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,18,17,"(0,16);(13,10);(18,10);(15,18)",01,15,18,"00:(0,0);01:(0,18)","00:(18,17);01:(1,15)",00:0;01:2,00,completed
47,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,5,11,"(4,2);(5,6);(1,12);(1,8)",00,4,2,"00:(0,0);01:(0,18)","00:(5,11);01:(7,7)",00:3;01:3,00,completed
48,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,2,220.0,180.5,pi_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,12,9,"(11,10);(12,10);(4,11);(14,13)",01,12,10,"00:(0,0);01:(0,18)","00:(5,10);01:(12,9)",00:0;01:2,01,completed
