trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,HIPC,ideal,1.0,19,361,8,10,hipc_g19_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(2,13);(13,1);(5,17);(8,3);(1,6);(12,13);(15,15);(10,3);(14,4);(17,0)",10,True,31.989504471156007,31.989504471156007,00:2;01:3;02:1;03:0;04:0;05:3;06:1;07:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18)","(17,0);(14,4);(6,6);(0,8);(0,10);(15,15);(5,17);(0,18)",429,0,completed
1,known_visit,HIPC,ideal,1.0,19,361,8,10,hipc_g19_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(11,9);(17,15);(15,3);(11,10);(11,14);(7,15);(0,17);(7,1);(5,0);(14,3)",10,True,32.3359729514588,32.3359729514588,00:2;01:2;02:0;03:0;04:2;05:0;06:3;07:1,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18)","(7,1);(15,3);(0,5);(0,8);(11,9);(5,13);(17,15);(0,17)",440,0,completed
2,known_visit,HIPC,ideal,1.0,19,361,8,10,hipc_g19_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(12,16);(18,6);(17,7);(6,13);(2,15);(12,0);(15,2);(4,14);(9,11);(5,3)",10,True,41.953174597036465,41.953174597036465,00:1;01:4;02:0;03:0;04:0;05:3;06:2;07:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18)","(15,0);(18,6);(0,5);(0,8);(4,10);(9,11);(12,16);(1,18)",586,0,completed
3,known_visit,HIPC,ideal,1.0,19,361,8,10,hipc_g19_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(1,13);(13,13);(12,3);(17,18);(16,3);(14,6);(7,15);(10,1);(13,15);(10,10)",10,True,39.57789240469654,39.57789240469654,00:1;01:0;02:3;03:0;04:1;05:1;06:4;07:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18)","(10,1);(0,3);(14,6);(0,8);(13,10);(1,13);(17,18);(8,18)",532,0,completed
4,known_visit,HIPC,ideal,1.0,19,361,8,10,hipc_g19_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(8,9);(4,2);(12,9);(14,3);(2,12);(12,1);(5,17);(6,1);(2,15);(8,16)",10,True,28.40048329693711,28.40048329693711,00:3;01:1;02:0;03:2;04:0;05:1;06:3;07:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18)","(14,3);(5,2);(0,5);(12,9);(0,10);(2,12);(8,16);(0,18)",392,0,completed
5,known_visit,HIPC,ideal,1.0,19,361,8,10,hipc_g19_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(11,3);(11,15);(17,18);(6,10);(11,6);(14,0);(14,2);(2,17);(3,13);(10,13)",10,True,36.62836166549417,36.62836166549417,00:2;01:2;02:0;03:0;04:1;05:4;06:0;07:1,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18)","(14,2);(11,6);(0,5);(1,8);(6,10);(17,18);(0,15);(5,17)",502,0,completed
6,known_visit,HIPC,ideal,1.0,19,361,8,10,hipc_g19_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(2,3);(9,7);(10,17);(18,9);(11,7);(17,18);(12,8);(4,16);(16,1);(13,15)",10,True,36.56624222670895,36.56624222670895,00:1;01:1;02:0;03:4;04:0;05:2;06:2;07:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18)","(16,1);(2,3);(18,7);(18,9);(2,10);(17,18);(10,17);(0,18)",463,0,completed
7,known_visit,HIPC,ideal,1.0,19,361,8,10,hipc_g19_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(4,0);(9,6);(12,13);(13,18);(0,1);(2,12);(14,3);(4,2);(9,13);(8,16)",10,True,29.736852521878067,29.736852521878067,00:1;01:2;02:2;03:0;04:0;05:1;06:3;07:1,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18)","(0,1);(4,0);(14,3);(1,8);(0,10);(2,12);(12,13);(13,18)",402,0,completed
8,known_visit,HIPC,ideal,1.0,19,361,8,10,hipc_g19_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(6,14);(17,0);(15,18);(5,4);(6,9);(8,0);(5,7);(2,4);(10,8);(7,0)",10,True,27.035739848836386,27.035739848836386,00:3;01:2;02:0;03:3;04:0;05:1;06:0;07:1,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18)","(17,0);(5,4);(0,5);(10,8);(0,10);(6,14);(0,15);(15,18)",358,0,completed
9,known_visit,HIPC,ideal,1.0,19,361,8,10,hipc_g19_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(15,15);(12,3);(3,11);(13,3);(17,3);(3,0);(11,15);(7,4);(12,0);(15,11)",10,True,32.03640953050885,32.03640953050885,00:2;01:4;02:0;03:0;04:1;05:0;06:3;07:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18)","(17,2);(17,3);(3,5);(0,8);(9,11);(0,13);(15,11);(0,18)",429,0,completed
