trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,failure_type,failure_message,debug_max_events
0,DGA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dga_gilbert_elliott_drop_0_70_rho_0_8,,coverage,703,703,0,361,346,0,0,0,2026,3435,2643,732,1294,1435,591,0,0,0.6808346213292118,5.61218836565097,0.0,0.8406827880512091,0.0,1.6371191135734071,collision_intent:732;dga_entry:591;state:703,236,626,0.29016620498614953,completed,,,
1,DGA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dga_gilbert_elliott_drop_0_70_rho_0_8,,coverage,713,713,0,361,356,0,0,0,2150,3532,2917,731,1419,1444,706,0,0,0.6853853383458647,5.955678670360111,0.0,0.9901823281907434,0.0,1.9556786703601108,collision_intent:731;dga_entry:706;state:713,280,752,0.3469529085872576,completed,,,
2,DGA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dga_gilbert_elliott_drop_0_70_rho_0_8,,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,RuntimeError,Debug safety cap reached in trial 2. This usually means the allocator is stuck or returning no reachable goals.,20000
3,DGA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dga_gilbert_elliott_drop_0_70_rho_0_8,,coverage,983,983,0,361,626,0,0,0,2737,4603,3607,998,1739,1981,756,0,0,0.6915260736196319,7.581717451523546,0.0,0.7690742624618515,0.0,2.0941828254847645,collision_intent:998;dga_entry:756;state:983,248,713,0.07548476454293618,completed,,,
4,DGA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dga_gilbert_elliott_drop_0_70_rho_0_8,,coverage,741,741,0,361,384,0,0,0,2175,3487,3038,753,1422,1494,681,0,0,0.7121425222691046,6.024930747922438,0.0,0.9190283400809717,0.0,1.886426592797784,collision_intent:753;dga_entry:681;state:741,244,706,0.2222991689750693,completed,,,
5,DGA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dga_gilbert_elliott_drop_0_70_rho_0_8,,coverage,848,848,0,361,491,0,0,0,2466,3997,3401,861,1605,1709,757,0,0,0.7063343717549325,6.8310249307479225,0.0,0.8926886792452831,0.0,2.096952908587258,collision_intent:861;dga_entry:757;state:848,265,733,0.24861495844875336,completed,,,
6,DGA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dga_gilbert_elliott_drop_0_70_rho_0_8,,coverage,847,847,0,361,490,0,0,0,2456,3982,3385,864,1592,1711,745,0,0,0.7089005235602094,6.803324099722992,0.0,0.8795749704840614,0.0,2.063711911357341,collision_intent:864;dga_entry:745;state:847,254,745,0.20567867036011078,completed,,,
7,DGA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dga_gilbert_elliott_drop_0_70_rho_0_8,,coverage,981,981,0,361,624,0,0,0,2801,4670,3733,1019,1782,2000,801,0,0,0.698279087167976,7.759002770083103,0.0,0.8165137614678899,0.0,2.218836565096953,collision_intent:1019;dga_entry:801;state:981,254,745,0.04085872576177296,completed,,,
8,DGA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dga_gilbert_elliott_drop_0_70_rho_0_8,,coverage,610,610,0,361,253,0,0,0,1972,3137,2779,617,1355,1227,745,0,0,0.683640836408364,5.462603878116344,0.0,1.221311475409836,0.0,2.063711911357341,collision_intent:617;dga_entry:745;state:610,324,798,0.4009695290858726,completed,,,
9,DGA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dga_gilbert_elliott_drop_0_70_rho_0_8,,coverage,719,719,0,361,362,0,0,0,2017,3484,2567,733,1284,1452,565,0,0,0.6664070612668743,5.587257617728532,0.0,0.7858136300417247,0.0,1.5650969529085872,collision_intent:733;dga_entry:565;state:719,301,790,0.31232686980609414,completed,,,
10,DGA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dga_gilbert_elliott_drop_0_70_rho_0_8,,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,RuntimeError,Debug safety cap reached in trial 10. This usually means the allocator is stuck or returning no reachable goals.,20000
11,DGA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dga_gilbert_elliott_drop_0_70_rho_0_8,,coverage,970,970,0,361,613,0,0,0,2875,4519,4105,995,1880,1965,910,0,0,0.7279659514098245,7.96398891966759,0.0,0.9381443298969072,0.0,2.520775623268698,collision_intent:995;dga_entry:910;state:970,271,771,0.2652354570637119,completed,,,
12,DGA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dga_gilbert_elliott_drop_0_70_rho_0_8,,coverage,879,879,0,361,522,0,0,0,2609,4258,3567,903,1706,1782,827,0,0,0.6972243940578577,7.227146814404432,0.0,0.9408418657565415,0.0,2.290858725761773,collision_intent:903;dga_entry:827;state:879,235,670,0.19321329639889195,completed,,,
13,DGA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dga_gilbert_elliott_drop_0_70_rho_0_8,,coverage,760,760,0,361,403,0,0,0,2251,3565,3188,771,1480,1531,720,0,0,0.718018018018018,6.2354570637119116,0.0,0.9473684210526315,0.0,1.994459833795014,collision_intent:771;dga_entry:720;state:760,196,583,0.15304709141274242,completed,,,
14,DGA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dga_gilbert_elliott_drop_0_70_rho_0_8,,coverage,806,806,0,361,449,0,0,0,2465,3935,3460,823,1642,1629,836,0,0,0.7023954526999594,6.82825484764543,0.0,1.0372208436724566,0.0,2.3157894736842106,collision_intent:823;dga_entry:836;state:806,237,733,0.15304709141274242,completed,,,
15,DGA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dga_gilbert_elliott_drop_0_70_rho_0_8,,coverage,1062,1062,0,361,705,0,0,0,2965,4931,3963,1088,1877,2150,815,0,0,0.7039076376554174,8.213296398891966,0.0,0.7674199623352166,0.0,2.257617728531856,collision_intent:1088;dga_entry:815;state:1062,270,769,0.15997229916897515,completed,,,
