trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,benchmark_suite,num_targets,num_robots,commitment_horizon
332,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,02,31,1,0,32,0,2,0,0,0,79,64,15,162,10,known_visit_core_500,10,4,8
332,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,03,5,1,0,6,0,0,0,0,0,28,13,15,205,17,known_visit_core_500,10,4,8
333,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,00,41,6,1,41,1,1,0,0,0,136,83,53,152,9,known_visit_core_500,10,4,8
333,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,01,7,2,0,8,0,1,0,0,0,35,16,19,240,21,known_visit_core_500,10,4,8
333,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,02,26,1,3,20,7,0,0,0,0,66,56,10,218,12,known_visit_core_500,10,4,8
333,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,03,25,1,1,18,8,0,0,0,0,60,52,8,216,20,known_visit_core_500,10,4,8
334,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,00,15,1,0,15,1,0,0,0,0,65,32,33,229,8,known_visit_core_500,10,4,8
334,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,01,22,0,1,22,1,2,0,0,0,66,46,20,221,15,known_visit_core_500,10,4,8
334,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,02,39,7,0,38,2,0,0,0,0,121,79,42,167,15,known_visit_core_500,10,4,8
334,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,03,14,2,0,15,0,0,0,0,0,51,32,19,235,16,known_visit_core_500,10,4,8
335,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,00,31,5,0,32,0,0,0,0,0,97,63,34,129,8,known_visit_core_500,10,4,8
335,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,01,31,4,0,31,1,0,0,0,0,78,63,15,146,9,known_visit_core_500,10,4,8
335,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,02,12,1,1,10,3,0,0,0,0,40,27,13,183,10,known_visit_core_500,10,4,8
335,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,03,3,0,0,4,0,1,0,0,0,19,8,11,201,14,known_visit_core_500,10,4,8
336,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,00,32,5,0,33,0,2,0,0,0,89,66,23,161,6,known_visit_core_500,10,4,8
336,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,01,22,3,0,23,0,0,0,0,0,60,46,14,185,10,known_visit_core_500,10,4,8
336,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,02,4,0,0,5,0,0,0,0,0,26,10,16,211,18,known_visit_core_500,10,4,8
336,known_visit,PI,gilbert_elliot,0.9,19,361,4,10,pi_gilbert_elliot_pGG_0_9_pBB_0_1,known_visit_g19_t10_n500.csv,03,32,2,2,28,5,0,0,0,0,81,67,14,165,9,known_visit_core_500,10,4,8
