trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
0,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,8,50.0,45.125,pi_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,210,36,174,148,70,2,14,9,624,3669,690,229,395,463,161,552,161,0.2498189717595945,4.216216216216216,3.1724137931034484,0.7666666666666667,0.9252873563218391,1.087837837837838,clue:24;collision_intent:228;pi_entry:161;state:210;target:1,27,86,0.1283783783783783,completed
1,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,8,50.0,45.125,pi_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,664,12,652,286,386,3,75,39,2039,11968,2300,747,1292,1427,612,2012,612,0.2543966375400951,7.129370629370629,3.085889570552147,0.9216867469879518,0.9386503067484663,2.13986013986014,clue:16;collision_intent:746;pi_clear_path:2;pi_entry:610;state:664;target:1,86,280,0.2526223776223777,completed
2,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,8,50.0,45.125,pi_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,658,34,624,286,380,1,63,42,1938,11473,2086,727,1211,1409,529,1869,529,0.24619379204532044,6.776223776223776,2.9951923076923075,0.8039513677811551,0.8477564102564102,1.8496503496503496,clue:24;collision_intent:726;pi_clear_path:1;pi_entry:528;state:658;target:1,88,258,0.125,completed
3,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,8,50.0,45.125,pi_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,24,24,0,32,0,0,0,0,49,300,33,25,24,49,0,0,0,0.20121951219512196,1.53125,0.0,0.0,0.0,0.0,collision_intent:24;state:24;target:1,3,7,0.0,completed
4,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,8,50.0,45.125,pi_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,81,54,27,86,3,0,0,0,233,1341,283,84,149,189,44,124,44,0.2721153846153846,2.7093023255813953,4.592592592592593,0.5432098765432098,1.6296296296296295,0.5116279069767442,clue:24;collision_intent:83;pi_clear_path:1;pi_entry:43;state:81;target:1,11,33,0.03197674418604657,completed
5,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,8,50.0,45.125,pi_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,99,4,95,71,36,1,12,11,318,1860,360,113,205,236,82,306,82,0.25139664804469275,4.47887323943662,3.221052631578947,0.8282828282828283,0.8631578947368421,1.1549295774647887,clue:24;collision_intent:112;pi_clear_path:3;pi_entry:79;state:99;target:1,13,43,0.1672535211267605,completed
6,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,8,50.0,45.125,pi_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,92,13,79,67,33,1,10,4,289,1677,340,106,183,206,83,260,83,0.26604068857589985,4.313432835820896,3.2911392405063293,0.9021739130434783,1.0506329113924051,1.2388059701492538,clue:8;collision_intent:105;pi_entry:83;state:92;target:1,13,39,0.12126865671641784,completed
7,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,8,50.0,45.125,pi_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,184,176,8,189,3,0,0,0,395,2388,371,185,210,377,18,43,18,0.25272479564032696,2.0899470899470898,5.375,0.09782608695652174,2.25,0.09523809523809523,clue:8;collision_intent:184;pi_entry:18;state:184;target:1,23,50,0.009920634920634885,completed
8,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,8,50.0,45.125,pi_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,404,189,215,276,136,0,16,12,1046,6218,1099,421,625,849,197,668,197,0.2513723696248856,3.789855072463768,3.1069767441860465,0.4876237623762376,0.9162790697674419,0.7137681159420289,clue:24;collision_intent:420;pi_entry:197;state:404;target:1,51,143,0.09873188405797095,completed
9,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,8,50.0,45.125,pi_g19_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,412,16,396,208,212,3,47,25,1266,7481,1374,467,799,903,363,1234,363,0.24575210159184405,6.086538461538462,3.1161616161616164,0.8810679611650486,0.9166666666666666,1.7451923076923077,clue:24;collision_intent:466;pi_clear_path:1;pi_entry:362;state:412;target:1,54,179,0.2548076923076923,completed
