trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(18,2);(11,22);(9,9);(21,1);(14,2);(7,9);(21,24);(11,3);(3,18);(22,18)",10,True,58.40955806333302,58.40955806333302,00:3;01:3;02:1;03:1;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(8,4);(21,1);(14,12);(17,3);(15,18)",369,0,completed
1,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,0);(22,23);(6,15);(23,23);(7,4);(12,6);(14,19);(20,4);(3,15);(10,16)",10,True,58.09605053144916,58.09605053144916,00:3;01:0;02:5;03:2;04:0,"(0,0);(0,6);(0,12);(0,18);(0,24)","(20,14);(12,13);(23,23);(4,4);(19,15)",383,0,completed
2,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(17,10);(15,0);(16,1);(21,23);(11,7);(1,11);(6,14);(8,0);(15,22);(24,6)",10,True,91.14064398202028,91.14064398202028,00:3;01:3;02:1;03:3;04:0,"(0,0);(0,6);(0,12);(0,18);(0,24)","(11,11);(24,6);(17,2);(21,23);(21,22)",654,0,completed
3,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(14,2);(4,19);(6,15);(23,19);(22,10);(2,14);(17,16);(1,11);(9,14);(7,8)",10,True,54.3098392606933,54.3098392606933,00:2;01:1;02:2;03:4;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(22,10);(9,14);(5,8);(23,19);(2,14)",395,0,completed
4,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,13);(21,0);(16,9);(18,18);(20,1);(12,21);(8,20);(24,6);(20,12);(2,6)",10,True,70.48116287435245,70.48116287435245,00:2;01:2;02:1;03:1;04:4,"(0,0);(0,6);(0,12);(0,18);(0,24)","(16,15);(21,5);(19,11);(14,15);(24,6)",481,0,completed
5,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,1);(2,6);(5,21);(7,2);(1,8);(16,3);(21,4);(24,20);(13,23);(5,6)",10,True,54.43682709117324,54.43682709117324,00:2;01:3;02:2;03:0;04:3,"(0,0);(0,6);(0,12);(0,18);(0,24)","(16,3);(17,1);(12,1);(2,6);(24,20)",379,0,completed
6,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,9);(24,15);(3,8);(9,8);(8,0);(24,20);(10,3);(13,9);(12,24);(11,14)",10,True,62.380731939967504,62.380731939967504,00:3;01:3;02:2;03:1;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(12,24);(23,15);(24,20);(11,14);(16,20)",430,0,completed
7,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(4,17);(9,16);(9,18);(24,1);(21,18);(9,19);(2,19);(14,19);(14,22);(2,6)",10,True,77.11324817209785,77.11324817209785,00:0;01:2;02:3;03:5;04:0,"(0,0);(0,6);(0,12);(0,18);(0,24)","(9,19);(11,17);(18,22);(24,1);(14,22)",545,0,completed
8,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(8,11);(22,0);(10,0);(12,12);(22,15);(7,8);(12,17);(5,8);(20,13);(11,13)",10,True,65.26673440730931,65.26673440730931,00:1;01:3;02:4;03:1;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(12,12);(22,0);(22,15);(20,13);(10,6)",441,0,completed
9,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,13);(0,15);(8,21);(12,5);(6,20);(1,10);(15,19);(2,11);(24,1);(15,2)",10,True,55.971703012162635,55.971703012162635,00:0;01:3;02:2;03:3;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(6,20);(24,1);(15,19);(12,20);(13,21)",387,0,completed
10,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(7,19);(19,17);(5,6);(15,7);(18,8);(10,8);(22,4);(18,0);(16,19);(4,13)",10,True,68.6192306549184,68.6192306549184,00:1;01:1;02:5;03:0;04:3,"(0,0);(0,6);(0,12);(0,18);(0,24)","(15,17);(10,5);(18,0);(22,7);(9,13)",451,0,completed
11,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(20,11);(6,17);(9,3);(9,13);(12,20);(2,14);(16,16);(20,1);(20,16);(12,19)",10,True,48.99558925057018,48.99558925057018,00:2;01:1;02:3;03:2;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(20,1);(14,20);(20,16);(21,11);(13,13)",313,0,completed
12,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(1,15);(19,20);(4,24);(14,12);(9,13);(5,13);(14,13);(14,9);(13,3);(13,6)",10,True,41.796554131747115,41.796554131747115,00:1;01:1;02:3;03:3;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(13,3);(13,6);(11,14);(14,7);(19,20)",276,0,completed
13,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(22,9);(15,5);(2,20);(2,18);(23,0);(16,9);(13,16);(22,12);(2,3);(12,19)",10,True,50.68840395262163,50.68840395262163,00:2;01:4;02:0;03:4;04:0,"(0,0);(0,6);(0,12);(0,18);(0,24)","(23,0);(22,12);(5,6);(22,15);(13,16)",330,0,completed
14,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(15,19);(12,23);(23,21);(3,18);(1,5);(10,4);(12,2);(22,16);(22,11);(1,6)",10,True,90.99197049784539,90.99197049784539,00:0;01:5;02:0;03:3;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(10,17);(22,11);(14,4);(14,19);(22,17)",633,0,completed
15,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,0);(3,20);(11,15);(12,22);(12,12);(7,23);(15,0);(19,18);(23,16);(20,8)",10,True,59.041909341951694,59.041909341951694,00:3;01:1;02:3;03:1;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(17,12);(11,19);(23,16);(14,0);(3,20)",384,0,completed
16,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(19,8);(6,17);(5,12);(12,11);(18,17);(3,18);(16,16);(13,21);(11,3);(14,9)",10,True,71.31740454092285,71.31740454092285,00:2;01:2;02:2;03:4;04:0,"(0,0);(0,6);(0,12);(0,18);(0,24)","(16,12);(13,21);(19,8);(18,17);(15,14)",485,0,completed
17,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(1,11);(4,12);(1,15);(8,10);(1,13);(22,23);(10,12);(23,16);(17,15);(17,5)",10,True,66.8431231995985,66.8431231995985,00:1;01:2;02:2;03:3;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(17,15);(1,13);(10,12);(17,5);(23,15)",446,0,completed
18,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(10,17);(24,20);(14,15);(22,23);(3,21);(17,20);(20,6);(12,10);(2,20);(16,8)",10,True,54.2520743845465,54.2520743845465,00:0;01:3;02:2;03:3;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(3,21);(20,9);(23,19);(24,20);(19,17)",356,0,completed
19,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(18,6);(17,8);(17,17);(20,16);(21,13);(7,17);(2,5);(24,5);(20,4);(4,24)",10,True,45.3677672600876,45.3677672600876,00:1;01:3;02:1;03:4;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(1,23);(24,5);(17,8);(21,13);(19,16)",285,0,completed
20,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(24,7);(10,3);(21,19);(8,3);(12,12);(22,21);(22,4);(16,12);(19,12);(13,14)",10,True,52.03013353165724,52.03013353165724,00:3;01:1;02:3;03:1;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(24,7);(23,9);(21,12);(11,3);(21,19)",332,0,completed
21,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(1,6);(8,14);(14,12);(21,0);(2,0);(23,6);(6,20);(1,3);(6,1);(16,19)",10,True,59.19639217546552,59.19639217546552,00:2;01:4;02:0;03:0;04:4,"(0,0);(0,6);(0,12);(0,18);(0,24)","(15,19);(23,6);(6,1);(8,16);(16,19)",419,0,completed
22,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,24);(13,19);(22,5);(17,23);(18,16);(6,6);(23,8);(12,8);(11,11);(1,5)",10,True,60.08502618627336,60.08502618627336,00:1;01:3;02:1;03:2;04:3,"(0,0);(0,6);(0,12);(0,18);(0,24)","(9,6);(23,15);(18,17);(18,14);(11,11)",393,0,completed
23,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(7,9);(17,17);(21,11);(24,6);(7,15);(15,9);(18,0);(13,12);(12,23);(3,13)",10,True,70.92611095436683,70.92611095436683,00:2;01:2;02:4;03:1;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(17,9);(16,14);(24,6);(21,6);(7,15)",461,0,completed
24,known_visit,PI,bernoulli,drop_0.25,25,625,5,10,pi_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(19,14);(14,3);(19,23);(22,23);(6,15);(18,24);(20,16);(2,16);(9,4);(4,16)",10,True,66.19219906088826,66.19219906088826,00:2;01:1;02:0;03:4;04:3,"(0,0);(0,6);(0,12);(0,18);(0,24)","(20,18);(6,18);(20,16);(15,3);(22,23)",432,0,completed
