trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,HIPC,bernoulli,drop_0.25,34,1156,6,10,hipc_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,5);(28,1);(11,25);(20,24);(25,8);(3,5);(1,16);(23,30);(33,13);(24,22)",10,True,73.20274838791485,73.20274838791485,00:1;01:4;02:1;03:2;04:2;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(28,1);(33,13);(1,16);(23,30);(24,22);(8,33)",685,0,completed
1,known_visit,HIPC,bernoulli,drop_0.25,34,1156,6,10,hipc_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(19,17);(14,6);(17,16);(16,15);(5,33);(11,30);(26,23);(24,33);(27,21);(19,32)",10,True,51.801409581055566,51.801409581055566,00:0;01:1;02:3;03:2;04:0;05:4,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(5,0);(15,7);(19,17);(26,23);(11,28);(24,33)",468,0,completed
2,known_visit,HIPC,bernoulli,drop_0.25,34,1156,6,10,hipc_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(3,32);(26,0);(14,7);(19,20);(29,15);(24,23);(11,8);(21,32);(22,8);(10,12)",10,True,67.22620049111286,67.22620049111286,00:1;01:3;02:1;03:3;04:0;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(26,0);(22,8);(10,12);(29,15);(1,26);(21,32)",641,0,completed
3,known_visit,HIPC,bernoulli,drop_0.25,34,1156,6,10,hipc_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,8);(19,29);(2,31);(11,10);(20,22);(32,21);(14,23);(9,2);(6,3);(3,22)",10,True,62.42820714051716,62.42820714051716,00:2;01:1;02:1;03:1;04:3;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(9,2);(18,8);(11,10);(2,31);(32,21);(19,29)",584,0,completed
4,known_visit,HIPC,bernoulli,drop_0.25,34,1156,6,10,hipc_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(17,0);(33,1);(26,29);(15,17);(9,10);(17,18);(23,29);(13,30);(6,0);(29,29)",10,True,56.796495377320426,56.796495377320426,00:3;01:1;02:0;03:2;04:0;05:4,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(33,1);(9,10);(9,11);(17,18);(13,30);(29,29)",498,0,completed
5,known_visit,HIPC,bernoulli,drop_0.25,34,1156,6,10,hipc_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,6);(4,2);(16,26);(9,17);(5,0);(19,7);(31,31);(15,20);(30,27);(22,11)",10,True,60.27041275555335,60.27041275555335,00:2;01:2;02:1;03:2;04:3;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(5,0);(21,6);(22,11);(15,20);(31,31);(24,33)",538,0,completed
6,known_visit,HIPC,bernoulli,drop_0.25,34,1156,6,10,hipc_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,15);(1,18);(14,25);(6,19);(4,11);(20,18);(16,2);(23,22);(33,20);(23,9)",10,True,65.95013898694916,65.95013898694916,00:1;01:1;02:1;03:4;04:3;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(16,2);(23,17);(7,11);(21,15);(33,20);(8,33)",611,0,completed
7,known_visit,HIPC,bernoulli,drop_0.25,34,1156,6,10,hipc_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(11,6);(22,28);(9,12);(33,20);(16,10);(15,3);(24,5);(9,8);(18,10);(4,26)",10,True,72.7949794111316,72.7949794111316,00:2;01:2;02:3;03:0;04:3;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(24,5);(11,6);(18,10);(10,20);(33,20);(4,33)",715,0,completed
8,known_visit,HIPC,bernoulli,drop_0.25,34,1156,6,10,hipc_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(10,22);(29,12);(29,17);(17,15);(11,32);(24,29);(25,3);(5,8);(6,23);(18,30)",10,True,81.05386076846817,81.05386076846817,00:1;01:0;02:1;03:4;04:1;05:3,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(25,3);(17,14);(5,8);(29,12);(10,22);(24,29)",770,0,completed
9,known_visit,HIPC,bernoulli,drop_0.25,34,1156,6,10,hipc_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,24);(6,0);(2,8);(22,15);(23,3);(22,26);(14,7);(29,27);(31,19);(17,25)",10,True,74.12847583571835,74.12847583571835,00:1;01:3;02:1;03:0;04:5;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(6,0);(23,3);(22,17);(18,24);(31,19);(0,33)",720,0,completed
10,known_visit,HIPC,bernoulli,drop_0.25,34,1156,6,10,hipc_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,19);(15,13);(2,29);(13,8);(25,22);(16,8);(33,10);(18,14);(21,31);(22,25)",10,True,194.69551027062658,194.69551027062658,00:0;01:3;02:2;03:3;04:1;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(22,22);(33,10);(18,24);(25,14);(24,13);(20,19)",2020,6,completed
11,known_visit,HIPC,bernoulli,drop_0.25,34,1156,6,10,hipc_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(8,17);(25,27);(1,25);(17,1);(15,15);(3,19);(24,17);(16,12);(29,24);(1,26)",10,True,59.56637789771082,59.56637789771082,00:0;01:0;02:2;03:4;04:4;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(4,0);(16,12);(17,1);(24,17);(29,24);(1,33)",547,0,completed
12,known_visit,HIPC,bernoulli,drop_0.25,34,1156,6,10,hipc_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(14,20);(19,27);(26,11);(31,30);(14,13);(20,1);(19,12);(15,5);(9,27);(20,0)",10,True,59.054271194051005,59.054271194051005,00:2;01:1;02:3;03:1;04:3;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(20,1);(15,5);(26,11);(19,21);(31,30);(10,33)",535,0,completed
13,known_visit,HIPC,bernoulli,drop_0.25,34,1156,6,10,hipc_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(23,7);(10,3);(25,1);(19,9);(30,19);(5,13);(33,25);(27,18);(14,17);(22,31)",10,True,71.09509902623674,71.09509902623674,00:1;01:3;02:2;03:3;04:0;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(17,3);(25,1);(16,18);(33,25);(4,26);(22,26)",652,0,completed
