scenario,grid_size,target_cells_per_robot,robot_count,comm_label,algorithm,mean_max_agent_steps,condition_rank,percent_above_condition_best,attempted_n,completed_n,eligible_n,failed_n
CLIPS,14,85,3,bernoulli_025,HIPC,44.22,5,6.19596541786743,50,50,50,0
CLIPS,14,85,3,bernoulli_025,DMCHBA,41.64,1,0,50,50,50,0
CLIPS,14,85,3,bernoulli_025,DGA,42.58,2,2.25744476464937,50,50,50,0
CLIPS,14,140,2,ideal,CBAA,48.7291666666667,4,3.03964757709251,50,49,48,1
CLIPS,14,140,2,ideal,ACBBA,47.2916666666667,1,0,50,50,48,0
CLIPS,14,140,2,ideal,PI,48.7083333333333,3,2.99559471365625,50,50,48,0
CLIPS,14,140,2,ideal,HIPC,50.375,5,6.51982378854618,50,49,48,1
CLIPS,14,140,2,ideal,DMCHBA,48.625,2,2.81938325991182,50,50,48,0
CLIPS,14,140,2,ideal,DGA,51,6,7.84140969162988,50,50,48,0
CLIPS,14,140,2,bernoulli_025,CBAA,55.3191489361702,6,8.19808572617556,50,47,47,3
CLIPS,14,140,2,bernoulli_025,ACBBA,54,5,5.61797752808986,50,50,47,0
CLIPS,14,140,2,bernoulli_025,PI,51.6808510638298,2,1.08198085726175,50,50,47,0
CLIPS,14,140,2,bernoulli_025,HIPC,52.7234042553191,4,3.12109862671649,50,50,47,0
CLIPS,14,140,2,bernoulli_025,DMCHBA,51.1276595744681,1,0,50,50,47,0
CLIPS,14,140,2,bernoulli_025,DGA,51.936170212766,3,1.58135663753647,50,50,47,0
CLIPS,14,220,1,ideal,CBAA,103.88,2.5,3.54864433811803,50,50,50,0
CLIPS,14,220,1,ideal,ACBBA,106.44,5.5,6.10047846889953,50,50,50,0
CLIPS,14,220,1,ideal,PI,100.32,1,0,50,50,50,0
CLIPS,14,220,1,ideal,HIPC,103.88,2.5,3.54864433811803,50,50,50,0
CLIPS,14,220,1,ideal,DMCHBA,104.92,4,4.58532695374802,50,50,50,0
CLIPS,14,220,1,ideal,DGA,106.44,5.5,6.10047846889953,50,50,50,0
CLIPS,14,220,1,bernoulli_025,CBAA,103.88,2.5,3.54864433811803,50,50,50,0
CLIPS,14,220,1,bernoulli_025,ACBBA,106.44,5.5,6.10047846889953,50,50,50,0
CLIPS,14,220,1,bernoulli_025,PI,100.32,1,0,50,50,50,0
CLIPS,14,220,1,bernoulli_025,HIPC,103.88,2.5,3.54864433811803,50,50,50,0
CLIPS,14,220,1,bernoulli_025,DMCHBA,104.92,4,4.58532695374802,50,50,50,0
CLIPS,14,220,1,bernoulli_025,DGA,106.44,5.5,6.10047846889953,50,50,50,0
CLIPS,19,50,8,ideal,CBAA,24.96,1,0,50,50,50,0
CLIPS,19,50,8,ideal,ACBBA,25.4,2,1.7628205128205,50,50,50,0
CLIPS,19,50,8,ideal,PI,25.7,4,2.96474358974358,50,50,50,0
CLIPS,19,50,8,ideal,HIPC,26.12,5,4.6474358974359,50,50,50,0
CLIPS,19,50,8,ideal,DMCHBA,25.56,3,2.40384615384615,50,50,50,0
CLIPS,19,50,8,ideal,DGA,26.66,6,6.81089743589743,50,50,50,0
CLIPS,19,50,8,bernoulli_025,CBAA,37.64,6,28.3765347885402,50,50,50,0
CLIPS,19,50,8,bernoulli_025,ACBBA,33.6,2,14.5975443383356,50,50,50,0
CLIPS,19,50,8,bernoulli_025,PI,37.32,5,27.2851296043656,50,50,50,0
CLIPS,19,50,8,bernoulli_025,HIPC,34.98,3,19.3042291950887,50,50,50,0
CLIPS,19,50,8,bernoulli_025,DMCHBA,29.32,1,0,50,50,50,0
CLIPS,19,50,8,bernoulli_025,DGA,35.24,4,20.1909959072306,50,50,50,0
CLIPS,19,85,5,ideal,CBAA,32.98,4,7.14749837556854,50,50,50,0
CLIPS,19,85,5,ideal,ACBBA,30.78,1,0,50,50,50,0
CLIPS,19,85,5,ideal,PI,32.44,3,5.39311241065626,50,50,50,0
CLIPS,19,85,5,ideal,HIPC,33.08,5,7.47238466536711,50,50,50,0
CLIPS,19,85,5,ideal,DMCHBA,32.06,2,4.15854450942171,50,50,50,0
CLIPS,19,85,5,ideal,DGA,38.7,6,25.7309941520468,50,50,50,0
CLIPS,19,85,5,bernoulli_025,CBAA,40.08,5,22.7189222290263,50,50,50,0
CLIPS,19,85,5,bernoulli_025,ACBBA,35.6,3,9.00183710961422,50,50,50,0
CLIPS,19,85,5,bernoulli_025,PI,37.9,4,16.044090630741,50,50,50,0
