scenario,algorithm,impaired_condition_count,unweighted_mean_max_agent_steps,median_condition_mean_max_agent_steps,mean_condition_rank,first_place_condition_count,top2_condition_count,mean_percent_above_condition_best,median_percent_above_condition_best
CLIPS,DMCHBA,24,56.7183517960882,57.0142487046632,1.33333333333333,19,21,0.387157225509242,0
CLIPS,ACBBA,24,60.5827129227368,60.0181818181818,2.04166666666667,5,19,6.78122487548725,4.27442119786192
CLIPS,HIPC,24,63.1615424227471,63.3214723100733,3.83333333333333,0,2,11.3285184157442,11.7633831890176
CLIPS,PI,24,63.3387848884034,64.0831168831169,4.54166666666667,0,0,11.6132396628076,11.3920104618907
CLIPS,CBAA,24,63.8272425591149,63.5181818181819,4.79166666666667,0,2,12.5657754758503,10.7755350184816
CLIPS,DGA,24,64.1043744354514,64.1272828733766,4.45833333333333,0,4,13.3615866852864,13.1932278631175
CV,DGA,24,24.4908333333333,23.777,1.16666666666667,20,24,0.256286562059181,0
CV,DMCHBA,24,24.7809166666667,23.877,1.83333333333333,4,24,1.4455829858228,1.40249099237579
CV,CBAA,24,26.0205,25.368,3.08333333333333,0,0,6.57881408925207,6.06296731531072
CV,ACBBA,24,29.1085833333333,29.074,4.29166666666667,0,0,19.3811078714468,19.5515771611322
CV,HIPC,24,32.3003333333333,33.691,4.875,0,0,33.7274094339842,32.2719600758412
CV,PI,24,34.8635833333333,34.209,5.75,0,0,43.4347714269603,49.8368771423234
