scenario,metric,algorithm,unweighted_mean_across_24_impaired_conditions,median_condition_mean,min_condition_eligible_n,max_condition_eligible_n,units
CLIPS,total_team_steps,CBAA,243.805750047372,244.357142857143,384,386,steps
CLIPS,total_team_steps,ACBBA,236.146424479692,235.762337662338,384,386,steps
CLIPS,total_team_steps,PI,246.450593052039,249.396103896104,384,386,steps
CLIPS,total_team_steps,HIPC,245.268742093983,246.501298701298,384,386,steps
CLIPS,total_team_steps,DMCHBA,221.64481188878,223.829015544042,384,386,steps
CLIPS,total_team_steps,DGA,250.031141574832,250.081010699146,384,386,steps
CLIPS,team_messages_per_step,CBAA,4.26020852825079,4.3511811380189,384,386,messages_per_step
CLIPS,team_messages_per_step,ACBBA,10.9054558660739,11.3831010623991,384,386,messages_per_step
CLIPS,team_messages_per_step,PI,3.40148877891349,3.44307950174452,384,386,messages_per_step
CLIPS,team_messages_per_step,HIPC,4.28998743066641,4.36632027235612,384,386,messages_per_step
CLIPS,team_messages_per_step,DMCHBA,2.06257481934993,2.06739950652917,384,386,messages_per_step
CLIPS,team_messages_per_step,DGA,2.91745264222375,2.93662617126148,384,386,messages_per_step
CLIPS,system_cell_revisits,CBAA,66.7805178362315,68.7257990713949,384,386,revisits
CLIPS,system_cell_revisits,ACBBA,59.3596382087436,58.3402597402598,384,386,revisits
CLIPS,system_cell_revisits,PI,68.0301372244489,68.0038961038961,384,386,revisits
CLIPS,system_cell_revisits,HIPC,67.7313908903641,68.2025974025974,384,386,revisits
CLIPS,system_cell_revisits,DMCHBA,39.1569336455903,40.9054538725523,384,386,revisits
CLIPS,system_cell_revisits,DGA,65.7116343568457,67.1789569805195,384,386,revisits
CV,total_team_steps,CBAA,96.4196666666667,95.7,500,500,steps
CV,total_team_steps,ACBBA,99.92075,100.845,500,500,steps
CV,total_team_steps,PI,105.44425,106.94,500,500,steps
CV,total_team_steps,HIPC,68.9359166666667,66.127,500,500,steps
CV,total_team_steps,DMCHBA,89.9878333333333,86.855,500,500,steps
CV,total_team_steps,DGA,85.18125,82.532,500,500,steps
CV,team_messages_per_step,CBAA,5.19236866090707,5.23927665969819,500,500,messages_per_step
CV,team_messages_per_step,ACBBA,4.28428842322177,4.31797836665726,500,500,messages_per_step
CV,team_messages_per_step,PI,2.87798771993189,2.96999889828664,500,500,messages_per_step
CV,team_messages_per_step,HIPC,2.93363061392234,2.9861093238674,500,500,messages_per_step
CV,team_messages_per_step,DMCHBA,2.08271992592866,2.08300332618142,500,500,messages_per_step
CV,team_messages_per_step,DGA,3.37702831654532,3.44164051915356,500,500,messages_per_step
CV,duplicate_target_visits,CBAA,2.68183333333333,2.334,500,500,duplicate_target_visits
CV,duplicate_target_visits,ACBBA,2.98875,2.646,500,500,duplicate_target_visits
CV,duplicate_target_visits,PI,3.35691666666667,3.074,500,500,duplicate_target_visits
CV,duplicate_target_visits,HIPC,1.30883333333333,0.968,500,500,duplicate_target_visits
CV,duplicate_target_visits,DMCHBA,1.71283333333333,1.161,500,500,duplicate_target_visits
CV,duplicate_target_visits,DGA,1.35291666666667,0.887,500,500,duplicate_target_visits
CV,unique_cell_contribution_gini,CBAA,0.0751916061266783,0.0755239169539959,500,500,gini
CV,unique_cell_contribution_gini,ACBBA,0.10919523700454,0.101932221237552,500,500,gini
CV,unique_cell_contribution_gini,PI,0.176338620411441,0.150363370488393,500,500,gini
CV,unique_cell_contribution_gini,HIPC,0.348244450598255,0.324262923519326,500,500,gini
CV,unique_cell_contribution_gini,DMCHBA,0.0748986874020449,0.0706668744348954,500,500,gini
CV,unique_cell_contribution_gini,DGA,0.0986552779027213,0.0963072443455955,500,500,gini
CV,target_completion_gini,CBAA,0.274958333333333,0.2666,500,500,gini
CV,target_completion_gini,ACBBA,0.266095833333333,0.2539,500,500,gini
CV,target_completion_gini,PI,0.314616666666667,0.31265,500,500,gini
CV,target_completion_gini,HIPC,0.4384625,0.45675,500,500,gini
CV,target_completion_gini,DMCHBA,0.237758333333333,0.2248,500,500,gini
CV,target_completion_gini,DGA,0.2463,0.23695,500,500,gini
