trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
13,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,52.65851333452107,52.65851333452107,0,0,0,91,30,95,0,0,0,0,0,0.0,0,306,0,232,693,0,94,138,189,43,0.0,11.6,2.15,collision_intent:94;pi_clear_path:3;pi_entry:40;state:95,0.125,0.08157894736842097,159,100.602,3.8126,77.4167,3.4242,132,23.1853,0.3884,completed
14,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,56.22088780144372,56.22088780144372,1,1,1,113,33,112,5,2,0,0,0,0.0,0,309,0,284,849,0,116,168,233,51,0.0,14.2,2.55,collision_intent:116;pi_clear_path:3;pi_entry:48;state:117,0.19999999999999996,0.0625,117,106.2425,3.7012,83.1726,2.9397,91,23.0699,0.4237,completed
15,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,78.63100725762506,78.63100725762506,0,0,0,140,46,141,3,2,5,5,0,0.0,0,461,0,348,1041,0,148,200,292,56,0.0,17.4,2.8,collision_intent:148;pi_clear_path:4;pi_entry:52;state:144,0.2749999999999999,0.11524822695035453,193,130.9637,2.3784,93.9461,1.8359,172,37.0176,0.2991,completed
16,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,56.543080312136205,56.543080312136205,0,0,0,97,32,100,1,0,0,0,0,0.0,0,332,0,251,750,0,100,151,201,50,0.0,12.55,2.5,collision_intent:100;pi_clear_path:3;pi_entry:47;state:101,0.125,0.10000000000000009,165,117.5841,3.4943,89.5673,2.7754,139,28.0168,0.3908,completed
17,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,45.94259871433499,45.94259871433499,0,0,0,99,27,103,0,0,1,1,0,0.0,0,251,0,246,735,0,103,143,206,40,0.0,12.3,2.0,collision_intent:103;pi_clear_path:3;pi_entry:37;state:103,0.125,0.031553398058252524,81,71.7838,2.441,59.3416,2.0637,50,12.4422,0.3437,completed
18,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,51.57311644154984,51.57311644154984,3,3,3,109,30,107,6,0,1,1,0,0.0,0,273,0,269,804,0,113,156,226,43,0.0,13.45,2.15,collision_intent:113;pi_clear_path:3;pi_entry:40;state:113,0.17500000000000004,0.0490654205607477,88,78.1275,3.7187,62.9812,2.8477,65,15.1463,0.4882,completed
19,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,52.403576112501284,52.403576112501284,3,3,3,101,31,96,9,1,0,0,0,0.0,0,291,0,261,780,0,104,157,209,52,0.0,13.05,2.6,collision_intent:104;pi_clear_path:6;pi_entry:46;state:105,0.07499999999999996,0.0625,124,110.832,3.5867,84.2102,2.8269,100,26.6218,0.3977,completed
20,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,49.917125909224346,49.917125909224346,1,1,1,95,29,98,1,0,0,0,0,0.0,0,284,0,250,747,0,98,152,197,53,0.0,12.5,2.65,collision_intent:98;pi_clear_path:3;pi_entry:50;state:99,0.2250000000000001,0.09693877551020402,125,124.5267,3.9588,95.9678,3.0977,97,28.5589,0.441,completed
21,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,43.5656444053678,43.5656444053678,1,1,1,92,26,94,2,0,0,0,0,0.0,0,235,0,231,690,0,95,136,191,40,0.0,11.55,2.0,collision_intent:95;pi_clear_path:3;pi_entry:37;state:96,0.19999999999999996,0.037234042553191404,85,86.3087,4.3929,70.8544,3.3668,56,15.4543,0.5608,completed
22,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,44.37012568913054,44.37012568913054,0,0,0,89,26,93,0,0,1,1,0,0.0,0,246,0,237,708,0,93,144,186,51,0.0,11.85,2.55,collision_intent:93;pi_clear_path:3;pi_entry:48;state:93,0.07499999999999996,0.07258064516129026,96,96.6414,4.1238,76.2035,3.2419,74,20.4379,0.5194,completed
23,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,51.75745612472434,51.75745612472434,0,0,0,99,30,100,3,1,0,0,0,0.0,0,291,0,259,774,0,102,157,205,54,0.0,12.95,2.7,collision_intent:102;pi_clear_path:3;pi_entry:51;state:103,0.17500000000000004,0.05499999999999994,134,105.3471,4.0438,84.1784,3.1651,100,21.1687,0.5175,completed
24,known_visit,PI,ideal,1.0,19,361,4,20,targets_20_pi_h2_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,20,True,51.24249198411882,51.24249198411882,0,0,0,98,30,100,2,1,0,0,0,0.0,0,293,0,247,738,0,101,146,203,44,0.0,12.35,2.2,collision_intent:101;pi_clear_path:3;pi_entry:41;state:102,0.125,0.11499999999999999,126,86.2991,2.427,66.6525,1.8933,96,19.6466,0.3553,completed
