trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,HIPC,ideal,1.0,34,1156,6,10,hipc_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,5);(28,1);(11,25);(20,24);(25,8);(3,5);(1,16);(23,30);(33,13);(24,22)",10,True,73.11874325448693,73.11874325448693,00:1;01:4;02:1;03:2;04:2;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(28,1);(33,13);(1,16);(23,30);(20,24);(0,33)",703,0,completed
1,known_visit,HIPC,ideal,1.0,34,1156,6,10,hipc_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(19,17);(14,6);(17,16);(16,15);(5,33);(11,30);(26,23);(24,33);(27,21);(19,32)",10,True,52.48654829372883,52.48654829372883,00:0;01:1;02:3;03:2;04:0;05:4,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(0,0);(14,6);(19,17);(26,23);(14,29);(24,33)",478,0,completed
2,known_visit,HIPC,ideal,1.0,34,1156,6,10,hipc_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(3,32);(26,0);(14,7);(19,20);(29,15);(24,23);(11,8);(21,32);(22,8);(10,12)",10,True,67.53839494364257,67.53839494364257,00:1;01:3;02:1;03:3;04:0;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(26,0);(22,8);(10,12);(29,15);(1,26);(21,32)",645,0,completed
3,known_visit,HIPC,ideal,1.0,34,1156,6,10,hipc_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,8);(19,29);(2,31);(11,10);(20,22);(32,21);(14,23);(9,2);(6,3);(3,22)",10,True,91.92626648408786,91.92626648408786,00:2;01:2;02:0;03:3;04:2;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(9,2);(18,8);(0,13);(32,21);(20,22);(5,24)",939,0,completed
4,known_visit,HIPC,ideal,1.0,34,1156,6,10,hipc_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(17,0);(33,1);(26,29);(15,17);(9,10);(17,18);(23,29);(13,30);(6,0);(29,29)",10,True,56.418548018181234,56.418548018181234,00:3;01:1;02:0;03:2;04:3;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(33,1);(9,10);(0,13);(17,18);(29,29);(22,30)",513,0,completed
5,known_visit,HIPC,ideal,1.0,34,1156,6,10,hipc_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,6);(4,2);(16,26);(9,17);(5,0);(19,7);(31,31);(15,20);(30,27);(22,11)",10,True,60.27808408494153,60.27808408494153,00:2;01:3;02:1;03:1;04:3;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(4,2);(22,11);(15,20);(9,17);(31,31);(5,33)",582,0,completed
6,known_visit,HIPC,ideal,1.0,34,1156,6,10,hipc_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,15);(1,18);(14,25);(6,19);(4,11);(20,18);(16,2);(23,22);(33,20);(23,9)",10,True,65.77890795894251,65.77890795894251,00:1;01:0;02:2;03:4;04:3;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(16,2);(6,7);(23,9);(21,15);(33,20);(0,33)",636,0,completed
7,known_visit,HIPC,ideal,1.0,34,1156,6,10,hipc_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(11,6);(22,28);(9,12);(33,20);(16,10);(15,3);(24,5);(9,8);(18,10);(4,26)",10,True,72.93465503022951,72.93465503022951,00:2;01:2;02:3;03:0;04:3;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(24,5);(11,6);(18,10);(9,20);(33,20);(0,33)",723,0,completed
8,known_visit,HIPC,ideal,1.0,34,1156,6,10,hipc_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(10,22);(29,12);(29,17);(17,15);(11,32);(24,29);(25,3);(5,8);(6,23);(18,30)",10,True,81.01189253928754,81.01189253928754,00:1;01:1;02:0;03:4;04:1;05:3,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(25,3);(5,11);(0,13);(29,12);(9,23);(24,29)",810,0,completed
9,known_visit,HIPC,ideal,1.0,34,1156,6,10,hipc_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,24);(6,0);(2,8);(22,15);(23,3);(22,26);(14,7);(29,27);(31,19);(17,25)",10,True,74.78294651715905,74.78294651715905,00:1;01:3;02:1;03:0;04:5;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(6,0);(23,3);(22,17);(18,22);(31,19);(1,33)",733,0,completed
