trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
10,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,24,50.0,48.166667,pi_g34_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,4,22,"(3,9);(12,29);(12,14);(5,22)",06,3,9,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(3,1);01:(1,2);02:(5,3);03:(4,5);04:(5,6);05:(3,8);06:(5,9);07:(5,10);08:(5,11);09:(4,12);10:(4,14);11:(3,15);12:(3,18);13:(4,19);14:(4,20);15:(3,21);16:(4,22);17:(3,25);18:(4,26);19:(3,28);20:(3,30);21:(2,32);22:(3,31);23:(4,33)",00:0;01:0;02:0;03:0;04:0;05:0;06:1;07:0;08:0;09:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0;20:0;21:0;22:0;23:0,16,completed
11,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,24,50.0,48.166667,pi_g34_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,24,14,"(20,14);(3,3);(29,11);(3,22)",02,3,3,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(24,2);01:(22,7);02:(22,4);03:(24,3);04:(24,1);05:(23,13);06:(22,9);07:(24,8);08:(21,15);09:(22,12);10:(23,21);11:(24,14);12:(24,17);13:(21,25);14:(22,16);15:(21,18);16:(24,18);17:(23,23);18:(21,22);19:(24,24);20:(22,28);21:(22,33);22:(22,30);23:(24,26)",00:0;01:0;02:1;03:0;04:0;05:0;06:0;07:0;08:0;09:1;10:0;11:0;12:0;13:0;14:0;15:1;16:0;17:0;18:0;19:0;20:0;21:0;22:0;23:0,11,completed
12,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,24,50.0,48.166667,pi_g34_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,19,32,"(21,28);(2,31);(30,30);(2,23)",16,2,23,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(12,3);01:(15,0);02:(12,2);03:(14,9);04:(13,4);05:(13,7);06:(14,1);07:(16,16);08:(16,13);09:(15,12);10:(17,19);11:(14,13);12:(13,21);13:(17,20);14:(17,24);15:(17,23);16:(18,25);17:(15,28);18:(19,28);19:(18,31);20:(20,30);21:(17,32);22:(16,28);23:(19,32)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:0;14:0;15:0;16:1;17:0;18:0;19:0;20:0;21:1;22:1;23:0,23,completed
13,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,24,50.0,48.166667,pi_g34_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,33,26,"(3,14);(26,33);(23,29);(17,8)",10,3,14,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(30,10);01:(32,13);02:(31,5);03:(31,11);04:(29,10);05:(30,7);06:(31,8);07:(32,11);08:(1,13);09:(31,18);10:(30,16);11:(1,14);12:(32,20);13:(33,23);14:(33,18);15:(32,22);16:(33,26);17:(31,26);18:(30,31);19:(32,24);20:(32,30);21:(29,31);22:(33,33);23:(32,28)",00:0;01:1;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:1;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0;20:0;21:1;22:1;23:0,16,completed
14,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,24,50.0,48.166667,pi_g34_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,5,33,"(14,32);(8,6);(4,33);(9,0)",23,4,33,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(4,1);01:(3,2);02:(4,2);03:(4,4);04:(4,6);05:(4,7);06:(4,8);07:(5,10);08:(4,12);09:(4,13);10:(4,14);11:(4,16);12:(4,17);13:(4,19);14:(4,20);15:(4,22);16:(5,23);17:(4,25);18:(4,27);19:(3,28);20:(3,30);21:(3,31);22:(5,32);23:(5,33)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0;20:0;21:0;22:0;23:1,23,completed
15,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,24,50.0,48.166667,pi_g34_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,31,21,"(29,24);(7,24);(27,21);(28,29)",16,7,24,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(30,3);01:(27,0);02:(31,7);03:(31,9);04:(31,13);05:(30,0);06:(30,18);07:(31,21);08:(32,12);09:(32,19);10:(30,22);11:(31,16);12:(32,26);13:(28,21);14:(28,17);15:(30,25);16:(32,28);17:(31,31);18:(31,17);19:(31,22);20:(32,33);21:(33,31);22:(33,26);23:(32,30)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:1;14:0;15:0;16:1;17:0;18:0;19:1;20:0;21:1;22:1;23:0,07,completed
16,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,24,50.0,48.166667,pi_g34_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,6,24,"(16,20);(27,23);(6,26);(9,10)",,,,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(5,0);01:(4,2);02:(6,3);03:(6,4);04:(5,6);05:(5,7);06:(5,9);07:(5,10);08:(5,11);09:(6,13);10:(6,14);11:(5,16);12:(5,17);13:(6,19);14:(5,20);15:(5,22);16:(5,23);17:(6,24);18:(4,27);19:(3,29);20:(4,30);21:(4,31);22:(5,32);23:(6,33)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0;20:0;21:0;22:0;23:0,17,completed
17,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,24,50.0,48.166667,pi_g34_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,7,21,"(2,15);(8,27);(27,32);(5,29)",19,5,29,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(7,1);01:(6,2);02:(7,2);03:(6,4);04:(7,5);05:(7,8);06:(8,9);07:(8,10);08:(7,11);09:(7,12);10:(7,15);11:(8,16);12:(6,17);13:(7,18);14:(7,21);15:(8,22);16:(7,24);17:(6,26);18:(2,28);19:(5,29);20:(6,29);21:(6,31);22:(7,32);23:(8,33)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:1;20:0;21:0;22:0;23:0,14,completed
18,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,24,50.0,48.166667,pi_g34_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,29,0,"(32,7);(33,24);(33,1);(17,20)",10,17,20,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(29,0);01:(14,0);02:(28,3);03:(29,1);04:(0,21);05:(29,4);06:(0,16);07:(33,14);08:(1,18);09:(1,22);10:(32,29);11:(15,9);12:(9,21);13:(32,6);14:(31,7);15:(6,27);16:(26,31);17:(28,8);18:(29,31);19:(31,32);20:(29,32);21:(31,31);22:(33,19);23:(29,33)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:1;11:0;12:0;13:1;14:0;15:0;16:0;17:0;18:0;19:0;20:0;21:0;22:0;23:0,00,completed
19,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,24,50.0,48.166667,pi_g34_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,14,20,"(13,20);(15,8);(14,23);(19,33)",13,14,23,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(18,1);01:(15,1);02:(18,2);03:(19,4);04:(17,5);05:(19,7);06:(18,8);07:(18,11);08:(17,13);09:(13,15);10:(14,20);11:(11,20);12:(13,21);13:(14,22);14:(15,24);15:(0,25);16:(10,25);17:(16,27);18:(11,28);19:(16,28);20:(17,29);21:(18,31);22:(19,32);23:(20,33)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:1;14:0;15:0;16:0;17:0;18:0;19:0;20:0;21:0;22:0;23:1,10,completed
