trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
0,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,475,475,0,361,118,0,0,0,2105,6061,251,484,1621,959,1146,0,0,0.05164609053497942,5.8310249307479225,0.0,2.4126315789473685,0.0,3.1745152354570636,collision_intent:484;hipc_clear_bundle:3;hipc_entry:1143;state:475,120,557,0.04916897506925211,completed
1,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,385,385,0,361,28,0,0,0,1889,5495,169,388,1501,773,1116,0,0,0.03755555555555556,5.232686980609419,0.0,2.898701298701299,0.0,3.0914127423822713,collision_intent:388;hipc_entry:1116;state:385,98,481,0.025623268698060864,completed
2,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,440,440,0,361,83,0,0,0,1979,5724,210,451,1528,891,1088,0,0,0.045841519318926,5.481994459833795,0.0,2.4727272727272727,0.0,3.0138504155124655,collision_intent:451;hipc_clear_bundle:2;hipc_entry:1086;state:440,111,540,0.03808864265927969,completed
3,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,385,385,0,361,28,0,0,0,1875,5411,211,388,1487,773,1102,0,0,0.04733064154329296,5.193905817174516,0.0,2.862337662337662,0.0,3.0526315789473686,collision_intent:388;hipc_entry:1102;state:385,98,491,0.031163434903047182,completed
4,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,563,563,0,361,206,0,0,0,2301,6687,213,567,1734,1130,1171,0,0,0.04096941719561454,6.373961218836565,0.0,2.079928952042629,0.0,3.2437673130193905,collision_intent:567;hipc_clear_bundle:2;hipc_entry:1169;state:563,149,609,0.051939058171745156,completed
5,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,437,437,0,361,80,0,0,0,1986,5756,199,443,1543,880,1106,0,0,0.04301772589710333,5.501385041551247,0.0,2.530892448512586,0.0,3.063711911357341,collision_intent:443;hipc_clear_bundle:2;hipc_entry:1104;state:437,112,552,0.11149584487534625,completed
6,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,456,456,0,361,99,0,0,0,2054,5899,260,459,1595,915,1139,0,0,0.05437055625261397,5.689750692520776,0.0,2.4978070175438596,0.0,3.155124653739612,collision_intent:459;hipc_clear_bundle:1;hipc_entry:1138;state:456,114,540,0.06855955678670367,completed
7,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,442,442,0,361,85,0,0,0,1992,5804,169,450,1542,892,1100,0,0,0.03655634869132598,5.518005540166205,0.0,2.48868778280543,0.0,3.0470914127423825,collision_intent:450;hipc_entry:1100;state:442,113,547,0.10041551246537406,completed
8,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,489,489,0,361,132,0,0,0,2141,6227,193,499,1642,988,1153,0,0,0.03920373755839935,5.930747922437673,0.0,2.357873210633947,0.0,3.193905817174515,collision_intent:499;hipc_clear_bundle:1;hipc_entry:1152;state:489,123,548,0.031163434903047182,completed
9,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,458,458,0,361,101,0,0,0,2009,5826,199,471,1538,929,1080,0,0,0.043148308759757156,5.565096952908587,0.0,2.3580786026200875,0.0,2.9916897506925206,collision_intent:471;hipc_clear_bundle:1;hipc_entry:1079;state:458,117,555,0.1031855955678671,completed
10,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,429,429,0,361,72,0,0,0,1987,5720,238,437,1550,866,1121,0,0,0.05121583817516678,5.50415512465374,0.0,2.613053613053613,0.0,3.1052631578947367,collision_intent:437;hipc_entry:1121;state:429,108,507,0.04362880886426601,completed
11,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,457,457,0,361,100,0,0,0,2041,5901,219,466,1575,923,1118,0,0,0.04637865311308768,5.653739612188366,0.0,2.446389496717724,0.0,3.096952908587258,collision_intent:466;hipc_entry:1118;state:457,116,542,0.03808864265927969,completed
12,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,398,398,0,361,41,0,0,0,1907,5498,220,403,1504,801,1106,0,0,0.04879130627633622,5.282548476454294,0.0,2.778894472361809,0.0,3.063711911357341,collision_intent:403;hipc_entry:1106;state:398,100,486,0.03808864265927969,completed
13,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,417,417,0,361,60,0,0,0,1989,5736,229,423,1566,840,1149,0,0,0.0487649063032368,5.509695290858725,0.0,2.7553956834532376,0.0,3.182825484764543,collision_intent:423;hipc_entry:1149;state:417,106,521,0.0865650969529086,completed
14,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,413,413,0,361,56,0,0,0,1939,5585,229,419,1520,832,1107,0,0,0.05025235900811938,5.371191135734072,0.0,2.6803874092009687,0.0,3.0664819944598336,collision_intent:419;hipc_clear_bundle:1;hipc_entry:1106;state:413,105,522,0.04916897506925211,completed
15,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,481,481,0,361,124,0,0,0,2104,6008,301,498,1606,979,1125,0,0,0.06251298026998961,5.82825484764543,0.0,2.3388773388773387,0.0,3.1163434903047094,collision_intent:498;hipc_clear_bundle:1;hipc_entry:1124;state:481,122,541,0.018698060941828354,completed
16,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,474,474,0,361,117,0,0,0,2147,6151,287,487,1660,961,1186,0,0,0.057665260196905765,5.947368421052632,0.0,2.50210970464135,0.0,3.285318559556787,collision_intent:487;hipc_clear_bundle:2;hipc_entry:1184;state:474,121,558,0.06301939058171735,completed
17,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,430,430,0,361,73,0,0,0,1995,5752,230,434,1561,864,1131,0,0,0.049145299145299144,5.526315789473684,0.0,2.630232558139535,0.0,3.1329639889196677,collision_intent:434;hipc_clear_bundle:1;hipc_entry:1130;state:430,108,514,0.035318559556786644,completed
18,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,395,395,0,361,38,0,0,0,1914,5486,253,401,1513,796,1118,0,0,0.05577601410934744,5.301939058171745,0.0,2.830379746835443,0.0,3.096952908587258,collision_intent:401;hipc_entry:1118;state:395,101,499,0.022853185595567815,completed
19,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,446,446,0,361,89,0,0,0,2011,5851,179,456,1555,902,1109,0,0,0.038395538395538394,5.570637119113574,0.0,2.486547085201794,0.0,3.07202216066482,collision_intent:456;hipc_entry:1109;state:446,113,522,0.029778393351800547,completed
20,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,372,372,0,361,15,0,0,0,1852,5347,206,380,1472,752,1100,0,0,0.04668026285973261,5.130193905817174,0.0,2.956989247311828,0.0,3.0470914127423825,collision_intent:380;hipc_entry:1100;state:372,96,475,0.0076177285318559385,completed
21,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,422,422,0,361,65,0,0,0,2007,5816,195,431,1576,853,1154,0,0,0.0413135593220339,5.5595567867036015,0.0,2.734597156398104,0.0,3.1966759002770084,collision_intent:431;hipc_clear_bundle:1;hipc_entry:1153;state:422,108,510,0.020083102493074767,completed
22,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,475,475,0,361,118,0,0,0,2098,6039,252,487,1611,962,1136,0,0,0.05217391304347826,5.811634349030471,0.0,2.391578947368421,0.0,3.146814404432133,collision_intent:487;hipc_clear_bundle:1;hipc_entry:1135;state:475,120,562,0.07963988919667586,completed
23,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,417,417,0,361,60,0,0,0,1967,5647,252,429,1538,846,1121,0,0,0.05464006938421509,5.448753462603878,0.0,2.6882494004796165,0.0,3.1052631578947367,collision_intent:429;hipc_entry:1121;state:417,106,506,0.04778393351800547,completed
24,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,468,468,0,361,111,0,0,0,2075,5947,276,473,1602,941,1134,0,0,0.05745212323064113,5.747922437673131,0.0,2.423076923076923,0.0,3.141274238227147,collision_intent:473;hipc_clear_bundle:1;hipc_entry:1133;state:468,118,536,0.03670360110803328,completed
25,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,452,452,0,361,95,0,0,0,2033,5859,237,458,1575,910,1123,0,0,0.05019059720457433,5.631578947368421,0.0,2.484513274336283,0.0,3.110803324099723,collision_intent:458;hipc_clear_bundle:2;hipc_entry:1121;state:452,115,537,0.06440443213296398,completed
26,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,515,515,0,361,158,0,0,0,2241,6329,391,520,1721,1035,1206,0,0,0.07577519379844962,6.207756232686981,0.0,2.341747572815534,0.0,3.3407202216066483,collision_intent:520;hipc_entry:1206;state:515,131,586,0.06855955678670367,completed
27,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,408,408,0,361,51,0,0,0,1958,5634,238,413,1545,821,1137,0,0,0.05137060220159724,5.423822714681441,0.0,2.786764705882353,0.0,3.149584487534626,collision_intent:413;hipc_entry:1137;state:408,104,497,0.03947368421052633,completed
28,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,440,440,0,361,83,0,0,0,2054,5867,292,453,1601,893,1161,0,0,0.060833333333333336,5.689750692520776,0.0,2.6386363636363637,0.0,3.21606648199446,collision_intent:453;hipc_clear_bundle:2;hipc_entry:1159;state:440,113,533,0.0602493074792243,completed
29,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,415,415,0,361,58,0,0,0,1938,5588,222,421,1517,836,1102,0,0,0.04882340004398505,5.368421052631579,0.0,2.6554216867469878,0.0,3.0526315789473686,collision_intent:421;hipc_entry:1102;state:415,106,512,0.07963988919667586,completed
30,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,433,433,0,361,76,0,0,0,1998,5799,192,438,1560,871,1127,0,0,0.04105195638229634,5.534626038781163,0.0,2.602771362586605,0.0,3.1218836565096955,collision_intent:438;hipc_entry:1127;state:433,110,507,0.042243767313019376,completed
31,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,437,437,0,361,80,0,0,0,1998,5725,266,443,1555,880,1118,0,0,0.057057057057057055,5.534626038781163,0.0,2.5583524027459954,0.0,3.096952908587258,collision_intent:443;hipc_entry:1118;state:437,110,518,0.03808864265927969,completed
32,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,399,399,0,361,42,0,0,0,1896,5462,223,401,1495,800,1096,0,0,0.0497545738509594,5.252077562326869,0.0,2.7468671679197993,0.0,3.03601108033241,collision_intent:401;hipc_entry:1096;state:399,100,491,0.028393351800553912,completed
33,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,448,448,0,361,91,0,0,0,2073,5906,310,459,1614,907,1166,0,0,0.06406282289729283,5.742382271468144,0.0,2.6026785714285716,0.0,3.229916897506925,collision_intent:459;hipc_clear_bundle:1;hipc_entry:1165;state:448,116,533,0.028393351800553912,completed
34,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,465,465,0,361,108,0,0,0,2085,6041,211,470,1615,935,1150,0,0,0.04357703428335399,5.775623268698061,0.0,2.4731182795698925,0.0,3.185595567867036,collision_intent:470;hipc_clear_bundle:1;hipc_entry:1149;state:465,117,533,0.04778393351800547,completed
35,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,417,417,0,361,60,0,0,0,1966,5645,250,425,1541,842,1124,0,0,0.05411255411255411,5.445983379501385,0.0,2.695443645083933,0.0,3.113573407202216,collision_intent:425;hipc_entry:1124;state:417,106,508,0.028393351800553912,completed
36,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,453,453,0,361,96,0,0,0,2040,5890,227,470,1570,923,1117,0,0,0.048226046314000424,5.650969529085873,0.0,2.465783664459161,0.0,3.0941828254847645,collision_intent:470;hipc_entry:1117;state:453,117,524,0.020083102493074767,completed
37,HIPC,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,hipc_gilbert_elliott_drop_0_05_rho_0_8,,coverage,415,415,0,361,58,0,0,0,1968,5679,222,420,1548,835,1133,0,0,0.04783451842275371,5.4515235457063715,0.0,2.730120481927711,0.0,3.1385041551246537,collision_intent:420;hipc_entry:1133;state:415,105,506,0.028393351800553912,completed
