trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
15,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(6,10);(15,0);(6,6);(16,9);(17,18)",5,True,31.32323598550608,31.32323598550608,00:1;01:1;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(16,0);(16,3);(16,9);(17,16)",162,0,completed
16,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(11,14);(11,7);(15,13);(14,16);(5,3)",5,True,37.65185057305616,37.65185057305616,00:1;01:1;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(5,8);(12,14);(15,13);(14,9)",202,0,completed
17,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(15,11);(17,14);(6,15);(7,10);(7,2)",5,True,40.60434815952335,40.60434815952335,00:1;01:1;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(15,9);(7,10);(15,11);(18,12)",219,0,completed
18,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(3,2);(16,9);(5,2);(2,16);(8,2)",5,True,35.58502729994637,35.58502729994637,00:3;01:0;02:1;03:1,"(0,0);(0,6);(0,12);(0,18)","(8,2);(8,1);(16,9);(5,2)",206,0,completed
19,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(4,16);(16,18);(1,11);(13,10);(3,0)",5,True,33.579525888854114,33.579525888854114,00:1;01:2;02:0;03:2,"(0,0);(0,6);(0,12);(0,18)","(13,7);(13,10);(4,14);(16,18)",187,0,completed
20,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(12,12);(7,6);(6,17);(9,14);(17,12)",5,True,35.29529597063959,35.29529597063959,00:0;01:1;02:3;03:1,"(0,0);(0,6);(0,12);(0,18)","(8,10);(16,11);(17,12);(12,12)",184,0,completed
21,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(6,18);(8,12);(14,14);(3,16);(5,14)",5,True,36.91050676406945,36.91050676406945,00:0;01:2;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(9,4);(14,14);(8,12);(8,13)",201,0,completed
22,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(18,8);(17,6);(18,13);(13,10);(4,14)",5,True,41.456168202992025,41.456168202992025,00:0;01:2;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(10,14);(18,13);(18,8);(13,10)",209,0,completed
23,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(2,16);(12,8);(8,3);(8,0);(11,15)",5,True,26.091853358267414,26.091853358267414,00:2;01:0;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(8,7);(9,10);(12,8);(11,14)",133,0,completed
24,known_visit,PI,bernoulli,drop_0.25,19,361,4,5,targets_5_pi_h1_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,"(14,12);(7,11);(12,1);(6,17);(17,12)",5,True,38.26139694061896,38.26139694061896,00:1;01:0;02:1;03:3,"(0,0);(0,6);(0,12);(0,18)","(12,11);(17,11);(11,1);(17,12)",190,0,completed
