trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
40,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,98,94,4,100,0,0,0,0,198,168,28,99,99,198,0,10,0,0.2857142857142857,1.98,2.5,0.0,0.0,0.0,clue:1;collision_intent:98;state:98;target:1,49,100,0.0,completed
41,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,21,21,0,23,0,0,0,0,43,39,3,22,21,43,0,0,0,0.14285714285714285,1.8695652173913044,0.0,0.0,0.0,0.0,collision_intent:21;state:21;target:1,11,23,0.021739130434782705,completed
42,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,249,28,221,182,69,1,0,0,765,634,129,250,515,506,259,709,259,0.2509727626459144,4.2032967032967035,3.2081447963800906,1.0401606425702812,1.1719457013574661,1.4230769230769231,clue:7;collision_intent:249;pi_entry:259;state:249;target:1,125,402,0.05494505494505497,completed
43,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,48,17,31,44,6,0,0,0,137,115,20,49,88,101,36,103,36,0.22988505747126436,3.1136363636363638,3.3225806451612905,0.75,1.1612903225806452,0.8181818181818182,clue:4;collision_intent:48;pi_entry:36;state:48;target:1,24,72,0.06818181818181812,completed
44,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,245,37,208,187,60,1,8,4,746,633,113,255,491,507,239,672,239,0.23014256619144602,3.9893048128342246,3.230769230769231,0.9755102040816327,1.1490384615384615,1.2780748663101604,clue:7;collision_intent:254;pi_entry:239;state:245;target:1,123,375,0.06149732620320858,completed
45,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,18,16,2,20,0,0,0,0,43,38,5,19,24,39,4,11,4,0.20833333333333334,2.15,5.5,0.2222222222222222,2.0,0.2,clue:2;collision_intent:18;pi_entry:4;state:18;target:1,9,22,0.0,completed
46,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,5,5,0,7,0,0,0,0,11,11,0,6,5,11,0,0,0,0.0,1.5714285714285714,0.0,0.0,0.0,0.0,collision_intent:5;state:5;target:1,3,7,0.0714285714285714,completed
47,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,225,56,169,164,63,1,1,1,634,548,86,227,407,460,174,522,174,0.2113022113022113,3.8658536585365852,3.088757396449704,0.7733333333333333,1.029585798816568,1.0609756097560976,clue:8;collision_intent:226;pi_entry:174;state:225;target:1,113,331,0.07317073170731714,completed
48,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,131,13,118,133,0,0,0,0,355,308,45,132,223,267,88,329,88,0.20270270270270271,2.669172932330827,2.788135593220339,0.6717557251908397,0.7457627118644068,0.6616541353383458,clue:4;collision_intent:131;pi_entry:88;state:131;target:1,68,215,0.018796992481203034,completed
49,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,bernoulli,drop_0.25,14,196,2,140.0,98.0,pi_g14_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,227,65,162,168,61,0,1,1,644,528,114,230,414,461,183,514,183,0.27602905569007263,3.8333333333333335,3.1728395061728394,0.8061674008810573,1.1296296296296295,1.0892857142857142,clue:4;collision_intent:229;pi_entry:183;state:227;target:1,114,332,0.08333333333333326,completed
