trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
0,known_visit,HIPC,gilbert_elliot,0.75,19,361,4,10,hipc_h2_ge_075,known_visit_10target_300.csv,00,13,1,1,10,4,1,0,0,0,37,29,8,106,22,known_visit_horizon,commitment_horizon,2,h2,10,4
0,known_visit,HIPC,gilbert_elliot,0.75,19,361,4,10,hipc_h2_ge_075,known_visit_10target_300.csv,01,28,6,0,29,0,0,0,0,0,68,57,11,86,12,known_visit_horizon,commitment_horizon,2,h2,10,4
0,known_visit,HIPC,gilbert_elliot,0.75,19,361,4,10,hipc_h2_ge_075,known_visit_10target_300.csv,02,14,3,0,14,1,0,0,0,0,38,30,8,112,15,known_visit_horizon,commitment_horizon,2,h2,10,4
0,known_visit,HIPC,gilbert_elliot,0.75,19,361,4,10,hipc_h2_ge_075,known_visit_10target_300.csv,03,4,0,0,5,0,2,1,1,0,23,13,10,126,16,known_visit_horizon,commitment_horizon,2,h2,10,4
1,known_visit,HIPC,gilbert_elliot,0.75,19,361,4,10,hipc_h2_ge_075,known_visit_10target_300.csv,00,18,2,0,19,0,0,0,0,0,42,38,4,113,24,known_visit_horizon,commitment_horizon,2,h2,10,4
1,known_visit,HIPC,gilbert_elliot,0.75,19,361,4,10,hipc_h2_ge_075,known_visit_10target_300.csv,01,20,3,0,21,0,0,0,0,0,46,41,5,118,16,known_visit_horizon,commitment_horizon,2,h2,10,4
1,known_visit,HIPC,gilbert_elliot,0.75,19,361,4,10,hipc_h2_ge_075,known_visit_10target_300.csv,02,17,2,0,18,0,1,0,0,0,44,36,8,116,19,known_visit_horizon,commitment_horizon,2,h2,10,4
1,known_visit,HIPC,gilbert_elliot,0.75,19,361,4,10,hipc_h2_ge_075,known_visit_10target_300.csv,03,19,3,0,20,0,2,0,0,0,48,39,9,106,25,known_visit_horizon,commitment_horizon,2,h2,10,4
2,known_visit,HIPC,gilbert_elliot,0.75,19,361,4,10,hipc_h2_ge_075,known_visit_10target_300.csv,00,16,3,0,17,0,0,0,0,0,40,34,6,159,25,known_visit_horizon,commitment_horizon,2,h2,10,4
2,known_visit,HIPC,gilbert_elliot,0.75,19,361,4,10,hipc_h2_ge_075,known_visit_10target_300.csv,01,25,2,2,21,5,0,0,0,0,61,52,9,138,25,known_visit_horizon,commitment_horizon,2,h2,10,4
2,known_visit,HIPC,gilbert_elliot,0.75,19,361,4,10,hipc_h2_ge_075,known_visit_10target_300.csv,02,30,3,1,29,2,1,3,2,0,75,63,12,126,24,known_visit_horizon,commitment_horizon,2,h2,10,4
2,known_visit,HIPC,gilbert_elliot,0.75,19,361,4,10,hipc_h2_ge_075,known_visit_10target_300.csv,03,19,2,0,20,0,1,0,0,0,49,40,9,157,18,known_visit_horizon,commitment_horizon,2,h2,10,4
3,known_visit,HIPC,gilbert_elliot,0.75,19,361,4,10,hipc_h2_ge_075,known_visit_10target_300.csv,00,7,0,0,8,0,4,0,0,0,27,16,11,130,24,known_visit_horizon,commitment_horizon,2,h2,10,4
3,known_visit,HIPC,gilbert_elliot,0.75,19,361,4,10,hipc_h2_ge_075,known_visit_10target_300.csv,01,24,4,0,25,0,0,0,0,0,61,49,12,104,17,known_visit_horizon,commitment_horizon,2,h2,10,4
3,known_visit,HIPC,gilbert_elliot,0.75,19,361,4,10,hipc_h2_ge_075,known_visit_10target_300.csv,02,10,3,0,11,0,0,2,1,0,36,24,12,122,23,known_visit_horizon,commitment_horizon,2,h2,10,4
3,known_visit,HIPC,gilbert_elliot,0.75,19,361,4,10,hipc_h2_ge_075,known_visit_10target_300.csv,03,19,3,0,20,0,1,1,1,0,58,41,17,107,16,known_visit_horizon,commitment_horizon,2,h2,10,4
