trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
10,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,426,426,0,361,69,0,0,0,1255,3553,209,432,823,858,397,0,0,0.08475263584752636,3.4764542936288088,0.0,0.931924882629108,0.0,1.0997229916897506,collision_intent:432;pi_clear_path:1;pi_entry:396;state:426,108,321,0.025623268698060864,completed
11,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,454,454,0,361,97,0,0,0,1339,3738,274,471,868,925,414,0,0,0.10542516352443247,3.709141274238227,0.0,0.9118942731277533,0.0,1.146814404432133,collision_intent:471;pi_entry:414;state:454,117,343,0.09764542936288079,completed
12,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,412,412,0,361,55,0,0,0,1221,3444,216,419,802,831,390,0,0,0.0898876404494382,3.3822714681440442,0.0,0.9466019417475728,0.0,1.080332409972299,collision_intent:419;pi_entry:390;state:412,105,317,0.03947368421052633,completed
13,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,452,452,0,361,95,0,0,0,1322,3787,176,469,853,921,401,0,0,0.06885758998435054,3.662049861495845,0.0,0.8871681415929203,0.0,1.110803324099723,collision_intent:469;pi_clear_path:1;pi_entry:400;state:452,116,337,0.04085872576177296,completed
14,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,512,512,0,361,155,0,0,0,1481,4128,312,529,952,1041,440,0,0,0.10935856992639327,4.1024930747922435,0.0,0.859375,0.0,1.2188365650969528,collision_intent:529;pi_clear_path:1;pi_entry:439;state:512,130,380,0.09349030470914133,completed
15,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,478,478,0,361,121,0,0,0,1391,3971,199,491,900,969,422,0,0,0.07378568780126066,3.853185595567867,0.0,0.8828451882845189,0.0,1.1689750692520775,collision_intent:491;pi_clear_path:1;pi_entry:421;state:478,123,363,0.12811634349030476,completed
16,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,431,431,0,361,74,0,0,0,1273,3601,215,445,828,876,397,0,0,0.08665860540104796,3.526315789473684,0.0,0.9211136890951276,0.0,1.0997229916897506,collision_intent:445;pi_clear_path:2;pi_entry:395;state:431,111,324,0.021468144044321402,completed
17,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,405,405,0,361,48,0,0,0,1206,3348,267,412,794,817,389,0,0,0.11223203026481715,3.3407202216066483,0.0,0.9604938271604938,0.0,1.077562326869806,collision_intent:412;pi_entry:389;state:405,104,304,0.031163434903047182,completed
18,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,495,495,0,361,138,0,0,0,1431,3981,309,514,917,1009,422,0,0,0.11244541484716157,3.96398891966759,0.0,0.8525252525252526,0.0,1.1689750692520775,collision_intent:514;pi_clear_path:2;pi_entry:420;state:495,126,361,0.06994459833795008,completed
19,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,426,426,0,361,69,0,0,0,1257,3562,200,433,824,859,398,0,0,0.08110300081103,3.481994459833795,0.0,0.9342723004694836,0.0,1.1024930747922437,collision_intent:433;pi_entry:398;state:426,108,323,0.12396121883656508,completed
20,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,395,395,0,361,38,0,0,0,1178,3328,203,404,774,799,379,0,0,0.08753773178094006,3.263157894736842,0.0,0.959493670886076,0.0,1.0498614958448753,collision_intent:404;pi_entry:379;state:395,100,300,0.051939058171745156,completed
21,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,419,419,0,361,62,0,0,0,1244,3502,227,423,821,842,402,0,0,0.09227642276422764,3.445983379501385,0.0,0.9594272076372315,0.0,1.113573407202216,collision_intent:423;pi_entry:402;state:419,106,313,0.03808864265927969,completed
22,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,558,558,0,361,201,0,0,0,1586,4459,297,578,1008,1136,450,0,0,0.09827928524156188,4.393351800554017,0.0,0.8064516129032258,0.0,1.2465373961218837,collision_intent:578;pi_entry:450;state:558,144,408,0.10457063711911352,completed
23,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,458,458,0,361,101,0,0,0,1342,3791,232,475,867,933,409,0,0,0.08929946112394149,3.7174515235457064,0.0,0.8930131004366813,0.0,1.1329639889196677,collision_intent:475;pi_entry:409;state:458,117,343,0.051939058171745156,completed
24,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,462,462,0,361,105,0,0,0,1370,3868,238,479,891,941,429,0,0,0.08917197452229299,3.7950138504155126,0.0,0.9285714285714286,0.0,1.188365650969529,collision_intent:479;pi_entry:429;state:462,118,353,0.04639889196675906,completed
25,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,480,480,0,361,123,0,0,0,1385,3942,210,490,895,970,415,0,0,0.07829977628635347,3.8365650969529086,0.0,0.8645833333333334,0.0,1.149584487534626,collision_intent:490;pi_entry:415;state:480,123,357,0.08379501385041555,completed
26,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,440,440,0,361,83,0,0,0,1309,3701,225,456,853,896,413,0,0,0.08795934323690383,3.6260387811634347,0.0,0.9386363636363636,0.0,1.1440443213296398,collision_intent:456;pi_clear_path:2;pi_entry:411;state:440,113,334,0.07132963988919672,completed
27,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,485,485,0,361,128,0,0,0,1405,3950,262,491,914,976,429,0,0,0.09565534866739686,3.89196675900277,0.0,0.8845360824742268,0.0,1.188365650969529,collision_intent:491;pi_entry:429;state:485,124,362,0.09487534626038774,completed
28,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,495,495,0,361,138,0,0,0,1428,3954,328,510,918,1005,423,0,0,0.11918604651162791,3.955678670360111,0.0,0.8545454545454545,0.0,1.1717451523545706,collision_intent:510;pi_clear_path:2;pi_entry:421;state:495,125,365,0.10457063711911352,completed
29,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,565,565,0,361,208,0,0,0,1593,4389,387,577,1016,1142,451,0,0,0.1270935960591133,4.412742382271468,0.0,0.7982300884955752,0.0,1.2493074792243768,collision_intent:577;pi_clear_path:1;pi_entry:450;state:565,142,409,0.14750692520775632,completed
30,PI,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,pi_gilbert_elliott_drop_0_10_rho_0_8,,coverage,469,469,0,361,112,0,0,0,1359,3786,289,479,880,948,411,0,0,0.10955269143290372,3.7645429362880884,0.0,0.8763326226012793,0.0,1.1385041551246537,collision_intent:479;pi_entry:411;state:469,120,347,0.09764542936288079,completed
