# scenario_set=grid_density_sensitivity
# grid_size=25
# num_trials=50
# num_clues=4
# clue_weight=1/((1+manhattan_distance)**1.0)
trial_id,episode,object_x,object_y,target_x,target_y,clue1_x,clue1_y,clue2_x,clue2_y,clue3_x,clue3_y,clue4_x,clue4_y
0,0,14,0,14,0,9,0,6,18,19,8,12,1
1,1,12,13,12,13,12,14,16,14,9,1,18,8
2,2,16,1,16,1,9,12,17,8,15,4,7,14
3,3,2,18,2,18,4,16,13,22,5,17,3,18
4,4,8,18,8,18,7,23,17,17,19,8,12,6
5,5,15,13,15,13,19,6,19,17,17,5,11,10
6,6,10,15,10,15,1,5,8,15,13,17,14,10
7,7,4,19,4,19,5,18,4,18,11,9,17,11
8,8,21,3,21,3,18,22,17,17,17,1,24,1
9,9,1,0,1,0,6,17,10,3,2,18,16,8
10,10,18,13,18,13,14,23,19,13,22,9,13,10
11,11,18,10,18,10,15,19,15,10,18,9,12,7
12,12,14,19,14,19,15,17,6,20,15,5,7,18
13,13,4,15,4,15,10,6,3,12,6,22,7,17
14,14,1,10,1,10,4,8,2,12,6,8,20,8
15,15,23,1,23,1,7,8,18,17,10,7,18,11
16,16,9,3,9,3,9,2,4,7,7,5,14,3
17,17,1,19,1,19,15,11,21,18,8,16,8,19
18,18,24,21,24,21,20,14,16,11,24,20,24,24
19,19,16,4,16,4,16,6,5,6,4,3,17,9
20,20,7,23,7,23,7,24,10,19,11,23,9,1
21,21,3,11,3,11,8,9,3,8,12,11,1,13
22,22,21,23,21,23,8,13,23,22,20,12,17,9
23,23,15,3,15,3,12,2,7,6,2,12,13,7
24,24,20,24,20,24,9,11,21,24,11,24,12,19
25,25,3,8,3,8,17,8,14,9,3,9,6,5
26,26,17,18,17,18,12,19,6,7,15,4,9,11
27,27,11,6,11,6,22,11,8,7,13,2,11,14
28,28,22,10,22,10,15,8,19,13,16,11,4,15
29,29,14,10,14,10,15,21,5,8,19,19,9,6
30,30,22,8,22,8,17,7,20,4,21,10,24,8
31,31,17,7,17,7,10,8,11,18,18,22,11,11
32,32,9,1,9,1,5,1,7,5,2,5,14,10
33,33,5,24,5,24,23,11,23,2,21,0,19,24
34,34,24,11,24,11,8,5,14,5,23,10,22,14
35,35,3,14,3,14,3,0,9,3,13,3,6,22
36,36,24,10,24,10,16,7,20,11,10,16,24,8
37,37,14,10,14,10,20,3,16,12,23,3,13,6
38,38,16,24,16,24,17,24,12,21,13,3,14,16
39,39,2,12,2,12,2,21,17,19,5,7,3,13
40,40,20,19,20,19,17,2,18,15,13,19,24,6
41,41,2,24,2,24,21,17,4,9,11,14,22,15
42,42,4,4,4,4,13,10,16,13,3,1,13,17
43,43,16,22,16,22,15,21,20,17,7,12,14,17
44,44,8,13,8,13,6,15,24,13,12,3,3,4
45,45,21,15,21,15,21,10,19,8,22,11,12,16
46,46,6,15,6,15,3,8,20,4,15,7,12,9
47,47,5,18,5,18,3,16,22,1,4,7,3,17
48,48,17,6,17,6,8,7,24,20,17,15,16,5
49,49,10,16,10,16,9,16,9,13,11,14,20,3
