# scenario_set=grid_density_sensitivity
# grid_size=19
# num_trials=50
# num_clues=4
# clue_weight=1/((1+manhattan_distance)**1.0)
trial_id,episode,object_x,object_y,target_x,target_y,clue1_x,clue1_y,clue2_x,clue2_y,clue3_x,clue3_y,clue4_x,clue4_y
0,0,7,18,7,18,5,13,7,12,7,17,15,8
1,1,16,17,16,17,6,18,2,3,18,15,17,7
2,2,16,11,16,11,16,10,6,10,5,3,14,11
3,3,2,11,2,11,4,9,8,14,8,10,15,10
4,4,6,14,6,14,5,12,12,1,6,17,7,1
5,5,3,16,3,16,1,5,1,17,3,5,7,9
6,6,5,8,5,8,11,17,1,11,12,2,4,3
7,7,16,8,16,8,14,10,11,7,16,12,17,2
8,8,6,18,6,18,10,18,4,4,13,14,5,12
9,9,11,5,11,5,6,9,8,5,12,4,1,17
10,10,16,9,16,9,15,8,18,8,14,18,11,8
11,11,16,5,16,5,0,1,11,4,1,12,13,12
12,12,6,10,6,10,7,17,11,5,5,10,11,18
13,13,10,10,10,10,2,5,6,8,11,12,2,4
14,14,5,2,5,2,5,5,3,1,8,4,18,6
15,15,12,15,12,15,13,13,15,18,15,14,2,2
16,16,6,14,6,14,5,12,16,7,3,13,9,16
17,17,14,2,14,2,18,4,11,9,1,3,11,7
18,18,9,12,9,12,10,13,7,5,13,2,18,13
19,19,7,11,7,11,10,9,8,12,14,6,16,3
20,20,6,0,6,0,7,1,3,5,10,4,11,7
21,21,4,8,4,8,6,14,4,9,11,11,3,8
22,22,18,1,18,1,6,6,15,2,18,3,3,12
23,23,12,7,12,7,14,17,15,5,11,3,7,3
24,24,16,11,16,11,5,8,16,5,14,13,15,8
25,25,17,16,17,16,4,6,16,16,18,2,16,4
26,26,15,5,15,5,17,10,4,5,17,5,15,6
27,27,5,0,5,0,8,8,2,0,10,10,6,1
28,28,7,16,7,16,5,14,5,18,9,11,6,10
29,29,16,14,16,14,11,11,12,9,16,16,18,15
30,30,8,14,8,14,5,10,12,16,11,18,16,15
31,31,3,10,3,10,3,2,14,12,10,10,5,12
32,32,9,2,9,2,6,9,7,3,11,15,13,17
33,33,17,2,17,2,10,17,17,18,18,0,4,3
34,34,11,13,11,13,11,17,13,9,8,12,16,8
35,35,11,5,11,5,11,3,15,0,3,3,14,17
36,36,10,17,10,17,4,2,2,18,17,9,5,7
37,37,6,16,6,16,6,14,10,17,4,16,7,9
38,38,16,4,16,4,11,1,10,15,6,17,16,11
39,39,12,17,12,17,18,1,15,15,10,4,13,7
40,40,8,16,8,16,9,15,10,16,18,0,3,10
41,41,18,12,18,12,10,13,16,2,18,11,10,15
42,42,11,17,11,17,17,5,8,12,15,16,5,15
43,43,3,7,3,7,10,11,3,8,6,9,5,2
44,44,16,0,16,0,13,8,17,1,3,6,11,13
45,45,11,3,11,3,9,3,10,7,4,6,12,4
46,46,18,17,18,17,0,16,13,10,18,10,15,18
47,47,5,11,5,11,4,2,5,6,1,12,1,8
48,48,12,9,12,9,11,10,12,10,4,11,14,13
49,49,5,5,5,5,4,6,7,1,16,17,5,11
