trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status,failure_type,failure_message
0,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,16);01:(14,7);02:(18,18);03:(18,15)",00:0;01:0;02:0;03:0,,completed,,
1,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(14,3);01:(18,16);02:(18,15);03:(13,3)",00:0;01:0;02:0;03:0,,completed,,
2,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(13,9);01:(18,18);02:(11,5);03:(11,1)",00:0;01:0;02:0;03:0,,completed,,
3,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(13,3);01:(14,13);02:(18,4);03:(18,14)",00:0;01:0;02:0;03:0,,completed,,
4,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(17,16);01:(18,12);02:(13,13);03:(16,18)",00:0;01:0;02:0;03:0,,completed,,
5,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(4,1);01:(4,2);02:(18,18);03:(18,17)",00:0;01:0;02:0;03:0,,completed,,
6,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,3);01:(0,4);02:(2,1);03:(18,18)",00:0;01:0;02:0;03:0,,completed,,
7,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,14);01:(18,0);02:(18,15);03:(7,14)",00:0;01:0;02:0;03:0,,completed,,
8,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,,failed,RuntimeError,Debug safety cap reached in trial 8. This usually means the allocator is stuck or returning no reachable goals.
9,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(9,2);01:(9,1);02:(18,16);03:(18,17)",00:0;01:0;02:0;03:0,,completed,,
10,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(16,9);01:(16,12);02:(18,18);03:(17,17)",00:0;01:0;02:0;03:0,,completed,,
11,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(2,2);01:(2,3);02:(18,18);03:(1,6)",00:0;01:0;02:0;03:0,,completed,,
12,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(11,3);01:(17,9);02:(18,13);03:(16,16)",00:0;01:0;02:0;03:0,,completed,,
13,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(12,10);01:(16,16);02:(18,16);03:(13,10)",00:0;01:0;02:0;03:0,,completed,,
14,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(3,1);01:(18,15);02:(14,6);03:(17,2)",00:0;01:0;02:0;03:0,,completed,,
15,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,13);01:(6,18);02:(17,15);03:(16,16)",00:0;01:0;02:0;03:0,,completed,,
16,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(8,9);01:(8,10);02:(18,17);03:(18,18)",00:0;01:0;02:0;03:0,,completed,,
17,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,1);01:(9,9);02:(18,11);03:(7,16)",00:0;01:0;02:0;03:0,,completed,,
18,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(16,3);01:(18,14);02:(18,11);03:(17,15)",00:0;01:0;02:0;03:0,,completed,,
19,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(17,12);01:(18,17);02:(18,18);03:(17,5)",00:0;01:0;02:0;03:0,,completed,,
20,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,18);01:(14,7);02:(18,15);03:(17,12)",00:0;01:0;02:0;03:0,,completed,,
21,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,15);01:(17,7);02:(17,6);03:(18,14)",00:0;01:0;02:0;03:0,,completed,,
22,PI,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,pi_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,8);01:(12,5);02:(13,0);03:(18,12)",00:0;01:0;02:0;03:0,,completed,,
