trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_index,target_x,target_y,first_completion_time_s,first_completion_sim_time_s,first_found_by_robot,first_finder_robot_id,total_visits,duplicate_visits,completed,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
2,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,4,0,2,2.035814834871886,2.035814834871886,00,00,2,1,True,known_visit_horizon,commitment_horizon,1,h1,10,4
2,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,5,12,18,18.918225808705486,18.918225808705486,03,03,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
2,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,6,0,9,33.213719895330314,33.213719895330314,01,01,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
2,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,7,16,12,25.79779095100005,25.79779095100005,02,02,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
2,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,8,4,15,38.33853821371534,38.33853821371534,03,03,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
2,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,9,14,2,26.021779280569824,26.021779280569824,00,00,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
2,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,10,12,9,38.60487749168521,38.60487749168521,02,02,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,1,15,11,32.702367598015776,32.702367598015776,01,01,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,2,11,8,20.723160930764923,20.723160930764923,01,01,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,3,11,16,156.58973693253722,156.58973693253722,02,02,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,4,7,17,12.681491763888335,12.681491763888335,03,03,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,5,10,5,24.109379851350198,24.109379851350198,00,00,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,6,0,15,8.001033881692441,8.001033881692441,02,02,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,7,0,13,4.301741639172426,4.301741639172426,02,02,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,8,1,12,0.2213168394058908,0.2213168394058908,02,02,2,1,True,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,9,3,14,15.510328974176044,15.510328974176044,02,02,2,1,True,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,10,2,7,3.7698687984837327,3.7698687984837327,01,01,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
4,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,1,13,1,26.918737788801252,26.918737788801252,00,00,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
4,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,2,17,14,39.00026252401583,39.00026252401583,02,02,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
4,known_visit,DGA,bernoulli,0.25,19,361,4,10,dga_h1_bernoulli_025,known_visit_10target_300.csv,3,8,0,12.254877232204455,12.254877232204455,00,00,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
