trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,ACBBA,ideal,1.0,34,1156,9,10,acbba_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,5);(28,1);(11,25);(20,24);(25,8);(3,5);(1,16);(23,30);(33,13);(24,22)",10,True,89.13530104890151,89.13530104890151,00:1;01:2;02:0;03:0;04:2;05:3;06:1;07:0;08:1,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(28,1);(20,5);(18,6);(15,12);(33,13);(24,22);(25,8);(19,29);(23,30)",1284,0,completed
1,known_visit,ACBBA,ideal,1.0,34,1156,9,10,acbba_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(19,17);(14,6);(17,16);(16,15);(5,33);(11,30);(26,23);(24,33);(27,21);(19,32)",10,True,50.22461664301314,50.22461664301314,00:0;01:1;02:0;03:3;04:0;05:2;06:0;07:3;08:1,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(14,2);(14,9);(16,13);(19,17);(4,16);(26,23);(11,26);(24,33);(12,33)",682,0,completed
2,known_visit,ACBBA,ideal,1.0,34,1156,9,10,acbba_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(3,32);(26,0);(14,7);(19,20);(29,15);(24,23);(11,8);(21,32);(22,8);(10,12)",10,True,64.56013771156117,64.56013771156117,00:0;01:1;02:3;03:1;04:0;05:2;06:0;07:2;08:1,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(10,0);(14,7);(26,0);(10,12);(10,16);(29,15);(9,25);(24,23);(9,32)",933,0,completed
3,known_visit,ACBBA,ideal,1.0,34,1156,9,10,acbba_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,8);(19,29);(2,31);(11,10);(20,22);(32,21);(14,23);(9,2);(6,3);(3,22)",10,True,85.57106502098098,85.57106502098098,00:3;01:0;02:1;03:2;04:0;05:1;06:1;07:1;08:1,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(11,10);(12,7);(18,8);(32,21);(16,16);(13,22);(14,23);(19,29);(2,28)",1315,0,completed
4,known_visit,ACBBA,ideal,1.0,34,1156,9,10,acbba_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(17,0);(33,1);(26,29);(15,17);(9,10);(17,18);(23,29);(13,30);(6,0);(29,29)",10,True,57.18316984369374,57.18316984369374,00:3;01:0;02:0;03:1;04:2;05:0;06:0;07:3;08:1,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(33,1);(11,4);(8,8);(9,10);(17,18);(5,21);(23,25);(29,29);(13,30)",819,0,completed
5,known_visit,ACBBA,ideal,1.0,34,1156,9,10,acbba_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,6);(4,2);(16,26);(9,17);(5,0);(19,7);(31,31);(15,20);(30,27);(22,11)",10,True,77.65813038692552,77.65813038692552,00:3;01:1;02:0;03:1;04:0;05:1;06:0;07:3;08:1,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(21,6);(20,7);(7,8);(10,17);(9,16);(15,13);(5,25);(31,31);(22,11)",1146,0,completed
6,known_visit,ACBBA,ideal,1.0,34,1156,9,10,acbba_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,15);(1,18);(14,25);(6,19);(4,11);(20,18);(16,2);(23,22);(33,20);(23,9)",10,True,73.56201742879783,73.56201742879783,00:2;01:0;02:1;03:1;04:2;05:0;06:1;07:2;08:1,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(23,9);(3,4);(5,11);(21,16);(20,18);(6,20);(15,25);(33,20);(6,19)",1088,0,completed
7,known_visit,ACBBA,ideal,1.0,34,1156,9,10,acbba_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(11,6);(22,28);(9,12);(33,20);(16,10);(15,3);(24,5);(9,8);(18,10);(4,26)",10,True,74.28821101630041,74.28821101630041,00:0;01:2;02:3;03:1;04:1;05:0;06:3;07:0;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(9,0);(24,5);(18,10);(9,12);(11,6);(7,21);(33,20);(7,29);(3,33)",1140,0,completed
8,known_visit,ACBBA,ideal,1.0,34,1156,9,10,acbba_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(10,22);(29,12);(29,17);(17,15);(11,32);(24,29);(25,3);(5,8);(6,23);(18,30)",10,True,56.88944672421788,56.88944672421788,00:0;01:1;02:2;03:2;04:1;05:1;06:0;07:2;08:1,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(6,0);(25,3);(17,15);(29,17);(6,23);(11,22);(7,25);(24,29);(11,32)",813,0,completed
9,known_visit,ACBBA,ideal,1.0,34,1156,9,10,acbba_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,24);(6,0);(2,8);(22,15);(23,3);(22,26);(14,7);(29,27);(31,19);(17,25)",10,True,73.11160424958047,73.11160424958047,00:1;01:2;02:1;03:0;04:1;05:0;06:1;07:3;08:1,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(6,0);(23,3);(2,8);(2,12);(24,15);(6,21);(17,25);(31,19);(18,24)",1105,0,completed
