trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,debug_max_events,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed
0,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 0. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,
1,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,983,983,0,361,626,0,0,0,11023,12179,20890,,1006,10017,1989,9034,0,0,0.6951515756547203,30.534626038781163,0.0,9.190233977619531,0.0,25.024930747922436,acbba_entry:9034;collision_intent:1006;state:983,312,2809,0.36634349030470914
2,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,836,836,0,361,479,0,0,0,10072,10186,20029,,856,9216,1692,8380,0,0,0.7244547328824104,27.900277008310248,0.0,10.023923444976077,0.0,23.213296398891966,acbba_entry:8380;collision_intent:856;state:836,283,2560,0.28462603878116344
3,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,761,761,0,361,404,0,0,0,11115,12076,21269,,776,10339,1537,9578,0,0,0.6857207337911468,30.789473684210527,0.0,12.586070959264125,0.0,26.53185595567867,acbba_entry:9578;collision_intent:776;state:761,337,2792,0.4508310249307479
4,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,830,830,0,361,473,0,0,0,10821,11445,21017,,846,9975,1676,9145,0,0,0.7023459430557412,29.975069252077564,0.0,11.018072289156626,0.0,25.332409972299168,acbba_entry:9145;collision_intent:846;state:830,294,2792,0.2680055401662049
5,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,1006,1006,0,361,649,0,0,0,9504,10664,17848,,1030,8474,2036,7468,0,0,0.7020690740303674,26.326869806094184,0.0,7.423459244532803,0.0,20.68698060941828,acbba_entry:7468;collision_intent:1030;state:1006,258,2440,0.07825484764542945
6,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,962,962,0,361,605,0,0,0,10114,11103,19238,,981,9133,1943,8171,0,0,0.7021680414628805,28.01662049861496,0.0,8.493762993762994,0.0,22.634349030470915,acbba_entry:8171;collision_intent:981;state:962,263,2592,0.33864265927977844
7,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,681,681,0,361,324,0,0,0,11147,11459,21981,,691,10456,1372,9775,0,0,0.7007683233972009,30.878116343490305,0.0,14.353891336270191,0.0,27.077562326869806,acbba_entry:9775;collision_intent:691;state:681,345,2858,0.5159279778393351
8,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,987,987,0,361,630,0,0,0,9560,10449,18217,,1009,8551,1996,7564,0,0,0.7105191310113499,26.481994459833796,0.0,7.663627152988855,0.0,20.952908587257618,acbba_entry:7564;collision_intent:1009;state:987,258,2520,0.12396121883656508
9,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,818,818,0,361,461,0,0,0,10167,10735,19764,,836,9331,1654,8513,0,0,0.7060840984602194,28.16343490304709,0.0,10.407090464547677,0.0,23.581717451523545,acbba_entry:8513;collision_intent:836;state:818,284,2638,0.5533240997229918
