trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic
0,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 0. This usually means the allocator is stuck or returning no reachable goals.,00,,,,,,,,,,,,,,,,
0,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 0. This usually means the allocator is stuck or returning no reachable goals.,01,,,,,,,,,,,,,,,,
0,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 0. This usually means the allocator is stuck or returning no reachable goals.,02,,,,,,,,,,,,,,,,
0,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 0. This usually means the allocator is stuck or returning no reachable goals.,03,,,,,,,,,,,,,,,,
1,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,00,218,0,62,157,0,0,0,2746,3074,5203,228,2518,446,2300,0,acbba_entry:2300;collision_intent:228;state:218
1,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,01,312,0,211,102,0,0,0,2696,3152,5175,315,2381,627,2069,0,acbba_entry:2069;collision_intent:315;state:312
1,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,02,228,0,39,190,0,0,0,2809,3049,5165,235,2574,463,2346,0,acbba_entry:2346;collision_intent:235;state:228
1,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,03,225,0,49,177,0,0,0,2772,2904,5347,228,2544,453,2319,0,acbba_entry:2319;collision_intent:228;state:225
2,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,00,137,0,56,82,0,0,0,2419,2529,5124,141,2278,278,2141,0,acbba_entry:2141;collision_intent:141;state:137
2,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,01,138,0,52,87,0,0,0,2560,2677,4835,143,2417,281,2279,0,acbba_entry:2279;collision_intent:143;state:138
2,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,02,278,0,68,211,0,0,0,2533,2508,5030,285,2248,563,1970,0,acbba_entry:1970;collision_intent:285;state:278
2,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,03,283,0,185,99,0,0,0,2560,2472,5040,287,2273,570,1990,0,acbba_entry:1990;collision_intent:287;state:283
3,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,00,45,0,26,20,0,0,0,2789,3120,5206,47,2742,92,2697,0,acbba_entry:2697;collision_intent:47;state:45
3,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,01,335,0,119,217,0,0,0,2784,2907,5424,339,2445,674,2110,0,acbba_entry:2110;collision_intent:339;state:335
3,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,02,44,0,15,30,0,0,0,2792,3147,5176,48,2744,92,2700,0,acbba_entry:2700;collision_intent:48;state:44
3,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,03,337,0,201,137,0,0,0,2750,2902,5463,342,2408,679,2071,0,acbba_entry:2071;collision_intent:342;state:337
4,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,00,120,0,45,76,0,0,0,2792,2902,5127,125,2667,245,2547,0,acbba_entry:2547;collision_intent:125;state:120
4,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,01,141,0,43,99,0,0,0,2590,2852,5378,146,2444,287,2303,0,acbba_entry:2303;collision_intent:146;state:141
4,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,02,275,0,129,147,0,0,0,2685,2850,5286,277,2408,552,2133,0,acbba_entry:2133;collision_intent:277;state:275
4,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,03,294,0,144,151,0,0,0,2754,2841,5226,298,2456,592,2162,0,acbba_entry:2162;collision_intent:298;state:294
5,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,00,245,0,103,143,0,0,0,2411,2411,4682,256,2155,501,1910,0,acbba_entry:1910;collision_intent:256;state:245
5,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,01,251,0,80,172,0,0,0,2440,2689,4375,259,2181,510,1930,0,acbba_entry:1930;collision_intent:259;state:251
5,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,02,258,0,104,155,0,0,0,2262,2998,4244,260,2002,518,1744,0,acbba_entry:1744;collision_intent:260;state:258
5,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,03,252,0,74,179,0,0,0,2391,2566,4547,255,2136,507,1884,0,acbba_entry:1884;collision_intent:255;state:252
6,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,00,244,0,62,183,0,0,0,2570,2775,4769,247,2323,491,2079,0,acbba_entry:2079;collision_intent:247;state:244
6,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,01,225,0,62,164,0,0,0,2592,2833,4689,230,2362,455,2137,0,acbba_entry:2137;collision_intent:230;state:225
6,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,02,230,0,37,194,0,0,0,2542,2830,4742,236,2306,466,2076,0,acbba_entry:2076;collision_intent:236;state:230
6,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,03,263,0,200,64,0,0,0,2410,2665,5038,268,2142,531,1879,0,acbba_entry:1879;collision_intent:268;state:263
7,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,00,3,0,4,0,0,0,0,2768,3007,5372,4,2764,7,2761,0,acbba_entry:2761;collision_intent:4;state:3
7,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,01,2,0,3,0,0,0,0,2858,3002,5287,4,2854,6,2852,0,acbba_entry:2852;collision_intent:4;state:2
7,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,02,345,0,202,144,0,0,0,2744,2836,5567,346,2398,691,2053,0,acbba_entry:2053;collision_intent:346;state:345
7,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,03,331,0,152,180,0,0,0,2777,2614,5755,337,2440,668,2109,0,acbba_entry:2109;collision_intent:337;state:331
8,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,00,240,0,68,173,0,0,0,2321,2526,4704,248,2073,488,1833,0,acbba_entry:1833;collision_intent:248;state:240
8,ACBBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,acbba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,01,258,0,113,146,0,0,0,2320,2716,4524,262,2058,520,1800,0,acbba_entry:1800;collision_intent:262;state:258
