trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,5);(28,1);(11,25);(20,24);(25,8);(3,5);(1,16);(23,30);(33,13);(24,22)",10,True,64.16608412036946,64.16608412036946,00:0;01:2;02:0;03:0;04:2;05:0;06:0;07:0;08:0;09:1;10:0;11:1;12:0;13:0;14:0;15:1;16:0;17:0;18:2;19:0;20:0;21:1;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(11,0);(20,5);(11,3);(8,4);(28,1);(12,7);(5,6);(7,10);(8,11);(33,13);(7,14);(9,16);(10,19);(6,19);(3,15);(24,22);(8,23);(4,21);(20,24);(8,27);(10,29);(23,30);(7,32);(7,33)",2657,0,completed
1,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(19,17);(14,6);(17,16);(16,15);(5,33);(11,30);(26,23);(24,33);(27,21);(19,32)",10,True,63.111801115914034,63.111801115914034,00:0;01:0;02:1;03:0;04:0;05:0;06:2;07:0;08:0;09:0;10:0;11:0;12:0;13:0;14:2;15:0;16:1;17:0;18:0;19:0;20:0;21:1;22:2;23:1,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(14,11);(4,1);(17,13);(5,12);(6,6);(4,8);(17,16);(11,10);(3,11);(7,13);(9,16);(5,16);(14,17);(6,19);(26,23);(11,22);(19,17);(5,24);(12,26);(7,27);(8,31);(12,30);(24,33);(6,33)",2624,0,completed
2,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(3,32);(26,0);(14,7);(19,20);(29,15);(24,23);(11,8);(21,32);(22,8);(10,12)",10,True,77.87446509427963,77.87446509427963,00:1;01:1;02:1;03:0;04:0;05:2;06:0;07:0;08:1;09:0;10:0;11:0;12:0;13:0;14:1;15:0;16:1;17:0;18:0;19:0;20:0;21:0;22:1;23:1,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(22,8);(26,0);(12,12);(12,4);(15,6);(17,7);(11,11);(30,9);(29,15);(8,13);(10,14);(24,17);(9,17);(9,19);(19,20);(10,22);(24,21);(8,24);(8,26);(12,27);(6,29);(15,30);(21,32);(11,32)",3200,0,completed
3,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,8);(19,29);(2,31);(11,10);(20,22);(32,21);(14,23);(9,2);(6,3);(3,22)",10,True,55.69516526697473,55.69516526697473,00:2;01:0;02:0;03:0;04:0;05:2;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:0;14:0;15:3;16:1;17:0;18:0;19:0;20:0;21:1;22:0;23:1,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(9,2);(4,1);(4,3);(3,4);(1,6);(18,8);(2,9);(2,10);(3,11);(3,13);(4,14);(3,16);(3,17);(4,19);(4,20);(32,21);(14,23);(4,24);(3,26);(3,27);(2,29);(19,29);(2,32);(2,31)",2465,0,completed
4,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(17,0);(33,1);(26,29);(15,17);(9,10);(17,18);(23,29);(13,30);(6,0);(29,29)",10,True,56.64684060535232,56.64684060535232,00:3;01:0;02:1;03:0;04:0;05:0;06:1;07:0;08:0;09:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:1;18:0;19:0;20:3;21:1;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(33,1);(12,2);(15,17);(7,4);(7,6);(7,7);(9,10);(7,10);(8,11);(9,13);(5,14);(7,16);(7,17);(23,24);(22,25);(5,22);(5,23);(17,18);(5,26);(7,27);(29,29);(13,30);(5,32);(6,33)",2311,0,completed
5,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,6);(4,2);(16,26);(9,17);(5,0);(19,7);(31,31);(15,20);(30,27);(22,11)",10,True,66.34342001875508,66.34342001875508,00:1;01:1;02:1;03:0;04:2;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:1;14:1;15:1;16:0;17:0;18:0;19:0;20:0;21:2;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(5,0);(4,2);(19,7);(5,4);(22,11);(3,7);(5,9);(3,10);(3,11);(4,13);(3,14);(4,16);(3,17);(9,17);(15,20);(16,26);(3,23);(5,24);(4,26);(4,27);(2,29);(30,27);(3,32);(3,33)",2907,0,completed
6,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,15);(1,18);(14,25);(6,19);(4,11);(20,18);(16,2);(23,22);(33,20);(23,9)",10,True,57.91064953639444,57.91064953639444,00:1;01:0;02:0;03:0;04:1;05:1;06:0;07:0;08:3;09:0;10:0;11:0;12:0;13:1;14:0;15:2;16:0;17:0;18:1;19:0;20:0;21:0;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(16,2);(9,1);(9,3);(5,8);(23,9);(1,18);(5,9);(5,10);(20,18);(4,13);(6,14);(6,16);(16,17);(9,19);(8,20);(33,20);(6,23);(5,24);(14,25);(4,27);(7,29);(5,30);(5,32);(6,33)",2427,0,completed
7,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(11,6);(22,28);(9,12);(33,20);(16,10);(15,3);(24,5);(9,8);(18,10);(4,26)",10,True,76.32688861192736,76.32688861192736,00:2;01:0;02:0;03:0;04:1;05:1;06:0;07:2;08:0;09:1;10:0;11:0;12:0;13:0;14:0;15:1;16:0;17:0;18:1;19:0;20:1;21:0;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(24,5);(13,1);(8,3);(12,4);(13,6);(9,8);(9,9);(18,10);(7,11);(9,11);(8,14);(8,16);(11,17);(8,19);(9,20);(33,20);(16,23);(7,24);(8,25);(11,25);(22,28);(8,30);(10,32);(6,33)",3258,0,completed
8,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(10,22);(29,12);(29,17);(17,15);(11,32);(24,29);(25,3);(5,8);(6,23);(18,30)",10,True,67.43085947612653,67.43085947612653,00:1;01:0;02:1;03:0;04:0;05:3;06:0;07:0;08:0;09:0;10:0;11:1;12:0;13:0;14:0;15:0;16:1;17:0;18:0;19:0;20:1;21:1;22:1;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(25,3);(25,1);(10,22);(6,4);(8,6);(29,17);(8,9);(8,10);(10,11);(9,13);(10,14);(17,15);(9,17);(10,19);(7,19);(8,22);(10,23);(7,24);(8,26);(6,27);(24,28);(18,28);(12,32);(6,33)",2793,0,completed
9,known_visit,ACBBA,ideal,1.0,34,1156,24,10,acbba_g34_d50_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,24);(6,0);(2,8);(22,15);(23,3);(22,26);(14,7);(29,27);(31,19);(17,25)",10,True,92.44122027999266,92.44122027999266,00:1;01:1;02:2;03:1;04:0;05:1;06:1;07:1;08:0;09:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:1;19:0;20:0;21:1;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(14,7);(9,0);(31,19);(17,25);(9,6);(2,10);(22,15);(18,24);(9,11);(5,10);(12,14);(7,16);(18,19);(7,18);(4,16);(4,19);(5,24);(20,22);(24,26);(5,25);(5,29);(29,27);(15,27);(5,30)",3913,0,completed
