trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,PI,ideal,1.0,19,361,5,10,pi_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(2,13);(13,1);(5,17);(8,3);(1,6);(12,13);(15,15);(10,3);(14,4);(17,0)",10,True,34.045068181812574,34.045068181812574,00:2;01:4;02:0;03:3;04:1,"(0,0);(0,4);(0,9);(0,14);(0,18)","(17,0);(14,4);(12,7);(15,15);(5,17)",243,0,completed
1,known_visit,PI,ideal,1.0,19,361,5,10,pi_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(11,9);(17,15);(15,3);(11,10);(11,14);(7,15);(0,17);(7,1);(5,0);(14,3)",10,True,37.78415463327834,37.78415463327834,00:4;01:0;02:2;03:1;04:3,"(0,0);(0,4);(0,9);(0,14);(0,18)","(15,3);(7,3);(11,9);(7,15);(17,15)",289,0,completed
2,known_visit,PI,ideal,1.0,19,361,5,10,pi_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(12,16);(18,6);(17,7);(6,13);(2,15);(12,0);(15,2);(4,14);(9,11);(5,3)",10,True,35.39034084947346,35.39034084947346,00:2;01:1;02:2;03:3;04:2,"(0,0);(0,4);(0,9);(0,14);(0,18)","(15,2);(8,1);(18,6);(12,16);(9,11)",250,0,completed
3,known_visit,PI,ideal,1.0,19,361,5,10,pi_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(1,13);(13,13);(12,3);(17,18);(16,3);(14,6);(7,15);(10,1);(13,15);(10,10)",10,True,38.58515560064751,38.58515560064751,00:3;01:1;02:1;03:2;04:3,"(0,0);(0,4);(0,9);(0,14);(0,18)","(16,3);(10,10);(14,6);(13,13);(17,18)",270,0,completed
4,known_visit,PI,ideal,1.0,19,361,5,10,pi_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(8,9);(4,2);(12,9);(14,3);(2,12);(12,1);(5,17);(6,1);(2,15);(8,16)",10,True,30.51809583644292,30.51809583644292,00:3;01:1;02:1;03:3;04:2,"(0,0);(0,4);(0,9);(0,14);(0,18)","(14,3);(4,1);(2,15);(12,9);(8,16)",225,0,completed
5,known_visit,PI,ideal,1.0,19,361,5,10,pi_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(11,3);(11,15);(17,18);(6,10);(11,6);(14,0);(14,2);(2,17);(3,13);(10,13)",10,True,54.39033446606449,54.39033446606449,00:2;01:1;02:1;03:3;04:3,"(0,0);(0,4);(0,9);(0,14);(0,18)","(11,6);(6,10);(3,13);(17,18);(14,0)",417,0,completed
6,known_visit,PI,ideal,1.0,19,361,5,10,pi_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(2,3);(9,7);(10,17);(18,9);(11,7);(17,18);(12,8);(4,16);(16,1);(13,15)",10,True,42.50013405742184,42.50013405742184,00:1;01:3;02:2;03:3;04:1,"(0,0);(0,4);(0,9);(0,14);(0,18)","(16,1);(11,7);(18,9);(17,18);(10,17)",311,0,completed
7,known_visit,PI,ideal,1.0,19,361,5,10,pi_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(4,0);(9,6);(12,13);(13,18);(0,1);(2,12);(14,3);(4,2);(9,13);(8,16)",10,True,39.29520786665139,39.29520786665139,00:2;01:3;02:1;03:3;04:1,"(0,0);(0,4);(0,9);(0,14);(0,18)","(4,0);(14,3);(2,12);(13,18);(8,16)",317,0,completed
8,known_visit,PI,ideal,1.0,19,361,5,10,pi_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(6,14);(17,0);(15,18);(5,4);(6,9);(8,0);(5,7);(2,4);(10,8);(7,0)",10,True,27.464785403505687,27.464785403505687,00:3;01:3;02:2;03:1;04:1,"(0,0);(0,4);(0,9);(0,14);(0,18)","(17,0);(5,7);(10,8);(6,14);(15,18)",202,0,completed
9,known_visit,PI,ideal,1.0,19,361,5,10,pi_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(15,15);(12,3);(3,11);(13,3);(17,3);(3,0);(11,15);(7,4);(12,0);(15,11)",10,True,41.43926466141841,41.43926466141841,00:4;01:2;02:1;03:2;04:1,"(0,0);(0,4);(0,9);(0,14);(0,18)","(17,3);(12,3);(3,11);(15,15);(11,15)",318,0,completed
