target_count,algorithm,selection_metric,candidate_set,candidate_horizons,horizon,eligible,mean_response,standard_error,selected_horizon,selected,paired_trial_n,normalization,analysis_scope
5,ACBBA,max_robot_steps,all_horizons,1;2;3;5;8;12,1,1,20.5,0.620483682299543,1,1,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,ACBBA,max_robot_steps,all_horizons,1;2;3;5;8;12,2,1,22.48,0.843346508460984,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,ACBBA,max_robot_steps,all_horizons,1;2;3;5;8;12,3,1,23.76,0.908350152749478,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,ACBBA,max_robot_steps,all_horizons,1;2;3;5;8;12,5,1,23.96,0.807217442824423,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,ACBBA,max_robot_steps,all_horizons,1;2;3;5;8;12,8,1,23.96,0.807217442824423,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,ACBBA,max_robot_steps,all_horizons,1;2;3;5;8;12,12,1,23.96,0.807217442824423,1,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,ACBBA,max_robot_steps,exclude_horizon_1,2;3;5;8;12,1,0,20.5,0.620483682299543,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,ACBBA,max_robot_steps,exclude_horizon_1,2;3;5;8;12,2,1,22.48,0.843346508460984,2,1,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,ACBBA,max_robot_steps,exclude_horizon_1,2;3;5;8;12,3,1,23.76,0.908350152749478,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,ACBBA,max_robot_steps,exclude_horizon_1,2;3;5;8;12,5,1,23.96,0.807217442824423,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,ACBBA,max_robot_steps,exclude_horizon_1,2;3;5;8;12,8,1,23.96,0.807217442824423,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,ACBBA,max_robot_steps,exclude_horizon_1,2;3;5;8;12,12,1,23.96,0.807217442824423,2,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,ACBBA,total_team_steps,all_horizons,1;2;3;5;8;12,1,1,64.34,2.41880135604394,5,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,ACBBA,total_team_steps,all_horizons,1;2;3;5;8;12,2,1,57.18,2.54572844846683,5,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,ACBBA,total_team_steps,all_horizons,1;2;3;5;8;12,3,1,57.3,2.4271038983392,5,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,ACBBA,total_team_steps,all_horizons,1;2;3;5;8;12,5,1,55.28,2.23029893362601,5,1,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
5,ACBBA,total_team_steps,all_horizons,1;2;3;5;8;12,8,1,55.28,2.23029893362601,5,0,25,equal-weight ideal/Bernoulli mean within each paired trial,pilot/exploratory; selected on the same 25 paired scenarios summarized here
