transfer_row_id,target_count,algorithm,comm_label,effort_selected_horizon,makespan_selected_horizon,metric,metric_display,paired_n,effort_selected_mean,makespan_selected_mean,mean_paired_difference_effort_minus_makespan,median_paired_difference_effort_minus_makespan,percent_change_effort_vs_makespan,makespan_penalty_pct,paired_bootstrap_difference_ci95_lower,paired_bootstrap_difference_ci95_upper,paired_bootstrap_percent_change_ci95_lower,paired_bootstrap_percent_change_ci95_upper,wilcoxon_raw_p_value,holm_p_value,rank_biserial_effort_minus_makespan,scope
17,5,ACBBA,bernoulli_025,5,1,active_robot_count,Active robots completing at least one target,25,3.16,2.92,0.24,0,8.21917808219179,NaN,0,0.48,0,17.910447761194,0.14599609375,0.43798828125,0.5,pilot/exploratory paired effort-selected minus makespan-selected contrast
20,5,ACBBA,bernoulli_025,5,1,allocation_messages,Allocation messages,25,124.92,65.56,59.36,53,90.5430140329469,NaN,49.76,68.76,74.984223939954,106.430723188213,1.38234738241168e-05,6.11181142129283e-05,0.993846153846154,pilot/exploratory paired effort-selected minus makespan-selected contrast
22,5,ACBBA,bernoulli_025,5,1,allocator_time_ms,Allocator computation time (ms),25,31.62806,16.911528,14.716532,6.9582,87.0207115524984,NaN,7.752678,21.8717876,38.3412910452563,152.375672321694,0.000194074490070202,0.000582223470210605,0.852307692307692,pilot/exploratory paired effort-selected minus makespan-selected contrast
14,5,ACBBA,bernoulli_025,5,1,final_completion_time,Final simulated mission-completion time (s),25,40.6117527600418,35.156262775236,5.45548998480581,3.24338438943308,15.5178325400635,NaN,1.56446710130766,9.18330387094208,4.20521441977613,26.8349852212784,0.0138171436831923,0.0414514310495768,0.563076923076923,pilot/exploratory paired effort-selected minus makespan-selected contrast
19,5,ACBBA,bernoulli_025,5,1,max_individual_steps,Maximum individual movement workload (steps),25,22.76,21,1.76,0,8.38095238095238,NaN,-0.08,3.6,-0.354625675522462,17.6127633672787,0.0393499697397165,0.11804990921915,0.562091503267974,pilot/exploratory paired effort-selected minus makespan-selected contrast
13,5,ACBBA,bernoulli_025,5,1,max_robot_steps,Makespan (maximum robot steps),25,22.76,21,1.76,0,8.38095238095238,8.38095238095238,-0.08,3.56099999999999,-0.362318840579701,17.4083414399649,0.0393499697397165,0.11804990921915,0.562091503267974,pilot/exploratory paired effort-selected minus makespan-selected contrast
18,5,ACBBA,bernoulli_025,5,1,max_target_workload,Maximum target workload on one robot,25,2.44,2.56,-0.12,0,-4.6875,NaN,-0.44,0.16,-15.4929577464789,6.89655172413794,0.61328125,1,-0.230769230769231,pilot/exploratory paired effort-selected minus makespan-selected contrast
16,5,ACBBA,bernoulli_025,5,1,movement_workload_gini,Movement-workload Gini,25,0.164336327045319,0.118629633287878,0.0457066937574417,0.0303171641791045,38.5289008240678,NaN,0.0169694636744922,0.0753331835012185,13.0090820047523,75.4623777152726,0.0128142844891646,0.0384428534674937,0.569230769230769,pilot/exploratory paired effort-selected minus makespan-selected contrast
15,5,ACBBA,bernoulli_025,5,1,target_workload_gini,Target-workload Gini,25,0.358,0.398,-0.04,0,-10.0502512562814,NaN,-0.104,0.024,-23.9631336405529,6.55776187177716,0.224901298477505,0.674703895432516,-0.333333333333333,pilot/exploratory paired effort-selected minus makespan-selected contrast
21,5,ACBBA,bernoulli_025,5,1,total_messages,Total messages,25,265.8,212.56,53.24,53,25.0470455400828,NaN,39.359,67.641,18.2548309229156,32.1974981180684,3.21757543690261e-05,0.00016087877184513,0.950769230769231,pilot/exploratory paired effort-selected minus makespan-selected contrast
12,5,ACBBA,bernoulli_025,5,1,total_team_steps,Total team steps,25,65.88,69.84,-3.96,-1,-5.67010309278352,NaN,-9.32,1.2,-12.9449017365654,1.7816297280583,0.11915363876561,0.357460916296829,-0.363333333333333,pilot/exploratory paired effort-selected minus makespan-selected contrast
6,5,ACBBA,ideal,5,1,active_robot_count,Active robots completing at least one target,25,2.68,3,-0.32,0,-10.6666666666667,NaN,-0.68,0.04,-22.0779220779221,1.29870129870131,0.0867032187778402,0.260109656333521,-0.448529411764706,pilot/exploratory paired effort-selected minus makespan-selected contrast
9,5,ACBBA,ideal,5,1,allocation_messages,Allocation messages,25,105.12,71.8,33.32,27,46.4066852367688,NaN,16.8,50.921,22.5584774282263,73.1692615291595,0.00188249583106882,0.00752998332427528,0.710769230769231,pilot/exploratory paired effort-selected minus makespan-selected contrast
11,5,ACBBA,ideal,5,1,allocator_time_ms,Allocator computation time (ms),25,57.8666,21.978712,35.887888,31.7519,163.284763911552,NaN,26.4350977,46.1315424,109.802783683216,236.263911237608,1.22903222102484e-05,6.14516110512422e-05,1,pilot/exploratory paired effort-selected minus makespan-selected contrast
3,5,ACBBA,ideal,5,1,final_completion_time,Final simulated mission-completion time (s),25,44.9770137795868,33.2873478791454,11.6896659004415,10.1730891750328,35.1174444503134,NaN,7.58591419206378,15.7727010404418,22.9108849108917,47.6770532756992,6.4509802708292e-05,0.000193529408124876,0.913846153846154,pilot/exploratory paired effort-selected minus makespan-selected contrast
8,5,ACBBA,ideal,5,1,max_individual_steps,Maximum individual movement workload (steps),25,25.16,20,5.16,5,25.8,NaN,3.12,7.28,15.5066082378965,36.6459930018282,0.000293676180502743,0.000881028541508229,0.9004329004329,pilot/exploratory paired effort-selected minus makespan-selected contrast
2,5,ACBBA,ideal,5,1,max_robot_steps,Makespan (maximum robot steps),25,25.16,20,5.16,5,25.8,25.8,3.08,7.28,15.3996153846154,36.7018725015779,0.000293676180502743,0.000881028541508229,0.9004329004329,pilot/exploratory paired effort-selected minus makespan-selected contrast
7,5,ACBBA,ideal,5,1,max_target_workload,Maximum target workload on one robot,25,3.04,2.44,0.6,0,24.5901639344262,NaN,0.16,1.04,6.34920634920635,44.8275862068966,0.0179871736284765,0.0654296875,0.647058823529412,pilot/exploratory paired effort-selected minus makespan-selected contrast
