target_count,comm_label,tuning_objective,ranking_metric,algorithm,selected_horizon,ranking_metric_mean,rank,mean_total_team_steps,mean_makespan,rank_rule,scope
5,bernoulli_025,effort_selected,total_team_steps,HIPC,5,37.76,1,37.76,27.96,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
5,bernoulli_025,effort_selected,total_team_steps,DGA,1,46.28,2,46.28,18.32,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
5,bernoulli_025,effort_selected,total_team_steps,DMCHBA,1,61.56,3,61.56,19.24,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
5,bernoulli_025,effort_selected,total_team_steps,PI,3,64.64,4,64.64,26.92,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
5,bernoulli_025,effort_selected,total_team_steps,ACBBA,5,65.88,5,65.88,22.76,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
5,bernoulli_025,makespan_selected,max_robot_steps,DGA,1,18.32,1,46.28,18.32,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
5,bernoulli_025,makespan_selected,max_robot_steps,DMCHBA,5,19.32,2,62,19.32,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
5,bernoulli_025,makespan_selected,max_robot_steps,HIPC,1,20.2,3,57,20.2,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
5,bernoulli_025,makespan_selected,max_robot_steps,ACBBA,1,21,4,69.84,21,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
5,bernoulli_025,makespan_selected,max_robot_steps,PI,1,21.4,5,75.56,21.4,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
5,ideal,effort_selected,total_team_steps,HIPC,5,33.72,1,33.72,28.52,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
5,ideal,effort_selected,total_team_steps,PI,3,43.12,2,43.12,26.36,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
5,ideal,effort_selected,total_team_steps,DGA,1,43.56,3,43.56,17.92,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
5,ideal,effort_selected,total_team_steps,ACBBA,5,44.68,4,44.68,25.16,lower mean response receives rank 1,pilot/exploratory ranking under within-algorithm selected horizons
