trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
0,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,7,21,"(6,8);(16,11);(7,28);(10,19)",11,7,28,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(8,2);01:(7,10);02:(7,12);03:(6,16);04:(5,19);05:(5,20);06:(5,24);07:(5,25);08:(7,21);09:(9,27);10:(9,28);11:(6,32);12:(7,27);13:(4,29)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:1;12:1;13:0,08,completed
1,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,2,25,"(23,16);(10,8);(12,24);(12,30)",12,12,30,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(12,9);01:(7,7);02:(5,8);03:(11,16);04:(13,11);05:(13,18);06:(9,26);07:(11,17);08:(15,23);09:(2,25);10:(12,21);11:(7,24);12:(6,27);13:(14,27)",00:0;01:0;02:1;03:0;04:0;05:0;06:0;07:0;08:1;09:1;10:0;11:0;12:1;13:0,09,completed
2,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,8,12,"(7,9);(28,30);(10,9);(10,14)",03,7,9,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(7,6);01:(7,8);02:(8,9);03:(6,12);04:(4,10);05:(8,12);06:(7,13);07:(7,16);08:(7,17);09:(6,21);10:(6,20);11:(5,25);12:(9,27);13:(5,28)",00:0;01:0;02:1;03:1;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:0,05,completed
3,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,22,31,"(13,29);(29,24);(26,25);(26,31)",09,29,24,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(21,19);01:(26,18);02:(22,27);03:(19,28);04:(26,8);05:(25,15);06:(21,33);07:(29,31);08:(18,22);09:(22,31);10:(17,27);11:(21,31);12:(26,32);13:(26,17)",00:0;01:0;02:0;03:1;04:0;05:1;06:0;07:0;08:0;09:2;10:1;11:1;12:0;13:1,09,completed
4,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,24,4,"(13,0);(7,9);(23,3);(22,4)",03,7,9,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(17,0);01:(23,8);02:(20,5);03:(24,9);04:(15,22);05:(20,11);06:(21,8);07:(21,5);08:(23,11);09:(24,4);10:(9,25);11:(19,3);12:(6,33);13:(7,5)",00:0;01:0;02:0;03:1;04:0;05:0;06:1;07:1;08:0;09:2;10:0;11:0;12:0;13:1,09,completed
5,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,24,5,"(22,31);(25,6);(22,19);(29,3)",02,25,6,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(23,1);01:(24,5);02:(23,7);03:(27,6);04:(27,10);05:(22,14);06:(24,13);07:(24,14);08:(22,19);09:(25,18);10:(27,27);11:(23,26);12:(21,29);13:(21,31)",00:0;01:0;02:1;03:0;04:0;05:0;06:0;07:0;08:1;09:0;10:0;11:0;12:0;13:1,01,completed
6,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,1,24,"(4,14);(5,22);(3,24);(20,8)",,,,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(2,0);01:(2,3);02:(1,5);03:(1,8);04:(1,10);05:(2,13);06:(1,16);07:(1,18);08:(1,20);09:(1,24);10:(1,26);11:(2,28);12:(2,30);13:(0,32)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:0,09,completed
7,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,29,17,"(31,3);(12,10);(10,28);(18,1)",11,10,28,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(28,28);01:(28,19);02:(1,27);03:(29,28);04:(8,6);05:(30,13);06:(29,6);07:(31,0);08:(29,17);09:(6,20);10:(21,22);11:(30,17);12:(33,3);13:(10,1)",00:0;01:0;02:1;03:1;04:1;05:1;06:1;07:1;08:1;09:0;10:0;11:1;12:2;13:0,08,completed
8,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,4,32,"(16,7);(1,25);(6,22);(5,23)",10,1,25,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(7,21);01:(5,3);02:(10,17);03:(10,20);04:(8,19);05:(8,21);06:(6,19);07:(4,32);08:(7,30);09:(4,20);10:(10,19);11:(12,26);12:(11,26);13:(11,19)",00:1;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:3;10:2;11:0;12:1;13:0,07,completed
9,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,27,24,"(26,19);(27,27);(30,10);(12,27)",,,,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(28,0);01:(28,3);02:(27,6);03:(27,9);04:(26,12);05:(26,15);06:(25,18);07:(26,20);08:(26,22);09:(27,24);10:(27,26);11:(28,28);12:(28,30);13:(27,32)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:0,09,completed
