trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
0,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,191,86,105,181,24,3,13,7,558,6112,1129,208,350,413,145,386,145,0.24851419766674004,3.0828729281767955,3.676190476190476,0.7591623036649214,1.380952380952381,0.8011049723756906,clue:14;collision_intent:207;pi_clear_path:1;pi_entry:144;state:191;target:1,14,44,0.0840568271507498,completed
1,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,365,157,208,311,68,1,12,5,1051,11542,2100,383,668,790,261,736,261,0.24204702627939143,3.379421221864952,3.5384615384615383,0.7150684931506849,1.2548076923076923,0.8392282958199357,clue:42;collision_intent:382;pi_entry:261;state:365;target:1,28,81,0.07096922370234271,completed
2,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,195,105,90,188,21,1,11,4,544,5972,1086,211,333,420,124,332,124,0.2513307104836843,2.893617021276596,3.688888888888889,0.6358974358974359,1.3777777777777778,0.6595744680851063,clue:14;collision_intent:210;pi_clear_path:2;pi_entry:122;state:195;target:1,15,42,0.06306990881458963,completed
3,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,979,420,559,688,305,5,43,29,2643,29083,5271,1033,1610,2054,589,1803,589,0.25186353211009177,3.8415697674418605,3.225402504472272,0.6016343207354443,1.0536672629695885,0.8561046511627907,clue:42;collision_intent:1032;pi_clear_path:2;pi_entry:587;state:979;target:1,72,210,0.08824750830564798,completed
4,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,1337,110,1227,597,754,6,120,62,4025,43881,8431,1478,2547,2871,1154,3804,1154,0.2546745204651865,6.742043551088777,3.100244498777506,0.8631264023934181,0.9405052974735126,1.932998324958124,clue:56;collision_intent:1477;pi_clear_path:3;pi_entry:1151;state:1337;target:1,99,310,0.12646566164154116,completed
5,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,440,359,81,445,9,2,0,0,1041,11575,1945,443,598,925,116,320,116,0.2503217503217503,2.339325842696629,3.950617283950617,0.2636363636363636,1.4320987654320987,0.2606741573033708,clue:42;collision_intent:442;pi_entry:116;state:440;target:1,32,77,0.021348314606741692,completed
6,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,22,22,0,36,0,0,0,0,50,582,56,28,22,50,0,0,0,0.2007168458781362,1.3888888888888888,0.0,0.0,0.0,0.0,collision_intent:27;state:22;target:1,2,5,0.09523809523809534,completed
7,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,2899,128,2771,1034,1879,6,120,77,8284,90692,16988,3029,5255,5984,2300,8026,2300,0.24869707794109036,8.011605415860735,2.8964272825694697,0.793377026560883,0.8300252616383977,2.2243713733075436,clue:56;collision_intent:3028;pi_clear_path:5;pi_entry:2295;state:2899;target:1,211,626,0.21207515888366957,completed
8,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,526,13,513,303,237,5,60,33,1691,18474,3494,596,1095,1164,527,1664,527,0.24558937232023617,5.580858085808581,3.2436647173489277,1.0019011406844107,1.02729044834308,1.7392739273927393,clue:42;collision_intent:595;pi_clear_path:4;pi_entry:523;state:526;target:1,40,138,0.162894860914663,completed
9,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,14,85.0,82.571429,pi_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,392,392,0,405,1,0,0,0,785,8869,1324,393,392,785,0,0,0,0.2601178781925344,1.9382716049382716,0.0,0.0,0.0,0.0,collision_intent:392;state:392;target:1,28,57,0.0022927689594356426,completed
