trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status,failure_type,failure_message
0,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(6,15);01:(18,12);02:(12,8);03:(2,9)",00:0;01:0;02:0;03:0,,completed,,
1,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(12,3);01:(10,11);02:(13,15);03:(5,13)",00:0;01:0;02:0;03:0,,completed,,
2,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,,failed,RuntimeError,Debug safety cap reached in trial 2. This usually means the allocator is stuck or returning no reachable goals.
3,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,18);01:(14,4);02:(10,11);03:(6,6)",00:0;01:0;02:0;03:0,,completed,,
4,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,18);01:(12,1);02:(16,13);03:(5,18)",00:0;01:0;02:0;03:0,,completed,,
5,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(13,10);01:(18,6);02:(3,8);03:(13,11)",00:0;01:0;02:0;03:0,,completed,,
6,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(4,3);01:(6,8);02:(17,7);03:(14,2)",00:0;01:0;02:0;03:0,,completed,,
7,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(1,13);01:(7,5);02:(1,7);03:(4,2)",00:0;01:0;02:0;03:0,,completed,,
8,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(8,0);01:(16,9);02:(17,18);03:(15,3)",00:0;01:0;02:0;03:0,,completed,,
9,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,,failed,RuntimeError,Debug safety cap reached in trial 9. This usually means the allocator is stuck or returning no reachable goals.
10,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(2,14);01:(1,16);02:(17,5);03:(4,13)",00:0;01:0;02:0;03:0,,completed,,
11,DMCHBA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,dmchba_gilbert_elliott_drop_0_70_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(12,11);01:(12,10);02:(13,12);03:(6,7)",00:0;01:0;02:0;03:0,,completed,,
