trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(11,7);(17,15);(14,5);(8,0);(14,15);(7,5);(2,6);(3,8);(12,12);(16,5);(10,14);(3,18);(10,12);(5,18);(13,14);(4,11);(12,18);(1,14);(15,10);(11,10)",20,True,82.91371925155688,82.91371925155688,00:10;01:3;02:1;03:6,"(0,0);(0,6);(0,12);(0,18)","(16,5);(4,11);(1,14);(17,15)",563,0,completed
1,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(10,3);(7,11);(0,1);(9,4);(0,3);(3,5);(1,17);(3,17);(12,8);(15,13);(5,5);(18,7);(2,12);(1,3);(8,10);(4,1);(4,10);(16,15);(2,7);(10,2)",20,True,64.09858211002826,64.09858211002826,00:4;01:6;02:8;03:2,"(0,0);(0,6);(0,12);(0,18)","(4,1);(10,2);(16,15);(3,17)",436,0,completed
2,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(8,17);(9,7);(13,2);(17,3);(16,16);(10,9);(9,6);(17,15);(6,12);(17,0);(1,17);(7,10);(13,18);(11,15);(0,1);(3,17);(3,0);(13,13);(15,18);(0,2)",20,True,61.22212696882651,61.22212696882651,00:3;01:0;02:8;03:9,"(0,0);(0,6);(0,12);(0,18)","(3,0);(2,6);(17,0);(17,15)",400,0,completed
3,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(12,12);(17,11);(2,6);(9,13);(2,17);(6,11);(17,3);(5,8);(14,10);(16,4);(8,15);(18,8);(9,8);(6,10);(10,16);(10,8);(12,0);(6,6);(1,18);(3,12)",20,True,86.90542477950797,86.90542477950797,00:10;01:7;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(10,16);(10,8);(3,12);(2,17)",602,0,completed
4,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(10,14);(3,1);(12,5);(12,17);(17,8);(8,7);(17,13);(4,6);(5,18);(10,10);(2,2);(8,1);(2,13);(7,8);(4,17);(2,12);(5,4);(11,12);(11,2);(13,9)",20,True,93.02260576997531,93.02260576997531,00:12;01:4;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(17,8);(8,7);(2,13);(5,18)",650,0,completed
5,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(11,10);(3,13);(17,2);(10,12);(7,0);(1,9);(9,9);(5,1);(12,13);(16,10);(17,5);(18,6);(11,11);(8,9);(12,2);(8,3);(13,16);(1,12);(8,12);(4,5)",20,True,79.6956908774426,79.6956908774426,00:10;01:2;02:8;03:0,"(0,0);(0,6);(0,12);(0,18)","(13,16);(4,5);(8,9);(7,18)",537,0,completed
6,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(2,9);(9,11);(17,12);(16,3);(18,4);(12,18);(11,8);(14,6);(13,10);(4,8);(10,16);(10,18);(12,3);(6,11);(5,0);(2,6);(15,1);(13,3);(13,7);(11,6)",20,True,76.97544057421997,76.97544057421997,00:10;01:7;02:0;03:3,"(0,0);(0,6);(0,12);(0,18)","(18,4);(17,12);(1,12);(12,18)",509,0,completed
7,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(4,7);(11,12);(14,18);(4,5);(9,6);(16,18);(4,17);(5,1);(17,17);(17,3);(11,9);(6,2);(3,12);(13,18);(9,16);(14,3);(0,15);(8,14);(18,5);(13,11)",20,True,75.3039694094421,75.3039694094421,00:5;01:10;02:4;03:1,"(0,0);(0,6);(0,12);(0,18)","(18,5);(17,17);(8,14);(0,15)",491,0,completed
8,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(16,2);(8,3);(18,12);(6,1);(17,14);(4,18);(10,17);(4,6);(7,18);(15,9);(4,1);(5,18);(12,13);(0,9);(2,7);(0,4);(4,5);(15,3);(6,6);(9,5)",20,True,68.84780621071819,68.84780621071819,00:8;01:1;02:1;03:10,"(0,0);(0,6);(0,12);(0,18)","(2,7);(1,3);(0,9);(16,2)",463,0,completed
9,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(0,3);(12,1);(6,13);(4,16);(5,4);(10,1);(2,0);(14,17);(12,14);(17,2);(9,15);(8,10);(2,16);(12,12);(7,10);(16,12);(14,2);(4,9);(9,12);(14,7)",20,True,78.96134068195624,78.96134068195624,00:6;01:1;02:3;03:10,"(0,0);(0,6);(0,12);(0,18)","(17,2);(0,3);(8,10);(14,7)",526,0,completed
10,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(4,8);(2,6);(12,8);(14,13);(16,9);(18,9);(10,0);(8,13);(2,7);(18,4);(1,9);(10,13);(1,6);(12,12);(6,17);(5,6);(13,11);(18,5);(5,0);(10,14)",20,True,63.17130609367315,63.17130609367315,00:2;01:11;02:0;03:7,"(0,0);(0,6);(0,12);(0,18)","(10,0);(18,4);(1,12);(14,13)",416,0,completed
11,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(16,16);(4,17);(8,8);(13,1);(7,6);(13,5);(12,18);(10,6);(15,7);(11,12);(6,7);(18,18);(6,11);(15,8);(15,14);(3,10);(1,12);(3,12);(3,8);(7,16)",20,True,64.51954091892112,64.51954091892112,00:0;01:9;02:9;03:2,"(0,0);(0,6);(0,12);(0,18)","(4,0);(15,8);(12,18);(7,16)",417,0,completed
12,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h8_ideal,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t20_n25.csv,"(16,8);(15,17);(10,10);(18,13);(4,16);(5,7);(13,3);(9,3);(3,6);(4,9);(16,15);(1,8);(9,13);(11,3);(1,12);(5,18);(15,2);(17,4);(14,18);(8,1)",20,True,85.21801671292992,85.21801671292992,00:11;01:6;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(18,13);(9,13);(1,12);(4,16)",580,0,completed
