trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,benchmark_suite,num_targets,num_robots,commitment_horizon
243,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,03,0,0,0,1,0,0,0,0,0,1,1,0,145,8,known_visit_core_500,10,4,8
244,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,00,19,2,1,11,9,0,0,0,0,47,41,6,119,10,known_visit_core_500,10,4,8
244,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,01,40,7,0,41,0,0,0,0,0,109,81,28,62,6,known_visit_core_500,10,4,8
244,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,02,0,0,0,1,0,0,0,0,0,1,1,0,163,12,known_visit_core_500,10,4,8
244,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,03,4,1,0,5,0,0,0,0,0,20,10,10,143,13,known_visit_core_500,10,4,8
245,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,00,29,5,0,30,0,0,0,0,0,84,59,25,70,2,known_visit_core_500,10,4,8
245,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,01,26,5,0,27,0,1,0,0,0,70,54,16,81,4,known_visit_core_500,10,4,8
245,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,02,0,0,0,1,0,0,0,0,0,1,1,0,145,9,known_visit_core_500,10,4,8
245,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,03,0,0,0,1,0,0,0,0,0,1,1,0,146,8,known_visit_core_500,10,4,8
246,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,00,0,0,0,1,0,0,0,0,0,1,1,0,168,14,known_visit_core_500,10,4,8
246,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,01,9,0,2,8,2,0,0,0,0,24,20,4,146,13,known_visit_core_500,10,4,8
246,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,02,28,6,0,29,0,0,0,0,0,79,57,22,97,7,known_visit_core_500,10,4,8
246,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,03,29,4,0,29,1,2,0,0,0,80,59,21,96,8,known_visit_core_500,10,4,8
247,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,00,27,5,0,28,0,0,0,0,0,70,55,15,78,7,known_visit_core_500,10,4,8
247,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,01,10,0,1,10,1,0,0,0,0,24,22,2,120,10,known_visit_core_500,10,4,8
247,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,02,21,5,0,22,0,0,0,0,0,60,44,16,92,2,known_visit_core_500,10,4,8
247,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,03,0,0,0,1,0,0,0,0,0,1,1,0,146,7,known_visit_core_500,10,4,8
248,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,00,39,6,0,40,0,0,0,0,0,100,79,21,54,4,known_visit_core_500,10,4,8
248,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,01,3,1,0,4,0,0,0,0,0,10,8,2,135,13,known_visit_core_500,10,4,8
248,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,02,12,3,0,13,0,0,0,0,0,38,26,12,112,7,known_visit_core_500,10,4,8
248,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,03,1,0,0,2,0,0,0,0,0,10,4,6,137,11,known_visit_core_500,10,4,8
249,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,00,14,1,1,11,4,0,0,0,0,43,31,12,103,5,known_visit_core_500,10,4,8
249,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,01,26,6,0,27,0,0,0,0,0,75,53,22,76,1,known_visit_core_500,10,4,8
249,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,02,0,0,0,1,0,0,0,0,0,1,1,0,145,5,known_visit_core_500,10,4,8
249,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,03,12,3,0,13,0,0,0,0,0,33,26,7,108,10,known_visit_core_500,10,4,8
250,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,00,7,2,0,8,0,0,0,0,0,20,16,4,109,7,known_visit_core_500,10,4,8
250,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,01,6,2,0,7,0,0,0,0,0,18,14,4,109,9,known_visit_core_500,10,4,8
250,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,02,0,0,0,1,0,0,0,0,0,1,1,0,125,10,known_visit_core_500,10,4,8
250,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,03,38,6,0,39,0,0,0,0,0,98,77,21,33,6,known_visit_core_500,10,4,8
251,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,00,23,4,0,24,0,0,0,0,0,64,48,16,91,9,known_visit_core_500,10,4,8
251,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,01,4,1,0,5,0,0,0,0,0,12,10,2,141,11,known_visit_core_500,10,4,8
251,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,02,28,5,0,29,0,1,0,0,0,83,57,26,76,6,known_visit_core_500,10,4,8
251,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,03,1,0,0,2,0,0,0,0,0,6,4,2,155,4,known_visit_core_500,10,4,8
252,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,00,8,1,0,9,0,0,0,0,0,22,18,4,130,10,known_visit_core_500,10,4,8
252,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,01,34,7,0,35,0,0,0,0,0,112,69,43,48,2,known_visit_core_500,10,4,8
252,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,02,4,1,0,5,0,0,0,0,0,12,10,2,142,7,known_visit_core_500,10,4,8
252,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,03,2,1,0,3,0,0,0,0,0,16,6,10,135,10,known_visit_core_500,10,4,8
253,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,00,41,7,0,42,0,0,0,0,0,116,83,33,33,3,known_visit_core_500,10,4,8
253,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,01,4,1,0,5,0,0,0,0,0,20,10,10,127,5,known_visit_core_500,10,4,8
253,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,02,5,2,0,6,0,0,0,0,0,15,12,3,126,10,known_visit_core_500,10,4,8
253,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,03,0,0,0,1,0,0,0,0,0,1,1,0,144,6,known_visit_core_500,10,4,8
254,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,00,7,3,0,8,0,0,0,0,0,23,16,7,138,8,known_visit_core_500,10,4,8
254,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,01,1,1,0,2,0,0,0,0,0,6,4,2,148,15,known_visit_core_500,10,4,8
254,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,02,38,6,0,39,0,0,0,0,0,97,77,20,61,12,known_visit_core_500,10,4,8
254,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,03,12,0,0,13,0,0,0,0,0,44,26,18,115,10,known_visit_core_500,10,4,8
255,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,00,23,4,0,24,0,0,0,0,0,59,48,11,118,19,known_visit_core_500,10,4,8
255,known_visit,HIPC,bernoulli,0.1,19,361,4,10,hipc_bernoulli_drop_0_1,known_visit_g19_t10_n500.csv,01,6,1,0,7,0,0,0,0,0,16,14,2,165,14,known_visit_core_500,10,4,8
