trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status,failure_type,failure_message
0,known_visit,HIPC,bernoulli,drop_0.25,34,1156,14,10,hipc_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,5);(28,1);(11,25);(20,24);(25,8);(3,5);(1,16);(23,30);(33,13);(24,22)",10,True,64.09734599736419,64.09734599736419,00:0;01:0;02:4;03:0;04:0;05:1;06:1;07:0;08:0;09:0;10:3;11:0;12:1;13:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(16,0);(1,3);(28,1);(4,8);(0,10);(33,13);(1,16);(0,18);(11,21);(0,23);(24,22);(0,28);(24,26);(0,33)",1583,0,completed,,
1,known_visit,HIPC,bernoulli,drop_0.25,34,1156,14,10,hipc_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(19,17);(14,6);(17,16);(16,15);(5,33);(11,30);(26,23);(24,33);(27,21);(19,32)",10,True,52.74815579987529,52.74815579987529,00:0;01:0;02:1;03:0;04:0;05:0;06:3;07:0;08:2;09:0;10:0;11:0;12:1;13:3,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(0,0);(0,3);(14,6);(1,8);(1,10);(0,13);(19,17);(16,15);(26,23);(1,23);(0,25);(1,28);(18,30);(24,33)",1301,0,completed,,
2,known_visit,HIPC,bernoulli,drop_0.25,34,1156,14,10,hipc_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(3,32);(26,0);(14,7);(19,20);(29,15);(24,23);(11,8);(21,32);(22,8);(10,12)",10,True,67.54084521180992,67.54084521180992,00:1;01:0;02:0;03:3;04:0;05:1;06:0;07:0;08:3;09:0;10:0;11:0;12:0;13:2,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(26,0);(0,3);(0,5);(22,8);(0,10);(11,8);(0,15);(1,18);(29,15);(4,23);(3,26);(0,28);(0,30);(24,29)",1694,0,completed,,
3,known_visit,HIPC,bernoulli,drop_0.25,34,1156,14,10,hipc_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,8);(19,29);(2,31);(11,10);(20,22);(32,21);(14,23);(9,2);(6,3);(3,22)",10,True,61.77162549860224,61.77162549860224,00:0;01:2;02:0;03:0;04:2;05:0;06:0;07:0;08:0;09:4;10:0;11:0;12:2;13:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(0,0);(9,2);(1,5);(0,8);(18,8);(0,13);(1,15);(0,18);(3,21);(32,21);(0,25);(0,28);(19,23);(1,33)",1601,0,completed,,
4,known_visit,HIPC,bernoulli,drop_0.25,34,1156,14,10,hipc_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(17,0);(33,1);(26,29);(15,17);(9,10);(17,18);(23,29);(13,30);(6,0);(29,29)",10,True,56.454314691633265,56.454314691633265,00:3;01:0;02:0;03:0;04:1;05:0;06:0;07:2;08:0;09:0;10:0;11:0;12:4;13:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(33,1);(6,0);(0,5);(0,8);(9,10);(1,13);(0,15);(17,30);(0,20);(1,23);(1,25);(23,29);(29,29);(1,33)",1391,0,completed,,
5,known_visit,HIPC,bernoulli,drop_0.25,34,1156,14,10,hipc_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,6);(4,2);(16,26);(9,17);(5,0);(19,7);(31,31);(15,20);(30,27);(22,11)",10,True,87.73691517634573,87.73691517634573,00:0;01:2;02:0;03:2;04:3;05:0;06:0;07:1;08:0;09:0;10:2;11:0;12:0;13:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(0,0);(5,0);(0,5);(21,6);(31,31);(5,13);(0,15);(9,17);(0,20);(0,23);(15,20);(2,28);(1,30);(1,33)",2293,0,completed,,
6,known_visit,HIPC,bernoulli,drop_0.25,34,1156,14,10,hipc_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,15);(1,18);(14,25);(6,19);(4,11);(20,18);(16,2);(23,22);(33,20);(23,9)",10,True,62.30486134956345,62.30486134956345,00:0;01:1;02:0;03:0;04:1;05:0;06:0;07:5;08:1;09:0;10:2;11:0;12:0;13:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(0,0);(21,2);(0,5);(0,8);(4,14);(0,13);(6,19);(23,9);(33,20);(1,18);(23,22);(0,28);(0,30);(0,33)",1563,0,completed,,
7,known_visit,HIPC,bernoulli,drop_0.25,34,1156,14,10,hipc_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(11,6);(22,28);(9,12);(33,20);(16,10);(15,3);(24,5);(9,8);(18,10);(4,26)",10,True,73.65532157839495,73.65532157839495,00:0;01:2;02:3;03:0;04:1;05:1;06:0;07:0;08:0;09:0;10:1;11:2;12:0;13:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(0,0);(24,5);(18,10);(1,8);(11,6);(9,12);(0,15);(0,18);(1,20);(2,23);(4,26);(33,20);(0,30);(0,33)",1901,0,completed,,
8,known_visit,HIPC,bernoulli,drop_0.25,34,1156,14,10,hipc_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(10,22);(29,12);(29,17);(17,15);(11,32);(24,29);(25,3);(5,8);(6,23);(18,30)",10,True,64.08280415610567,64.08280415610567,00:0;01:1;02:0;03:1;04:0;05:0;06:3;07:0;08:0;09:2;10:0;11:2;12:0;13:1,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(1,0);(25,3);(0,5);(5,8);(4,10);(0,13);(29,12);(1,18);(1,20);(10,22);(5,25);(24,29);(0,30);(11,32)",1621,0,completed,,
9,known_visit,HIPC,bernoulli,drop_0.25,34,1156,14,10,hipc_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,24);(6,0);(2,8);(22,15);(23,3);(22,26);(14,7);(29,27);(31,19);(17,25)",10,True,58.37802477821128,58.37802477821128,00:1;01:0;02:0;03:3;04:0;05:0;06:2;07:0;08:0;09:0;10:2;11:2;12:0;13:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(6,0);(0,3);(1,5);(23,3);(0,10);(0,13);(31,19);(0,18);(2,20);(0,23);(18,24);(29,27);(0,30);(0,33)",1475,0,completed,,
